PSTED_TORQUE,PSTED_MOTOR_SPEED,PSTED_CURRENT,PSTED_VOLTAGE,PSTED_MOTOR_TEMP,PSTED_INV_RADIATOR_TEMP,PSTED_OUT_BMS_VOLTAGE,SYSTEM_24V_VOLTAGE,STEERING_SERVO_CUR_POS_FRONT,STEERING_SERVO_CUR_POS_REAR,time
0.00,0.00,0.00,349.41,53.00,17.00,347.25,24.46,1.00,-20.00,17:46:39.242329
0.00,0.00,0.00,6.35,52.00,17.00,349.00,23.16,1.00,-20.00,17:46:39.679012
0.00,0.00,0.00,6.35,52.00,17.00,349.00,23.21,1.00,-21.00,17:46:40.210618
0.00,0.00,0.00,6.35,52.00,17.00,349.00,23.21,1.00,-21.00,17:46:40.700693
0.00,0.00,0.00,6.35,52.00,17.00,352.49,23.18,1.00,-21.00,17:46:41.356844
0.00,0.00,0.00,12.71,52.00,17.00,352.49,23.19,1.00,-20.00,17:46:41.993401
0.00,0.00,0.00,6.35,23.00,17.00,352.49,23.17,1.00,-20.00,17:46:42.689898
0.00,0.00,0.00,19.06,39.00,17.00,352.49,23.10,1.00,-21.00,17:46:43.529161
0.00,0.00,0.00,19.06,39.00,17.00,352.49,23.10,1.00,-21.00,17:46:44.075977
0.00,0.00,0.00,25.41,46.00,17.00,352.49,23.09,1.00,-21.00,17:46:44.697932
0.00,0.00,0.00,6.35,49.00,17.00,352.49,23.08,1.00,-21.00,17:46:45.363062
0.00,0.00,0.00,25.41,50.00,17.00,352.49,23.06,1.00,-20.00,17:46:46.139677
0.00,0.00,0.00,25.41,50.00,17.00,352.49,23.06,1.00,-20.00,17:46:46.746158
0.00,0.00,0.00,19.06,51.00,17.00,352.49,23.05,1.00,-21.00,17:46:47.442943
0.00,0.00,0.00,12.71,51.00,17.00,352.49,23.06,1.00,-21.00,17:46:48.098894
0.00,0.00,0.00,12.71,51.00,17.00,352.49,23.01,1.00,-21.00,17:46:48.921544
0.00,0.00,0.00,12.71,51.00,17.00,352.49,23.01,1.00,-21.00,17:46:49.483531
0.00,0.00,0.00,6.35,51.00,17.00,352.49,23.01,1.00,-20.00,17:46:50.099172
0.00,0.00,0.00,6.35,51.00,17.00,352.49,23.01,1.00,-21.00,17:46:50.783619
0.00,0.00,0.00,6.35,52.00,17.00,352.49,23.01,1.00,-21.00,17:46:51.619338
0.00,0.00,0.00,6.35,52.00,17.00,352.49,23.01,1.00,-21.00,17:46:52.151448
0.00,0.00,0.00,343.06,51.00,17.00,352.49,24.20,1.00,-21.00,17:46:52.803649
0.00,0.00,0.00,349.41,51.00,17.00,352.49,24.37,1.00,-20.00,17:46:53.550475
0.00,0.00,0.00,349.41,51.00,17.00,352.49,24.45,1.00,-21.00,17:46:54.339423
0.00,0.00,0.00,349.41,51.00,17.00,352.49,24.45,1.00,-21.00,17:46:54.795424
0.00,0.00,0.00,349.41,51.00,17.00,352.49,24.45,1.00,-20.00,17:46:55.479261
0.00,0.00,0.00,343.06,51.00,17.00,342.02,24.45,1.00,-21.00,17:46:56.100591
0.00,0.00,0.00,343.06,52.00,17.00,342.02,24.45,1.00,-21.00,17:46:56.890384
0.00,0.00,0.00,343.06,52.00,17.00,342.02,24.45,1.00,-21.00,17:46:57.392663
0.00,0.00,0.00,349.41,52.00,17.00,342.02,3.52,24451.00,1.00,17:46:57.999277
0.00,0.00,0.00,349.41,52.00,17.00,343.77,24.45,1.00,-20.00,17:46:58.650112
0.00,0.00,0.00,349.41,52.00,17.00,347.25,24.47,1.00,-20.00,17:46:59.440300
0.00,0.00,0.00,349.41,52.00,17.00,347.25,24.47,1.00,-20.00,17:47:00.002343
0.00,0.00,0.00,343.06,51.00,17.00,347.25,24.46,1.00,-21.00,17:47:00.655082
0.00,0.00,0.00,349.41,51.00,17.00,347.25,24.45,1.00,-21.00,17:47:01.385823
0.00,0.00,0.00,349.41,51.00,17.00,347.25,24.47,1.00,-21.00,17:47:02.199887
0.00,0.00,0.00,349.41,51.00,17.00,347.25,24.47,1.00,-21.00,17:47:02.745546
0.00,0.00,0.00,349.41,51.00,17.00,347.25,24.47,1.00,-21.00,17:47:03.416058
0.00,0.00,0.00,349.41,51.00,17.00,347.25,24.46,1.00,-20.00,17:47:04.004943
0.00,0.00,0.00,343.06,51.00,17.00,347.25,24.45,1.00,-20.00,17:47:04.820357
0.00,0.00,0.00,343.06,51.00,17.00,347.25,24.45,1.00,-20.00,17:47:05.391045
0.00,0.00,0.00,349.41,51.00,17.00,347.25,24.47,1.00,-21.00,17:47:05.997530
0.00,0.00,0.00,343.06,51.00,17.00,347.25,24.46,1.00,-21.00,17:47:06.679572
0.00,0.00,0.00,349.41,51.00,17.00,347.25,24.46,1.00,-20.00,17:47:07.429898
0.00,0.00,0.00,349.41,51.00,17.00,347.25,24.46,1.00,-20.00,17:47:07.976739
0.00,0.00,0.00,343.06,51.00,17.00,349.00,24.47,1.00,-21.00,17:47:08.652054
1.00,0.00,5.12,349.41,51.00,17.00,349.00,24.47,1.00,-21.00,17:47:09.306611
2.00,0.00,5.12,349.41,52.00,17.00,349.00,24.46,1.00,-21.00,17:47:10.109949
2.00,0.00,5.12,349.41,52.00,17.00,349.00,24.46,1.00,-21.00,17:47:10.649159
3.00,0.00,10.24,349.41,53.00,17.00,349.00,24.46,1.00,-21.00,17:47:11.307632
4.00,0.00,10.24,349.41,53.00,17.00,349.00,24.47,1.00,-21.00,17:47:11.978494
4.00,0.00,10.24,349.41,53.00,17.00,347.25,24.46,1.00,-21.00,17:47:12.740780
4.00,0.00,10.24,349.41,53.00,17.00,347.25,24.46,1.00,-21.00,17:47:13.306733
10.00,0.00,20.47,349.41,53.00,17.00,347.25,24.46,1.00,-21.00,17:47:14.005986
12.00,0.00,25.59,349.41,53.00,17.00,347.25,24.47,1.00,-21.00,17:47:14.704926
18.00,0.00,35.83,349.41,52.00,17.00,345.51,24.46,1.00,-21.00,17:47:15.580906
18.00,0.00,35.83,349.41,52.00,17.00,345.51,24.46,1.00,-21.00,17:47:16.079273
20.00,64.70,40.94,343.06,53.00,17.00,343.77,24.46,24462.00,1.00,17:47:16.672624
20.00,64.94,40.94,343.06,14.00,93.00,29.67,3.52,24466.00,1.00,17:47:17.283122
20.00,79.35,40.94,349.41,53.00,92.00,29.67,3.52,24468.00,1.00,17:47:18.001217
20.00,79.35,40.94,349.41,53.00,92.00,29.67,3.52,24468.00,1.00,17:47:18.535239
20.00,84.96,40.94,343.06,52.00,17.00,343.77,24.48,24468.00,-21.00,17:47:19.194097
20.00,87.16,40.94,349.41,52.00,17.00,343.77,24.48,1.00,-21.00,17:47:19.817141
20.00,92.29,40.94,343.06,52.00,17.00,343.77,24.45,1.00,-21.00,17:47:20.700592
20.00,92.29,40.94,343.06,52.00,17.00,343.77,24.45,1.00,-21.00,17:47:21.215494
20.00,96.19,40.94,343.06,52.00,17.00,343.77,24.46,1.00,-21.00,17:47:21.885890
20.00,96.68,40.94,343.06,52.00,17.00,343.77,24.46,24462.00,1.00,17:47:22.567698
20.00,90.09,40.94,343.06,52.00,17.00,343.77,24.46,1.00,-21.00,17:47:23.331550
20.00,90.09,40.94,343.06,52.00,17.00,343.77,24.46,1.00,-21.00,17:47:23.883849
20.00,89.85,40.94,349.41,52.00,17.00,343.77,24.46,24462.00,1.00,17:47:24.576577
20.00,91.56,40.94,349.41,52.00,17.00,343.77,24.48,1.00,-21.00,17:47:25.214855
20.00,91.31,40.94,349.41,52.00,17.00,343.77,24.46,1.00,-21.00,17:47:26.021534
20.00,91.31,40.94,349.41,52.00,17.00,343.77,24.46,1.00,-21.00,17:47:26.596229
20.00,94.49,40.94,343.06,52.00,17.00,343.77,24.47,1.00,-21.00,17:47:27.268401
20.00,96.68,40.94,349.41,52.00,17.00,343.77,24.47,1.00,-21.00,17:47:27.922627
20.00,94.97,40.94,349.41,52.00,17.00,336.79,24.46,1.00,-21.00,17:47:28.815289
20.00,94.97,40.94,349.41,52.00,17.00,336.79,24.46,1.00,-21.00,17:47:29.395216
20.00,99.12,40.94,343.06,52.00,17.00,336.79,24.47,1.00,-21.00,17:47:29.985767
20.00,96.19,40.94,349.41,52.00,17.00,336.79,24.46,1.00,-21.00,17:47:30.674854
20.00,96.44,40.94,349.41,52.00,17.00,336.79,24.46,1.00,-21.00,17:47:31.491435
20.00,96.44,40.94,349.41,52.00,17.00,336.79,24.46,1.00,-21.00,17:47:31.987265
20.00,98.39,40.94,343.06,52.00,17.00,336.79,3.52,24463.00,1.00,17:47:32.657453
20.00,95.95,40.94,349.41,52.00,17.00,336.79,24.47,1.00,-21.00,17:47:33.297917
20.00,97.66,40.94,349.41,52.00,17.00,336.79,24.46,1.00,-21.00,17:47:34.101658
20.00,97.66,40.94,349.41,52.00,17.00,336.79,24.46,1.00,-21.00,17:47:34.662424
19.00,99.61,35.83,343.06,52.00,17.00,336.79,24.47,1.00,-21.00,17:47:35.307142
18.00,90.58,35.83,343.06,52.00,17.00,336.79,24.47,1.00,-21.00,17:47:35.983593
18.00,80.57,35.83,349.41,52.00,17.00,336.79,24.46,1.00,-21.00,17:47:36.723656
18.00,80.57,35.83,349.41,52.00,17.00,336.79,24.46,1.00,-21.00,17:47:37.295749
18.00,78.62,35.83,343.06,52.00,17.00,336.79,24.46,1.00,-21.00,17:47:37.935185
18.00,79.10,35.83,349.41,52.00,17.00,336.79,24.46,1.00,-21.00,17:47:38.644093
15.00,70.31,30.71,343.06,52.00,17.00,336.79,24.48,1.00,-21.00,17:47:39.485334
15.00,70.31,30.71,343.06,52.00,17.00,336.79,24.48,1.00,-21.00,17:47:40.000524
12.00,61.53,25.59,349.41,52.00,17.00,336.79,24.48,1.00,-21.00,17:47:40.660528
11.00,50.78,20.47,349.41,52.00,17.00,336.79,24.48,1.00,-21.00,17:47:41.291018
6.00,45.41,15.35,343.06,53.00,17.00,336.79,24.47,1.00,-21.00,17:47:42.091714
6.00,45.41,15.35,343.06,53.00,17.00,336.79,24.47,1.00,-21.00,17:47:42.654487
3.00,39.06,10.24,349.41,53.00,17.00,342.02,24.46,1.00,-21.00,17:47:43.307228
1.00,0.00,5.12,349.41,53.00,17.00,342.02,24.48,1.00,-21.00,17:47:43.979295
