PSTED_TORQUE,PSTED_MOTOR_SPEED,PSTED_CURRENT,PSTED_VOLTAGE,PSTED_MOTOR_TEMP,PSTED_INV_RADIATOR_TEMP,PSTED_OUT_BMS_VOLTAGE,SYSTEM_24V_VOLTAGE,STEERING_SERVO_CUR_POS_FRONT,STEERING_SERVO_CUR_POS_REAR,time
0.00,0.00,0.00,343.06,57.00,17.00,328.06,24.46,2.00,-25.00,17:13:52.411333
0.00,0.00,0.00,343.06,57.00,17.00,328.06,24.46,2.00,-25.00,17:13:52.414301
0.00,0.00,0.00,349.41,57.00,17.00,357.73,24.46,2.00,-25.00,17:13:53.406970
0.00,0.00,0.00,349.41,57.00,17.00,357.73,24.46,2.00,-25.00,17:13:54.142737
0.00,0.00,0.00,349.41,58.00,17.00,357.73,24.46,2.00,-25.00,17:13:55.032608
0.00,0.00,0.00,343.06,58.00,17.00,357.73,24.36,2.00,-25.00,17:13:56.067459
0.00,0.00,0.00,343.06,58.00,17.00,357.73,24.36,2.00,-25.00,17:13:56.846008
0.00,0.00,0.00,349.41,58.00,17.00,357.73,24.28,2.00,-25.00,17:13:57.685191
0.00,0.00,0.00,349.41,58.00,17.00,357.73,24.39,2.00,-25.00,17:13:58.727252
0.00,0.00,0.00,349.41,58.00,17.00,357.73,24.39,2.00,-25.00,17:13:59.487069
0.00,0.00,0.00,349.41,58.00,17.00,357.73,24.39,2.00,-25.00,17:14:00.280281
0.00,0.00,0.00,349.41,58.00,17.00,357.73,24.33,2.00,-27.00,17:14:01.307008
0.00,0.00,0.00,349.41,58.00,17.00,357.73,24.33,2.00,-27.00,17:14:01.961648
0.00,0.00,0.00,349.41,57.00,17.00,357.73,24.39,2.00,-27.00,17:14:02.809966
0.00,0.00,0.00,349.41,57.00,17.00,357.73,24.29,2.00,-27.00,17:14:03.807885
0.00,0.00,0.00,349.41,57.00,17.00,357.73,24.29,2.00,-27.00,17:14:04.498479
0.00,0.00,0.00,349.41,57.00,17.00,357.73,24.30,2.00,-27.00,17:14:05.397795
0.00,0.00,0.00,349.41,57.00,17.00,357.73,24.38,2.00,-27.00,17:14:06.367637
0.00,0.00,0.00,349.41,57.00,17.00,357.73,24.38,2.00,-27.00,17:14:07.047273
0.00,0.00,0.00,343.06,57.00,17.00,357.73,24.34,2.00,-27.00,17:14:07.899575
0.00,0.00,0.00,343.06,57.00,17.00,357.73,24.39,2.00,-42.00,17:14:08.897395
0.00,0.00,0.00,343.06,57.00,17.00,357.73,24.39,2.00,-42.00,17:14:09.637110
82.00,33.69,148.43,343.06,57.00,17.00,357.73,24.43,2.00,-32.00,17:14:10.550409
11.00,1876.03,15.35,349.41,58.00,17.00,331.55,24.28,2.00,-32.00,17:14:11.621342
11.00,1876.03,15.35,349.41,58.00,17.00,331.55,24.28,2.00,-32.00,17:14:12.363012
11.00,1849.42,20.47,343.06,58.00,98.00,29.67,3.52,24356.00,2.00,17:14:13.231428
36.00,2731.04,51.18,343.06,57.00,17.00,331.55,3.49,24399.00,2.00,17:14:14.208308
36.00,2731.04,51.18,343.06,57.00,17.00,331.55,3.49,24399.00,2.00,17:14:14.940383
