STEERING_SERVO_CUR_POS_FRONT,STEERING_SERVO_CUR_POS_REAR,STEERING_SERVO_CURRENT_FRONT,STEERING_SERVO_CURRENT_REAR,SUSPENSION_PRESSURE_CUR_1,SUSPENSION_PRESSURE_CUR_2,SUSPENSION_PRESSURE_CUR_3,SUSPENSION_PRESSURE_CUR_4,time
,,,,,,,,13:58:27.984172
,,,,,,,,13:58:27.986181
,,,,,,,,13:58:28.354759
,,,,,,,,13:58:28.564670
,,,,,,,,13:58:28.765219
,,,,,,,,13:58:28.964588
,,,,,,,,13:58:29.165266
,,,,,,,,13:58:29.380359
,,,,,,,,13:58:29.580801
,,,,,,,,13:58:29.777598
2.00,33.00,1050.00,130.00,1.63,2.20,2.68,0.45,13:58:29.994744
2.00,33.00,1050.00,130.00,1.63,2.20,2.68,0.45,13:58:30.229665
2.00,33.00,1050.00,130.00,1.63,2.20,2.68,0.45,13:58:30.445104
2.00,33.00,1050.00,130.00,1.63,2.20,2.68,0.45,13:58:30.665109
2.00,33.00,1050.00,130.00,1.63,2.20,2.68,0.45,13:58:30.880202
2.00,33.00,1050.00,130.00,1.63,2.20,2.68,0.45,13:58:31.128184
2.00,33.00,1050.00,130.00,1.63,2.20,2.68,0.45,13:58:31.327087
2.00,33.00,1050.00,130.00,1.63,2.20,2.68,0.45,13:58:31.526739
2.00,33.00,1050.00,190.00,1.62,2.19,2.69,0.44,13:58:31.726712
2.00,33.00,1050.00,190.00,1.62,2.19,2.69,0.44,13:58:31.927089
2.00,33.00,1050.00,190.00,1.62,2.19,2.69,0.44,13:58:32.127824
2.00,33.00,1050.00,190.00,1.62,2.19,2.69,0.44,13:58:32.326963
2.00,33.00,1050.00,190.00,1.62,2.19,2.69,0.44,13:58:32.535614
2.00,33.00,1050.00,190.00,1.62,2.19,2.69,0.44,13:58:32.747623
2.00,33.00,1050.00,190.00,1.62,2.19,2.69,0.44,13:58:32.964656
2.00,33.00,1050.00,190.00,1.62,2.19,2.69,0.44,13:58:33.180206
2.00,33.00,1060.00,230.00,1.60,2.18,2.69,0.42,13:58:33.425977
2.00,33.00,1060.00,230.00,1.60,2.18,2.69,0.42,13:58:33.626664
2.00,33.00,1060.00,230.00,1.60,2.18,2.69,0.42,13:58:33.827160
2.00,33.00,1060.00,230.00,1.60,2.18,2.69,0.42,13:58:34.037057
2.00,33.00,1060.00,230.00,1.60,2.18,2.69,0.42,13:58:34.245215
2.00,33.00,1060.00,230.00,1.60,2.18,2.69,0.42,13:58:34.465181
2.00,33.00,1060.00,230.00,1.60,2.18,2.69,0.42,13:58:34.665248
2.00,33.00,1060.00,230.00,1.60,2.18,2.69,0.42,13:58:34.865038
2.00,33.00,1050.00,110.00,1.30,2.62,3.09,0.12,13:58:35.079718
2.00,33.00,1050.00,110.00,1.30,2.62,3.09,0.12,13:58:35.279748
2.00,33.00,1050.00,110.00,1.30,2.62,3.09,0.12,13:58:35.479543
2.00,33.00,1050.00,110.00,1.30,2.62,3.09,0.12,13:58:35.679691
2.00,33.00,1050.00,110.00,1.30,2.62,3.09,0.12,13:58:35.926818
2.00,33.00,1050.00,110.00,1.30,2.62,3.09,0.12,13:58:36.165806
2.00,33.00,1050.00,110.00,1.30,2.62,3.09,0.12,13:58:36.380187
2.00,33.00,1050.00,110.00,1.30,2.62,3.09,0.12,13:58:36.626291
2.00,33.00,1050.00,230.00,1.31,2.60,3.11,0.04,13:58:36.845168
2.00,33.00,1050.00,230.00,1.31,2.60,3.11,0.04,13:58:37.065741
2.00,33.00,1050.00,230.00,1.31,2.60,3.11,0.04,13:58:37.265496
2.00,33.00,1050.00,230.00,1.31,2.60,3.11,0.04,13:58:37.465439
2.00,33.00,1050.00,230.00,1.31,2.60,3.11,0.04,13:58:37.665634
2.00,33.00,1050.00,230.00,1.31,2.60,3.11,0.04,13:58:37.865712
2.00,33.00,1050.00,230.00,1.31,2.60,3.11,0.04,13:58:38.080150
2.00,33.00,1050.00,230.00,1.31,2.60,3.11,0.04,13:58:38.327270
2.00,33.00,1050.00,140.00,1.31,2.58,3.10,0.06,13:58:38.526550
2.00,33.00,1050.00,140.00,1.31,2.58,3.10,0.06,13:58:38.745089
2.00,33.00,1050.00,140.00,1.31,2.58,3.10,0.06,13:58:38.955721
2.00,33.00,1050.00,140.00,1.31,2.58,3.10,0.06,13:58:39.154892
2.00,33.00,1050.00,140.00,1.31,2.58,3.10,0.06,13:58:39.364922
2.00,33.00,1050.00,140.00,1.31,2.58,3.10,0.06,13:58:39.564923
2.00,33.00,1050.00,140.00,1.31,2.58,3.10,0.06,13:58:39.764929
2.00,33.00,1050.00,140.00,1.31,2.58,3.10,0.06,13:58:39.965299
2.00,33.00,1050.00,180.00,1.32,2.58,3.09,0.07,13:58:40.180450
2.00,33.00,1050.00,180.00,1.32,2.58,3.09,0.07,13:58:40.378497
2.00,33.00,1050.00,180.00,1.32,2.58,3.09,0.07,13:58:40.626504
2.00,33.00,1050.00,180.00,1.32,2.58,3.09,0.07,13:58:40.827016
2.00,33.00,1050.00,180.00,1.32,2.58,3.09,0.07,13:58:41.045028
2.00,33.00,1050.00,180.00,1.32,2.58,3.09,0.07,13:58:41.280030
2.00,33.00,1050.00,180.00,1.32,2.58,3.09,0.07,13:58:41.527030
2.00,33.00,1050.00,180.00,1.32,2.58,3.09,0.07,13:58:41.727031
2.00,33.00,1060.00,240.00,1.31,2.57,3.08,0.08,13:58:41.927030
2.00,33.00,1060.00,240.00,1.31,2.57,3.08,0.08,13:58:42.127065
2.00,33.00,1060.00,240.00,1.31,2.57,3.08,0.08,13:58:42.345031
2.00,33.00,1060.00,240.00,1.31,2.57,3.08,0.08,13:58:42.545031
2.00,33.00,1060.00,240.00,1.31,2.57,3.08,0.08,13:58:42.755033
2.00,33.00,1060.00,240.00,1.31,2.57,3.08,0.08,13:58:42.945033
