STEERING_SERVO_CUR_POS_FRONT,STEERING_SERVO_CUR_POS_REAR,STEERING_SERVO_CURRENT_FRONT,STEERING_SERVO_CURRENT_REAR,time
,,,,15:05:21.115341
,,,,15:05:21.118342
,,,,15:05:21.445341
,,,,15:05:21.698341
,,,,15:05:21.894341
,,,,15:05:22.094340
320.00,2.00,0.00,120.00,15:05:22.304340
320.00,2.00,0.00,120.00,15:05:22.514341
320.00,2.00,0.00,120.00,15:05:22.724340
320.00,2.00,0.00,120.00,15:05:22.934340
320.00,2.00,0.00,110.00,15:05:23.137342
320.00,2.00,0.00,110.00,15:05:23.334342
320.00,2.00,0.00,110.00,15:05:23.535342
320.00,2.00,0.00,110.00,15:05:23.725343
320.00,2.00,0.00,130.00,15:05:23.945344
320.00,2.00,0.00,130.00,15:05:24.196342
320.00,2.00,0.00,130.00,15:05:24.395342
320.00,2.00,0.00,130.00,15:05:24.595344
320.00,3.00,0.00,100.00,15:05:24.797345
320.00,3.00,0.00,100.00,15:05:25.005345
320.00,3.00,0.00,100.00,15:05:25.215344
320.00,3.00,0.00,100.00,15:05:25.437348
320.00,2.00,0.00,100.00,15:05:25.645345
320.00,2.00,0.00,100.00,15:05:25.846344
320.00,2.00,0.00,100.00,15:05:26.055347
320.00,2.00,0.00,100.00,15:05:26.275345
320.00,2.00,0.00,370.00,15:05:26.505344
320.00,2.00,0.00,370.00,15:05:26.705345
320.00,2.00,0.00,370.00,15:05:26.917346
320.00,2.00,0.00,370.00,15:05:27.118345
320.00,35.00,0.00,3940.00,15:05:27.325347
320.00,35.00,0.00,3940.00,15:05:27.557347
320.00,35.00,0.00,3940.00,15:05:27.798346
320.00,35.00,0.00,3940.00,15:05:28.005345
320.00,59.00,0.00,4550.00,15:05:28.217346
320.00,59.00,0.00,4550.00,15:05:28.435351
320.00,59.00,0.00,4550.00,15:05:28.652348
320.00,59.00,0.00,4550.00,15:05:28.969350
320.00,213.00,0.00,4550.00,15:05:29.315349
320.00,213.00,0.00,4550.00,15:05:29.538349
320.00,213.00,0.00,4550.00,15:05:29.745347
320.00,213.00,0.00,4550.00,15:05:29.945349
320.00,172.00,0.00,0.00,15:05:30.145355
320.00,172.00,0.00,0.00,15:05:30.346350
320.00,172.00,0.00,0.00,15:05:30.586349
320.00,172.00,0.00,0.00,15:05:30.795353
321.00,221.00,0.00,5420.00,15:05:31.005348
321.00,221.00,0.00,5420.00,15:05:31.215350
321.00,221.00,0.00,5420.00,15:05:31.418353
321.00,221.00,0.00,5420.00,15:05:31.625350
320.00,221.00,0.00,2790.00,15:05:31.865352
320.00,221.00,0.00,2790.00,15:05:32.095352
320.00,221.00,0.00,2790.00,15:05:32.305349
320.00,221.00,0.00,2790.00,15:05:32.515352
320.00,224.00,0.00,5440.00,15:05:32.715352
320.00,224.00,0.00,5440.00,15:05:32.935351
320.00,224.00,0.00,5440.00,15:05:33.135351
320.00,224.00,0.00,5440.00,15:05:33.335353
320.00,224.00,0.00,5680.00,15:05:33.535352
320.00,224.00,0.00,5680.00,15:05:33.755351
320.00,224.00,0.00,5680.00,15:05:34.008352
320.00,224.00,0.00,5680.00,15:05:34.216353
320.00,172.00,0.00,4540.00,15:05:34.455350
320.00,172.00,0.00,4540.00,15:05:34.698353
320.00,172.00,0.00,4540.00,15:05:35.004353
320.00,172.00,0.00,4540.00,15:05:35.345353
320.00,225.00,0.00,5770.00,15:05:35.546354
320.00,225.00,0.00,5770.00,15:05:35.745353
320.00,225.00,0.00,5770.00,15:05:36.005354
320.00,225.00,0.00,5770.00,15:05:36.215354
320.00,98.00,0.00,5010.00,15:05:36.414894
320.00,98.00,0.00,5010.00,15:05:36.626898
320.00,98.00,0.00,5010.00,15:05:36.835901
320.00,235.00,0.00,5540.00,15:05:37.044900
320.00,235.00,0.00,5540.00,15:05:37.245897
320.00,235.00,0.00,5540.00,15:05:37.455897
320.00,235.00,0.00,5540.00,15:05:37.705896
320.00,235.00,0.00,5540.00,15:05:37.915900
320.00,235.00,0.00,2320.00,15:05:38.125898
320.00,235.00,0.00,2320.00,15:05:38.335897
320.00,235.00,0.00,2320.00,15:05:38.535901
320.00,235.00,0.00,2320.00,15:05:38.765899
320.00,229.00,0.00,4380.00,15:05:39.005900
320.00,229.00,0.00,4380.00,15:05:39.215900
320.00,229.00,0.00,4380.00,15:05:39.425899
320.00,237.00,0.00,5670.00,15:05:39.705897
320.00,237.00,0.00,5670.00,15:05:39.905899
320.00,237.00,0.00,5670.00,15:05:40.115900
320.00,237.00,0.00,5670.00,15:05:40.315897
320.00,237.00,0.00,5670.00,15:05:40.515899
321.00,237.00,0.00,5750.00,15:05:40.715903
321.00,237.00,0.00,5750.00,15:05:40.925898
321.00,237.00,0.00,5750.00,15:05:41.135899
321.00,237.00,0.00,5750.00,15:05:41.345902
320.00,188.00,0.00,4640.00,15:05:41.545904
320.00,188.00,0.00,4640.00,15:05:41.795902
320.00,188.00,0.00,4640.00,15:05:42.005902
321.00,104.00,0.00,2720.00,15:05:42.226900
321.00,104.00,0.00,2720.00,15:05:42.425902
321.00,104.00,0.00,2720.00,15:05:42.645902
321.00,104.00,0.00,2720.00,15:05:42.855903
321.00,104.00,0.00,2720.00,15:05:43.095903
320.00,232.00,0.00,5500.00,15:05:43.305902
320.00,232.00,0.00,5500.00,15:05:43.515906
