PSTED_TORQUE,PSTED_MOTOR_SPEED,PSTED_CURRENT,PSTED_VOLTAGE,PSTED_MOTOR_TEMP,PSTED_INV_RADIATOR_TEMP,PSTED_OUT_BMS_VOLTAGE,SYSTEM_24V_VOLTAGE,STEERING_SERVO_CUR_POS_FRONT,STEERING_SERVO_CUR_POS_REAR,time
0.00,0.00,0.00,343.06,65.00,17.00,289.67,24.46,2.00,-20.00,18:12:56.793746
0.00,0.00,0.00,343.06,65.00,17.00,289.67,24.46,2.00,-20.00,18:12:57.255351
0.00,0.00,0.00,343.06,62.00,17.00,314.10,24.47,2.00,-20.00,18:12:58.086574
0.00,0.00,0.00,343.06,62.00,17.00,314.10,24.47,2.00,-20.00,18:12:58.667072
0.00,0.00,0.00,349.41,62.00,17.00,314.10,24.47,2.00,-20.00,18:12:59.369390
0.00,0.00,5.12,343.06,62.00,17.00,314.10,24.46,2.00,-20.00,18:13:00.051997
12.00,0.00,25.59,343.06,14.00,103.00,29.67,3.51,24465.00,2.00,18:13:00.866564
12.00,0.00,25.59,343.06,14.00,103.00,29.67,3.51,24465.00,2.00,18:13:01.414137
18.00,0.00,35.83,343.06,63.00,17.00,314.10,24.46,2.00,-21.00,18:13:02.038567
22.00,0.00,40.94,343.06,63.00,17.00,314.10,24.47,2.00,-21.00,18:13:02.709659
26.00,0.00,51.18,343.06,63.00,17.00,314.10,24.46,2.00,-21.00,18:13:03.467162
26.00,0.00,51.18,343.06,63.00,17.00,314.10,24.46,2.00,-21.00,18:13:03.965618
30.00,0.00,56.30,349.41,64.00,17.00,314.10,24.47,2.00,-21.00,18:13:04.650006
30.00,0.00,61.42,343.06,64.00,17.00,303.63,24.46,2.00,-21.00,18:13:05.270732
34.00,0.00,71.65,343.06,64.00,17.00,301.88,24.46,2.00,-21.00,18:13:06.097193
34.00,0.00,71.65,343.06,64.00,17.00,301.88,24.46,2.00,-21.00,18:13:06.721153
37.00,1085.73,61.42,343.06,64.00,17.00,301.88,24.46,2.00,-21.00,18:13:07.340773
40.00,2416.58,61.42,336.71,64.00,17.00,301.88,24.46,2.00,-21.00,18:13:07.944665
40.00,1671.44,61.42,343.06,62.00,17.00,301.88,24.46,2.00,-21.00,18:13:08.757017
40.00,1671.44,61.42,343.06,62.00,17.00,301.88,24.46,2.00,-21.00,18:13:09.241697
40.00,968.54,61.42,343.06,62.00,17.00,301.88,24.47,2.00,-21.00,18:13:09.923294
40.00,898.46,61.42,343.06,62.00,17.00,301.88,24.46,2.00,-21.00,18:13:10.605897
40.00,1056.92,61.42,343.06,61.00,17.00,301.88,24.46,2.00,-21.00,18:13:11.386903
40.00,1056.92,61.42,343.06,61.00,17.00,301.88,24.46,2.00,-21.00,18:13:11.951787
40.00,1083.04,56.30,343.06,61.00,17.00,301.88,24.47,2.00,-21.00,18:13:12.649472
