SUSPENSION_HEIGHT_CUR_1,SUSPENSION_HEIGHT_CUR_2,SUSPENSION_HEIGHT_CUR_3,SUSPENSION_HEIGHT_CUR_4,SUSPENSION_PRESSURE_CUR_1,SUSPENSION_PRESSURE_CUR_2,SUSPENSION_PRESSURE_CUR_3,SUSPENSION_PRESSURE_CUR_4,time
,,,,,,,,17:04:35.716127
,,,,,,,,17:04:35.718123
,,,,,,,,17:04:36.103210
,,,,,,,,17:04:36.306588
,,,,,,,,17:04:36.513597
,,,,,,,,17:04:36.723519
,,,,,,,,17:04:36.937968
,,,,,,,,17:04:37.144905
,,,,,,,,17:04:37.355839
,,,,,,,,17:04:37.563647
-39.00,-42.00,-82.00,-75.00,1.25,1.39,0.84,0.89,17:04:37.793175
-39.00,-42.00,-82.00,-75.00,1.25,1.39,0.84,0.89,17:04:37.994536
-39.00,-42.00,-82.00,-75.00,1.25,1.39,0.84,0.89,17:04:38.193271
-39.00,-42.00,-82.00,-75.00,1.25,1.39,0.84,0.89,17:04:38.403160
-39.00,-42.00,-82.00,-75.00,1.25,1.39,0.84,0.89,17:04:38.628923
-39.00,-42.00,-82.00,-75.00,1.25,1.39,0.84,0.89,17:04:38.823684
-39.00,-42.00,-82.00,-75.00,1.25,1.39,0.84,0.89,17:04:39.023124
-39.00,-42.00,-82.00,-75.00,1.25,1.39,0.84,0.89,17:04:39.223268
-41.00,-42.00,-82.00,-75.00,1.25,1.39,0.84,0.89,17:04:39.426963
-41.00,-42.00,-82.00,-75.00,1.25,1.39,0.84,0.89,17:04:39.623583
-41.00,-42.00,-82.00,-75.00,1.25,1.39,0.84,0.89,17:04:39.843849
-41.00,-42.00,-82.00,-75.00,1.25,1.39,0.84,0.89,17:04:40.043749
-41.00,-42.00,-82.00,-75.00,1.25,1.39,0.84,0.89,17:04:40.256089
-41.00,-42.00,-82.00,-75.00,1.25,1.39,0.84,0.89,17:04:40.453441
-41.00,-42.00,-82.00,-75.00,1.25,1.39,0.84,0.89,17:04:40.659512
-41.00,-42.00,-82.00,-75.00,1.25,1.39,0.84,0.89,17:04:40.859225
-41.00,-42.00,-79.00,-75.00,1.25,1.40,0.84,0.89,17:04:41.094466
-41.00,-42.00,-79.00,-75.00,1.25,1.40,0.84,0.89,17:04:41.323813
-41.00,-42.00,-79.00,-75.00,1.25,1.40,0.84,0.89,17:04:41.525196
-41.00,-42.00,-79.00,-75.00,1.25,1.40,0.84,0.89,17:04:41.734078
-41.00,-42.00,-79.00,-75.00,1.25,1.40,0.84,0.89,17:04:41.945416
-41.00,-42.00,-79.00,-75.00,1.25,1.40,0.84,0.89,17:04:42.153510
-41.00,-42.00,-79.00,-75.00,1.25,1.40,0.84,0.89,17:04:42.355792
-41.00,-42.00,-79.00,-75.00,1.25,1.40,0.84,0.89,17:04:42.556507
-41.00,-42.00,-82.00,-75.00,1.25,1.39,0.84,0.89,17:04:42.755940
-41.00,-42.00,-82.00,-75.00,1.25,1.39,0.84,0.89,17:04:42.983924
-41.00,-42.00,-82.00,-75.00,1.25,1.39,0.84,0.89,17:04:43.204526
-41.00,-42.00,-82.00,-75.00,1.25,1.39,0.84,0.89,17:04:43.413721
-41.00,-42.00,-82.00,-75.00,1.25,1.39,0.84,0.89,17:04:43.613401
-41.00,-42.00,-82.00,-75.00,1.25,1.39,0.84,0.89,17:04:43.824062
-41.00,-42.00,-82.00,-75.00,1.25,1.39,0.84,0.89,17:04:44.023708
-41.00,-42.00,-82.00,-75.00,1.25,1.39,0.84,0.89,17:04:44.223320
-41.00,-42.00,-79.00,-75.00,1.23,1.37,0.84,0.89,17:04:44.423382
-41.00,-42.00,-79.00,-75.00,1.23,1.37,0.84,0.89,17:04:44.633478
-41.00,-42.00,-79.00,-75.00,1.23,1.37,0.84,0.89,17:04:44.833894
-41.00,-42.00,-79.00,-75.00,1.23,1.37,0.84,0.89,17:04:45.055026
-41.00,-42.00,-79.00,-75.00,1.23,1.37,0.84,0.89,17:04:45.256524
-41.00,-42.00,-79.00,-75.00,1.23,1.37,0.84,0.89,17:04:45.457045
-41.00,-42.00,-79.00,-75.00,1.23,1.37,0.84,0.89,17:04:45.694095
-41.00,-42.00,-79.00,-75.00,1.23,1.37,0.84,0.89,17:04:45.903568
-41.00,-42.00,-82.00,-75.00,1.23,1.38,0.83,0.89,17:04:46.104187
-41.00,-42.00,-82.00,-75.00,1.23,1.38,0.83,0.89,17:04:46.304027
-41.00,-42.00,-82.00,-75.00,1.23,1.38,0.83,0.89,17:04:46.523750
-41.00,-42.00,-82.00,-75.00,1.23,1.38,0.83,0.89,17:04:46.724183
-41.00,-42.00,-82.00,-75.00,1.23,1.38,0.83,0.89,17:04:46.924025
-41.00,-42.00,-82.00,-75.00,1.23,1.38,0.83,0.89,17:04:47.124184
-41.00,-42.00,-82.00,-75.00,1.23,1.38,0.83,0.89,17:04:47.335552
-41.00,-42.00,-82.00,-75.00,1.23,1.38,0.83,0.89,17:04:47.535968
-41.00,-42.00,-82.00,-75.00,1.23,1.37,0.83,0.88,17:04:47.735051
-41.00,-42.00,-82.00,-75.00,1.23,1.37,0.83,0.88,17:04:47.943781
-41.00,-42.00,-82.00,-75.00,1.23,1.37,0.83,0.88,17:04:48.157024
-41.00,-42.00,-82.00,-75.00,1.23,1.37,0.83,0.88,17:04:48.404520
-41.00,-42.00,-82.00,-75.00,1.23,1.37,0.83,0.88,17:04:48.614396
-41.00,-42.00,-82.00,-75.00,1.23,1.37,0.83,0.88,17:04:48.824388
-41.00,-42.00,-82.00,-75.00,1.23,1.37,0.83,0.88,17:04:49.074056
-41.00,-42.00,-82.00,-75.00,1.23,1.37,0.83,0.88,17:04:49.314672
-41.00,-42.00,-82.00,-75.00,1.25,1.39,0.84,0.88,17:04:49.514362
-41.00,-42.00,-82.00,-75.00,1.25,1.39,0.84,0.88,17:04:49.716088
-41.00,-42.00,-82.00,-75.00,1.25,1.39,0.84,0.88,17:04:49.926381
-41.00,-42.00,-82.00,-75.00,1.25,1.39,0.84,0.88,17:04:50.140841
-41.00,-42.00,-82.00,-75.00,1.25,1.39,0.84,0.88,17:04:50.334201
-41.00,-42.00,-82.00,-75.00,1.25,1.39,0.84,0.88,17:04:50.534235
-41.00,-42.00,-82.00,-75.00,1.25,1.39,0.84,0.88,17:04:50.743641
-41.00,-42.00,-82.00,-75.00,1.25,1.39,0.84,0.88,17:04:50.963792
-41.00,-42.00,-82.00,-75.00,1.24,1.38,0.84,0.88,17:04:51.204264
-41.00,-42.00,-82.00,-75.00,1.24,1.38,0.84,0.88,17:04:51.414519
-41.00,-42.00,-82.00,-75.00,1.24,1.38,0.84,0.88,17:04:51.623963
-41.00,-42.00,-82.00,-75.00,1.24,1.38,0.84,0.88,17:04:51.833996
-41.00,-42.00,-82.00,-75.00,1.24,1.38,0.84,0.88,17:04:52.033962
-41.00,-42.00,-82.00,-75.00,1.24,1.38,0.84,0.88,17:04:52.233990
-41.00,-42.00,-82.00,-75.00,1.24,1.38,0.84,0.88,17:04:52.444078
-41.00,-42.00,-82.00,-75.00,1.24,1.38,0.84,0.88,17:04:52.655495
-41.00,-42.00,-82.00,-75.00,1.23,1.38,0.84,0.88,17:04:52.914130
-41.00,-42.00,-82.00,-75.00,1.23,1.38,0.84,0.88,17:04:53.115079
-41.00,-42.00,-82.00,-75.00,1.23,1.38,0.84,0.88,17:04:53.314432
-41.00,-42.00,-82.00,-75.00,1.23,1.38,0.84,0.88,17:04:53.514359
-41.00,-42.00,-82.00,-75.00,1.23,1.38,0.84,0.88,17:04:53.713786
-41.00,-42.00,-82.00,-75.00,1.23,1.38,0.84,0.88,17:04:53.924255
-41.00,-42.00,-82.00,-75.00,1.23,1.38,0.84,0.88,17:04:54.137458
-41.00,-42.00,-82.00,-75.00,1.23,1.38,0.84,0.88,17:04:54.334345
-41.00,-42.00,-82.00,-75.00,1.24,1.38,0.83,0.89,17:04:54.524526
-41.00,-42.00,-82.00,-75.00,1.24,1.38,0.83,0.89,17:04:54.724481
-41.00,-42.00,-82.00,-75.00,1.24,1.38,0.83,0.89,17:04:54.935023
-41.00,-42.00,-82.00,-75.00,1.24,1.38,0.83,0.89,17:04:55.134127
-41.00,-42.00,-82.00,-75.00,1.24,1.38,0.83,0.89,17:04:55.333990
-41.00,-42.00,-82.00,-75.00,1.24,1.38,0.83,0.89,17:04:55.533949
-41.00,-42.00,-82.00,-75.00,1.24,1.38,0.83,0.89,17:04:55.733945
-41.00,-42.00,-82.00,-75.00,1.24,1.38,0.83,0.89,17:04:55.924484
-41.00,-42.00,-82.00,-75.00,1.24,1.38,0.84,0.88,17:04:56.124647
-41.00,-42.00,-82.00,-75.00,1.24,1.38,0.84,0.88,17:04:56.334507
-41.00,-42.00,-82.00,-75.00,1.24,1.38,0.84,0.88,17:04:56.533789
-41.00,-42.00,-82.00,-75.00,1.24,1.38,0.84,0.88,17:04:56.744552
-41.00,-42.00,-82.00,-75.00,1.24,1.38,0.84,0.88,17:04:56.964016
-41.00,-42.00,-82.00,-75.00,1.24,1.38,0.84,0.88,17:04:57.204777
-41.00,-42.00,-82.00,-75.00,1.24,1.38,0.84,0.88,17:04:57.416315
-41.00,-42.00,-82.00,-75.00,1.24,1.38,0.84,0.88,17:04:57.626621
-41.00,-42.00,-82.00,-75.00,1.24,1.38,0.84,0.88,17:04:57.824274
-41.00,-42.00,-82.00,-75.00,1.24,1.38,0.84,0.88,17:04:58.024017
-41.00,-42.00,-82.00,-75.00,1.24,1.38,0.84,0.88,17:04:58.225890
-41.00,-42.00,-82.00,-75.00,1.24,1.38,0.84,0.88,17:04:58.434769
-41.00,-42.00,-82.00,-75.00,1.24,1.38,0.84,0.88,17:04:58.634610
-41.00,-42.00,-82.00,-75.00,1.24,1.38,0.84,0.88,17:04:58.834299
-41.00,-42.00,-82.00,-75.00,1.24,1.38,0.84,0.88,17:04:59.044104
-41.00,-42.00,-82.00,-75.00,1.25,1.38,0.84,0.89,17:04:59.304827
-41.00,-42.00,-82.00,-75.00,1.25,1.38,0.84,0.89,17:04:59.504398
-41.00,-42.00,-82.00,-75.00,1.25,1.38,0.84,0.89,17:04:59.704909
-41.00,-42.00,-82.00,-75.00,1.25,1.38,0.84,0.89,17:04:59.925121
-41.00,-42.00,-82.00,-75.00,1.25,1.38,0.84,0.89,17:05:00.133984
-41.00,-42.00,-82.00,-75.00,1.25,1.38,0.84,0.89,17:05:00.345505
-41.00,-42.00,-82.00,-75.00,1.25,1.38,0.84,0.89,17:05:00.545831
-41.00,-42.00,-82.00,-75.00,1.25,1.38,0.84,0.89,17:05:00.744353
-41.00,-42.00,-82.00,-75.00,1.25,1.38,0.84,0.89,17:05:00.944767
-41.00,-42.00,-82.00,-75.00,1.24,1.38,0.83,0.89,17:05:01.164479
-41.00,-42.00,-82.00,-75.00,1.24,1.38,0.83,0.89,17:05:01.417398
-41.00,-42.00,-82.00,-75.00,1.24,1.38,0.83,0.89,17:05:01.624062
-41.00,-42.00,-82.00,-75.00,1.24,1.38,0.83,0.89,17:05:01.836065
-41.00,-42.00,-82.00,-75.00,1.24,1.38,0.83,0.89,17:05:02.044776
-41.00,-42.00,-82.00,-75.00,1.24,1.38,0.83,0.89,17:05:02.249344
-41.00,-42.00,-82.00,-75.00,1.24,1.38,0.83,0.89,17:05:02.444297
-41.00,-42.00,-82.00,-75.00,1.24,1.38,0.83,0.89,17:05:02.644712
-41.00,-42.00,-82.00,-75.00,1.25,1.38,0.84,0.89,17:05:02.856994
-41.00,-42.00,-82.00,-75.00,1.25,1.38,0.84,0.89,17:05:03.064332
-41.00,-42.00,-82.00,-75.00,1.25,1.38,0.84,0.89,17:05:03.387344
-41.00,-42.00,-82.00,-75.00,1.25,1.38,0.84,0.89,17:05:03.725069
-41.00,-42.00,-82.00,-75.00,1.25,1.38,0.84,0.89,17:05:03.934901
-41.00,-42.00,-82.00,-75.00,1.25,1.38,0.84,0.89,17:05:04.124826
-41.00,-42.00,-82.00,-75.00,1.25,1.38,0.84,0.89,17:05:04.344706
-41.00,-42.00,-82.00,-75.00,1.25,1.38,0.84,0.89,17:05:04.534442
-41.00,-42.00,-82.00,-75.00,1.25,1.38,0.83,0.89,17:05:04.738186
-41.00,-42.00,-82.00,-75.00,1.25,1.38,0.83,0.89,17:05:04.945105
-41.00,-42.00,-82.00,-75.00,1.25,1.38,0.83,0.89,17:05:05.144468
-41.00,-42.00,-82.00,-75.00,1.25,1.38,0.83,0.89,17:05:05.344657
-41.00,-42.00,-82.00,-75.00,1.25,1.38,0.83,0.89,17:05:05.546200
-41.00,-42.00,-82.00,-75.00,1.25,1.38,0.83,0.89,17:05:05.744360
-41.00,-42.00,-82.00,-75.00,1.25,1.38,0.83,0.89,17:05:05.935064
-41.00,-42.00,-82.00,-75.00,1.25,1.38,0.83,0.89,17:05:06.134910
-41.00,-42.00,-82.00,-75.00,1.25,1.38,0.84,0.89,17:05:06.344944
-41.00,-42.00,-82.00,-75.00,1.25,1.38,0.84,0.89,17:05:06.545041
-41.00,-42.00,-82.00,-75.00,1.25,1.38,0.84,0.89,17:05:06.744589
-41.00,-42.00,-82.00,-75.00,1.25,1.38,0.84,0.89,17:05:07.015038
-41.00,-42.00,-82.00,-75.00,1.25,1.38,0.84,0.89,17:05:07.225195
-41.00,-42.00,-82.00,-75.00,1.25,1.38,0.84,0.89,17:05:07.434495
-41.00,-42.00,-82.00,-75.00,1.25,1.38,0.84,0.89,17:05:07.634746
-41.00,-42.00,-82.00,-75.00,1.25,1.38,0.84,0.89,17:05:07.835068
