SUSPENSION_HEIGHT_CUR_1,SUSPENSION_HEIGHT_CUR_2,SUSPENSION_HEIGHT_CUR_3,SUSPENSION_HEIGHT_CUR_4,SUSPENSION_PRESSURE_CUR_1,SUSPENSION_PRESSURE_CUR_2,SUSPENSION_PRESSURE_CUR_3,SUSPENSION_PRESSURE_CUR_4,time
,,,,,,,,17:56:32.002904
,,,,,,,,17:56:32.004905
,,,,,,,,17:56:32.361877
,,,,,,,,17:56:32.571239
,,,,,,,,17:56:32.771924
,,,,,,,,17:56:32.972007
,,,,,,,,17:56:33.182595
,,,,,,,,17:56:33.381341
,,,,,,,,17:56:33.581244
,,,,,,,,17:56:33.782023
-37.00,-40.00,-73.00,-69.00,1.20,1.33,0.70,0.76,17:56:33.992111
-37.00,-40.00,-73.00,-69.00,1.20,1.33,0.70,0.76,17:56:34.191810
-37.00,-40.00,-73.00,-69.00,1.20,1.33,0.70,0.76,17:56:34.391229
-37.00,-40.00,-73.00,-69.00,1.20,1.33,0.70,0.76,17:56:34.601855
-37.00,-40.00,-73.00,-69.00,1.20,1.33,0.70,0.76,17:56:34.862371
-37.00,-40.00,-73.00,-69.00,1.20,1.33,0.70,0.76,17:56:35.061346
-37.00,-40.00,-73.00,-69.00,1.20,1.33,0.70,0.76,17:56:35.271788
-37.00,-40.00,-73.00,-69.00,1.20,1.33,0.70,0.76,17:56:35.471284
-44.00,-33.00,-67.00,-64.00,1.20,1.32,0.70,0.76,17:56:35.671766
-44.00,-33.00,-67.00,-64.00,1.20,1.32,0.70,0.76,17:56:35.871777
-44.00,-33.00,-67.00,-64.00,1.20,1.32,0.70,0.76,17:56:36.081484
-44.00,-33.00,-67.00,-64.00,1.20,1.32,0.70,0.76,17:56:36.282069
-44.00,-33.00,-67.00,-64.00,1.20,1.32,0.70,0.76,17:56:36.481430
-44.00,-33.00,-67.00,-64.00,1.20,1.32,0.70,0.76,17:56:36.681237
-44.00,-33.00,-67.00,-64.00,1.20,1.32,0.70,0.76,17:56:36.871758
-44.00,-33.00,-67.00,-64.00,1.20,1.32,0.70,0.76,17:56:37.072044
-44.00,-36.00,-73.00,-66.00,1.20,1.32,0.70,0.76,17:56:37.281544
-44.00,-36.00,-73.00,-66.00,1.20,1.32,0.70,0.76,17:56:37.491380
-44.00,-36.00,-73.00,-66.00,1.20,1.32,0.70,0.76,17:56:37.701425
-44.00,-36.00,-73.00,-66.00,1.20,1.32,0.70,0.76,17:56:37.902152
-44.00,-36.00,-73.00,-66.00,1.20,1.32,0.70,0.76,17:56:38.131345
-44.00,-36.00,-73.00,-66.00,1.20,1.32,0.70,0.76,17:56:38.351604
-44.00,-36.00,-73.00,-66.00,1.20,1.32,0.70,0.76,17:56:38.551576
-44.00,-36.00,-73.00,-66.00,1.20,1.32,0.70,0.76,17:56:38.761849
-44.00,-36.00,-73.00,-69.00,1.20,1.32,0.70,0.76,17:56:38.962053
-44.00,-36.00,-73.00,-69.00,1.20,1.32,0.70,0.76,17:56:39.161868
-44.00,-36.00,-73.00,-69.00,1.20,1.32,0.70,0.76,17:56:39.372093
-44.00,-36.00,-73.00,-69.00,1.20,1.32,0.70,0.76,17:56:39.572159
-44.00,-36.00,-73.00,-69.00,1.20,1.32,0.70,0.76,17:56:39.771646
-44.00,-36.00,-73.00,-69.00,1.20,1.32,0.70,0.76,17:56:39.971721
-44.00,-36.00,-73.00,-69.00,1.20,1.32,0.70,0.76,17:56:40.192162
-44.00,-36.00,-73.00,-69.00,1.20,1.32,0.70,0.76,17:56:40.401828
-44.00,-36.00,-73.00,-69.00,1.20,1.32,0.70,0.76,17:56:40.601673
-44.00,-36.00,-73.00,-69.00,1.20,1.32,0.70,0.76,17:56:40.831587
-44.00,-36.00,-73.00,-69.00,1.20,1.32,0.70,0.76,17:56:41.051985
-44.00,-36.00,-73.00,-69.00,1.20,1.32,0.70,0.76,17:56:41.271773
-44.00,-36.00,-73.00,-69.00,1.20,1.32,0.70,0.76,17:56:41.472221
-44.00,-36.00,-73.00,-69.00,1.20,1.32,0.70,0.76,17:56:41.672141
-44.00,-36.00,-73.00,-69.00,1.20,1.32,0.70,0.76,17:56:41.882112
-44.00,-36.00,-73.00,-69.00,1.20,1.32,0.70,0.76,17:56:42.082580
-44.00,-35.00,-73.00,-69.00,1.20,1.33,0.70,0.76,17:56:42.281911
-44.00,-35.00,-73.00,-69.00,1.20,1.33,0.70,0.76,17:56:42.482036
-44.00,-35.00,-73.00,-69.00,1.20,1.33,0.70,0.76,17:56:42.692521
-44.00,-35.00,-73.00,-69.00,1.20,1.33,0.70,0.76,17:56:42.882399
-44.00,-35.00,-73.00,-69.00,1.20,1.33,0.70,0.76,17:56:43.091885
-44.00,-35.00,-73.00,-69.00,1.20,1.33,0.70,0.76,17:56:43.292479
-44.00,-35.00,-73.00,-69.00,1.20,1.33,0.70,0.76,17:56:43.492145
-44.00,-35.00,-73.00,-69.00,1.20,1.33,0.70,0.76,17:56:43.701622
-44.00,-36.00,-73.00,-69.00,1.20,1.32,0.70,0.76,17:56:43.902478
-44.00,-36.00,-73.00,-69.00,1.20,1.32,0.70,0.76,17:56:44.132374
-44.00,-36.00,-73.00,-69.00,1.20,1.32,0.70,0.76,17:56:44.351769
-44.00,-36.00,-73.00,-69.00,1.20,1.32,0.70,0.76,17:56:44.552214
-44.00,-36.00,-73.00,-69.00,1.20,1.32,0.70,0.76,17:56:44.762596
-44.00,-36.00,-73.00,-69.00,1.20,1.32,0.70,0.76,17:56:44.962576
-44.00,-36.00,-73.00,-69.00,1.20,1.32,0.70,0.76,17:56:45.162309
-44.00,-36.00,-73.00,-69.00,1.20,1.32,0.70,58.24,17:56:45.366718
-44.00,-36.00,-73.00,-69.00,1.20,1.32,0.70,58.24,17:56:45.568592
-44.00,-36.00,-73.00,-69.00,1.20,1.32,0.70,58.24,17:56:45.769039
