STEERING_SERVO_CUR_POS_FRONT,STEERING_SERVO_CUR_POS_REAR,STEERING_SERVO_CURRENT_FRONT,STEERING_SERVO_CURRENT_REAR,time
,,,,15:13:44.426742
,,,,15:13:44.429741
,,,,15:13:44.755735
,,,,15:13:44.955734
,,,,15:13:45.172735
,,,,15:13:45.405736
0.00,-2.00,4320.00,550.00,15:13:45.625739
0.00,-2.00,4320.00,550.00,15:13:45.835741
0.00,-2.00,4320.00,550.00,15:13:46.075739
0.00,-2.00,4320.00,550.00,15:13:46.316737
0.00,-2.00,4310.00,560.00,15:13:46.525737
0.00,-2.00,4310.00,560.00,15:13:46.725739
0.00,-2.00,4310.00,560.00,15:13:46.925737
0.00,-2.00,4310.00,560.00,15:13:47.135737
0.00,-2.00,4310.00,550.00,15:13:47.358740
0.00,-2.00,4310.00,550.00,15:13:47.555739
0.00,-2.00,4310.00,550.00,15:13:47.767738
0.00,-2.00,4310.00,550.00,15:13:47.970767
0.00,-2.00,4310.00,560.00,15:13:48.217741
0.00,-2.00,4310.00,560.00,15:13:48.425743
0.00,-2.00,4310.00,560.00,15:13:48.635741
0.00,-2.00,4310.00,560.00,15:13:48.845741
0.00,-2.00,4310.00,550.00,15:13:49.055740
0.00,-2.00,4310.00,550.00,15:13:49.255739
0.00,-2.00,4310.00,550.00,15:13:49.469738
0.00,-2.00,4310.00,550.00,15:13:49.717741
0.00,-2.00,4310.00,560.00,15:13:49.955738
0.00,-2.00,4310.00,560.00,15:13:50.155739
0.00,-2.00,4310.00,560.00,15:13:50.355738
0.00,-2.00,4310.00,560.00,15:13:50.555742
0.00,-2.00,4310.00,560.00,15:13:50.757739
0.00,-2.00,4310.00,560.00,15:13:50.977744
0.00,-2.00,4310.00,560.00,15:13:51.225744
0.00,-2.00,4310.00,560.00,15:13:51.435774
0.00,-2.00,4310.00,550.00,15:13:51.635786
0.00,-2.00,4310.00,550.00,15:13:51.846742
0.00,-2.00,4310.00,550.00,15:13:52.047779
0.00,-2.00,4310.00,550.00,15:13:52.255746
0.00,-2.00,4320.00,550.00,15:13:52.495747
0.00,-2.00,4320.00,550.00,15:13:52.732742
0.00,-2.00,4320.00,550.00,15:13:52.955743
0.00,-2.00,4320.00,550.00,15:13:53.170745
0.00,-2.00,4320.00,560.00,15:13:53.419745
0.00,-2.00,4320.00,560.00,15:13:53.639746
0.00,-2.00,4320.00,560.00,15:13:53.836744
0.00,-2.00,4320.00,560.00,15:13:54.050748
22.00,39.00,2090.00,470.00,15:13:54.257744
22.00,39.00,2090.00,470.00,15:13:54.455785
22.00,39.00,2090.00,470.00,15:13:54.667745
22.00,39.00,2090.00,470.00,15:13:54.895747
368.00,223.00,2620.00,2160.00,15:13:55.147743
368.00,223.00,2620.00,2160.00,15:13:55.355748
368.00,223.00,2620.00,2160.00,15:13:55.557791
368.00,223.00,2620.00,2160.00,15:13:55.767746
828.00,21.00,4480.00,0.00,15:13:55.995782
828.00,21.00,4480.00,0.00,15:13:56.218749
828.00,21.00,4480.00,0.00,15:13:56.425751
828.00,21.00,4480.00,0.00,15:13:56.635752
899.00,34.00,4860.00,3850.00,15:13:56.835751
899.00,34.00,4860.00,3850.00,15:13:57.045749
899.00,34.00,4860.00,3850.00,15:13:57.245745
899.00,34.00,4860.00,3850.00,15:13:57.455790
976.00,242.00,5310.00,3850.00,15:13:57.695783
976.00,242.00,5310.00,3850.00,15:13:57.925748
976.00,242.00,5310.00,3850.00,15:13:58.135749
976.00,242.00,5310.00,3850.00,15:13:58.337749
981.00,82.00,5360.00,4180.00,15:13:58.535749
981.00,82.00,5360.00,4180.00,15:13:58.755751
981.00,82.00,5360.00,4180.00,15:13:58.955750
981.00,82.00,5360.00,4180.00,15:13:59.155751
799.00,59.00,2630.00,4120.00,15:13:59.367750
799.00,59.00,2630.00,4120.00,15:13:59.566748
799.00,59.00,2630.00,4120.00,15:13:59.775751
799.00,59.00,2630.00,4120.00,15:14:00.005749
18.00,-256.00,5970.00,5620.00,15:14:00.235749
18.00,-256.00,5970.00,5620.00,15:14:00.435750
