BRAKE_CONT1_CUR_PRESSURE_CANOPEN,BRAKE_CONT2_CUR_PRESSURE_CANOPEN,BRAKE_CURVE_PRESSURE_1,BRAKE_CURVE_PRESSURE_2,BRAKE_CURVE_PRESSURE_3,BRAKE_CURVE_PRESSURE_4,BRAKE_CURVE_PRESSURE_5,BRAKE_CURVE_TIME_1,BRAKE_CURVE_TIME_2,BRAKE_CURVE_TIME_3,BRAKE_CURVE_TIME_4,BRAKE_CURVE_TIME_5,time
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:17.131553
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:17.342568
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:17.552125
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:17.762570
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:17.961531
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:18.356901
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:18.572026
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:18.782501
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:18.981931
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:19.192387
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:19.392362
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:19.602369
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:19.811971
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:20.022565
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:20.222724
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:20.424501
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:20.632727
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:21.027421
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:21.242585
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:21.442315
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:21.642599
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:21.852832
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:22.052139
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:22.262063
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:22.462435
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:22.662193
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:22.872884
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:23.072827
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:23.272577
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:23.688199
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:23.902834
0.00,0.00,25.00,51.00,102.00,178.00,229.00,100.00,1000.00,2000.00,3000.00,4000.00,11:48:24.102442
