PSTED_TORQUE,PSTED_MOTOR_SPEED,PSTED_CURRENT,PSTED_VOLTAGE,PSTED_MOTOR_TEMP,PSTED_INV_RADIATOR_TEMP,PSTED_OUT_BMS_VOLTAGE,SYSTEM_24V_VOLTAGE,STEERING_SERVO_CUR_POS_FRONT,STEERING_SERVO_CUR_POS_REAR,time
0.00,0.00,0.00,349.41,15.00,86.00,29.67,3.52,24265.00,2.00,16:28:41.244933
0.00,0.00,0.00,349.41,15.00,86.00,29.67,3.52,24265.00,2.00,16:28:41.249964
0.00,0.00,0.00,349.41,40.00,17.00,376.92,24.48,2.00,-36.00,16:28:42.062871
0.00,0.00,0.00,349.41,40.00,17.00,376.92,24.48,2.00,-36.00,16:28:42.611093
0.00,0.00,0.00,349.41,40.00,17.00,376.92,24.46,1.00,-36.00,16:28:43.279561
0.00,0.00,0.00,349.41,40.00,17.00,376.92,24.46,1.00,-36.00,16:28:43.900051
0.00,0.00,0.00,349.41,40.00,17.00,376.92,24.46,2.00,2.00,16:28:44.733130
0.00,0.00,0.00,349.41,40.00,17.00,376.92,24.46,2.00,2.00,16:28:45.254161
0.00,0.00,0.00,349.41,40.00,17.00,376.92,24.48,2.00,-36.00,16:28:45.952537
0.00,0.00,0.00,349.41,40.00,17.00,376.92,24.46,2.00,-36.00,16:28:46.687014
3.00,0.00,10.24,349.41,40.00,17.00,376.92,3.54,24465.00,2.00,16:28:47.464047
3.00,0.00,10.24,349.41,40.00,17.00,376.92,3.54,24465.00,2.00,16:28:48.026286
6.00,0.00,15.35,349.41,40.00,17.00,376.92,24.45,2.00,-36.00,16:28:48.680097
8.00,0.00,15.35,349.41,41.00,17.00,29.67,3.54,24447.00,2.00,16:28:49.349390
10.00,0.00,25.59,349.41,41.00,17.00,375.18,24.45,2.00,-36.00,16:28:50.223165
10.00,0.00,25.59,349.41,41.00,17.00,375.18,24.45,2.00,-36.00,16:28:50.843981
17.00,0.00,30.71,349.41,41.00,17.00,373.43,24.45,2.00,-36.00,16:28:51.448606
19.00,0.00,0.00,44.47,15.00,81.00,29.67,3.54,24448.00,2.00,16:28:52.164803
24.00,0.00,46.06,349.41,41.00,17.00,373.43,24.46,2.00,-36.00,16:28:53.045799
24.00,0.00,46.06,349.41,41.00,17.00,373.43,24.46,2.00,-36.00,16:28:53.499031
27.00,0.00,51.18,349.41,15.00,81.00,29.67,3.54,24453.00,2.00,16:28:54.165987
29.00,0.00,56.30,349.41,41.00,17.00,373.43,24.45,2.00,2.00,16:28:54.914239
34.00,0.00,66.54,349.41,41.00,17.00,29.67,3.54,24450.00,2.00,16:28:55.713699
34.00,0.00,66.54,349.41,41.00,17.00,29.67,3.54,24450.00,2.00,16:28:56.289420
34.00,0.00,66.54,349.41,40.00,17.00,373.43,24.45,2.00,-36.00,16:28:56.928406
34.00,0.00,66.54,349.41,40.00,17.00,373.43,24.45,2.00,-36.00,16:28:57.611731
34.00,0.00,66.54,349.41,41.00,17.00,373.43,24.45,2.00,-36.00,16:28:58.417937
34.00,0.00,66.54,349.41,41.00,17.00,373.43,24.45,2.00,-36.00,16:28:58.926277
38.00,0.00,71.65,349.41,41.00,17.00,361.22,24.45,2.00,-36.00,16:28:59.532746
38.00,331.80,56.30,349.41,41.00,17.00,361.22,24.45,1.00,-36.00,16:29:00.218748
38.00,477.07,56.30,349.41,15.00,81.00,29.67,3.54,24450.00,2.00,16:29:00.945898
38.00,477.07,56.30,349.41,15.00,81.00,29.67,3.54,24450.00,2.00,16:29:01.517063
38.00,614.28,56.30,343.06,41.00,17.00,361.22,24.45,2.00,-36.00,16:29:02.125522
38.00,1253.94,56.30,343.06,41.00,17.00,361.22,24.45,2.00,-36.00,16:29:02.860834
38.00,3228.13,46.06,343.06,40.00,17.00,361.22,24.45,2.00,-35.00,16:29:03.643633
38.00,3228.13,46.06,343.06,40.00,17.00,361.22,24.45,2.00,-35.00,16:29:04.184145
38.00,3754.75,25.59,343.06,35.00,17.00,361.22,24.45,2.00,-34.00,16:29:04.881724
38.00,3966.19,20.47,343.06,31.00,17.00,361.22,24.45,2.00,-33.00,16:29:05.568870
38.00,4098.76,20.47,343.06,29.00,17.00,361.22,24.45,2.00,-33.00,16:29:06.434033
38.00,4098.76,20.47,343.06,29.00,17.00,361.22,24.45,2.00,-33.00,16:29:07.079316
38.00,4128.79,20.47,343.06,31.00,17.00,361.22,24.45,2.00,-33.00,16:29:07.793763
38.00,4129.52,20.47,343.06,28.00,17.00,361.22,24.45,2.00,-33.00,16:29:08.450997
41.00,4222.30,20.47,343.06,27.00,17.00,361.22,24.45,2.00,-33.00,16:29:09.316565
41.00,4222.30,20.47,343.06,27.00,17.00,361.22,24.45,2.00,-33.00,16:29:09.882946
44.00,4323.13,25.59,343.06,27.00,17.00,361.22,24.45,2.00,-33.00,16:29:10.541492
45.00,4524.31,30.71,343.06,27.00,17.00,361.22,24.44,2.00,-31.00,16:29:11.228980
47.00,5119.05,40.94,343.06,28.00,17.00,263.50,24.45,2.00,-30.00,16:29:12.024317
47.00,5119.05,40.94,343.06,28.00,17.00,263.50,24.45,2.00,-30.00,16:29:12.518438
48.00,5567.55,51.18,343.06,28.00,17.00,263.50,3.48,24448.00,2.00,16:29:13.173472
48.00,5938.17,51.18,343.06,26.00,17.00,263.50,24.46,2.00,2.00,16:29:13.871745
46.00,6414.26,51.18,343.06,35.00,17.00,211.15,24.48,2.00,-28.00,16:29:14.643969
46.00,6414.26,51.18,343.06,35.00,17.00,211.15,24.48,2.00,-28.00,16:29:15.134340
45.00,6572.22,56.30,336.71,36.00,17.00,216.38,24.46,2.00,-28.00,16:29:15.820755
44.00,6651.57,51.18,336.71,33.00,17.00,216.38,24.46,2.00,-28.00,16:29:16.459595
43.00,6767.78,51.18,343.06,33.00,17.00,218.12,24.45,2.00,-28.00,16:29:17.306149
43.00,6767.78,51.18,343.06,33.00,17.00,218.12,24.45,2.00,-28.00,16:29:17.875794
43.00,6797.57,56.30,343.06,33.00,17.00,218.12,24.45,2.00,-28.00,16:29:18.546068
43.00,6801.48,56.30,336.71,33.00,17.00,218.12,24.46,2.00,-28.00,16:29:19.217805
43.00,6818.57,51.18,336.71,32.00,17.00,216.38,24.45,2.00,-28.00,16:29:20.023815
43.00,6818.57,51.18,336.71,32.00,17.00,216.38,24.45,2.00,-28.00,16:29:20.540934
43.00,6841.76,51.18,343.06,32.00,17.00,216.38,24.45,2.00,-28.00,16:29:21.222932
43.00,6856.65,51.18,336.71,35.00,17.00,216.38,24.45,2.00,-28.00,16:29:21.909906
43.00,6855.92,51.18,336.71,35.00,17.00,216.38,24.46,2.00,-28.00,16:29:22.724798
43.00,6855.92,51.18,336.71,35.00,17.00,216.38,24.46,2.00,-28.00,16:29:23.300758
43.00,6857.39,51.18,336.71,36.00,17.00,216.38,24.45,1.00,-28.00,16:29:23.984866
43.00,6847.62,56.30,343.06,38.00,17.00,216.38,24.45,2.00,-28.00,16:29:24.639501
36.00,6826.38,51.18,336.71,37.00,17.00,216.38,24.46,1.00,-28.00,16:29:25.465190
36.00,6826.38,51.18,336.71,37.00,17.00,216.38,24.46,1.00,-28.00,16:29:26.025772
30.00,6784.63,40.94,343.06,36.00,17.00,216.38,24.45,2.00,-28.00,16:29:26.689360
25.00,6634.97,30.71,343.06,36.00,17.00,216.38,24.45,1.00,-28.00,16:29:27.341419
17.00,6346.63,15.35,343.06,35.00,17.00,216.38,24.45,1.00,-27.00,16:29:28.164280
17.00,6346.63,15.35,343.06,35.00,17.00,216.38,24.45,1.00,-27.00,16:29:28.707081
11.00,5309.73,10.24,343.06,14.00,77.00,29.67,3.45,24450.00,2.00,16:29:29.411030
10.00,5088.78,15.35,343.06,37.00,17.00,286.18,24.45,2.00,-27.00,16:29:30.081048
2.00,4504.04,5.12,343.06,14.00,75.00,29.67,3.49,24450.00,2.00,16:29:30.855098
2.00,4504.04,5.12,343.06,14.00,75.00,29.67,3.49,24450.00,2.00,16:29:31.423211
0.00,3974.49,0.00,343.06,35.00,17.00,277.46,24.46,2.00,-26.00,16:29:32.106169
0.00,3457.87,0.00,343.06,40.00,17.00,277.46,24.46,1.00,-26.00,16:29:32.741270
0.00,2350.41,0.00,343.06,42.00,17.00,322.83,24.45,2.00,-26.00,16:29:33.504609
0.00,2350.41,0.00,343.06,42.00,17.00,322.83,24.45,2.00,-26.00,16:29:34.039988
0.00,1789.61,0.00,349.41,43.00,17.00,322.83,24.46,1.00,-26.00,16:29:34.741627
0.00,1242.96,0.00,343.06,43.00,17.00,322.83,24.45,2.00,-26.00,16:29:35.426320
0.00,345.96,0.00,349.41,44.00,17.00,322.83,24.46,2.00,-26.00,16:29:36.245008
0.00,345.96,0.00,349.41,44.00,17.00,322.83,24.46,2.00,-26.00,16:29:36.795120
0.00,194.83,0.00,343.06,44.00,17.00,322.83,24.45,2.00,-26.00,16:29:37.433771
0.00,0.00,0.00,343.06,44.00,17.00,322.83,24.46,2.00,-26.00,16:29:38.091050
0.00,0.00,0.00,343.06,14.00,84.00,29.67,3.52,24456.00,2.00,16:29:38.849249
0.00,0.00,0.00,343.06,14.00,84.00,29.67,3.52,24456.00,2.00,16:29:39.382950
