SUSPENSION_HEIGHT_CUR_1,SUSPENSION_HEIGHT_CUR_2,SUSPENSION_HEIGHT_CUR_3,SUSPENSION_HEIGHT_CUR_4,SUSPENSION_PRESSURE_CUR_1,SUSPENSION_PRESSURE_CUR_2,SUSPENSION_PRESSURE_CUR_3,SUSPENSION_PRESSURE_CUR_4,time
-41.00,-42.00,-82.00,-75.00,1.24,1.39,0.84,0.89,16:59:25.382362
-41.00,-42.00,-82.00,-75.00,1.24,1.39,0.84,0.89,16:59:25.384363
-41.00,-42.00,-82.00,-75.00,1.24,1.39,0.84,0.89,16:59:25.711499
-41.00,-42.00,-82.00,-75.00,1.24,1.39,0.84,0.89,16:59:25.919259
-41.00,-42.00,-82.00,-75.00,1.24,1.39,0.84,0.89,16:59:26.122344
-41.00,-42.00,-82.00,-75.00,1.24,1.39,0.84,0.89,16:59:26.328590
-41.00,-42.00,-82.00,-75.00,1.24,1.39,0.84,0.89,16:59:26.531271
-41.00,-42.00,-82.00,-75.00,1.24,1.39,0.84,0.89,16:59:26.739581
-41.00,-42.00,-82.00,-75.00,1.24,1.39,0.84,0.89,16:59:26.940137
-41.00,-42.00,-82.00,-75.00,1.24,1.39,0.84,0.89,16:59:27.140390
-41.00,-42.00,-82.00,-72.00,1.25,1.39,0.84,0.89,16:59:27.349391
-41.00,-42.00,-82.00,-72.00,1.25,1.39,0.84,0.89,16:59:27.589053
-41.00,-42.00,-82.00,-72.00,1.25,1.39,0.84,0.89,16:59:27.791572
-41.00,-42.00,-82.00,-72.00,1.25,1.39,0.84,0.89,16:59:27.999687
-41.00,-42.00,-82.00,-72.00,1.25,1.39,0.84,0.89,16:59:28.209496
-41.00,-42.00,-82.00,-72.00,1.25,1.39,0.84,0.89,16:59:28.409433
-41.00,-42.00,-82.00,-72.00,1.25,1.39,0.84,0.89,16:59:28.619398
-41.00,-42.00,-82.00,-72.00,1.25,1.39,0.84,0.89,16:59:28.821713
-41.00,-42.00,-82.00,-75.00,1.25,1.39,0.85,0.89,16:59:29.020428
-41.00,-42.00,-82.00,-75.00,1.25,1.39,0.85,0.89,16:59:29.219477
-41.00,-42.00,-82.00,-75.00,1.25,1.39,0.85,0.89,16:59:29.419023
