PSTED_TORQUE,PSTED_MOTOR_SPEED,PSTED_CURRENT,PSTED_VOLTAGE,PSTED_MOTOR_TEMP,PSTED_INV_RADIATOR_TEMP,PSTED_OUT_BMS_VOLTAGE,SYSTEM_24V_VOLTAGE,STEERING_SERVO_CUR_POS_FRONT,STEERING_SERVO_CUR_POS_REAR,STEERING_SERVO_CURRENT_FRONT,STEERING_SERVO_CURRENT_REAR,time
,,,,,,,,,,,,19:21:02.871764
,,,,,,,,,,,,19:21:02.874765
,,,,,,,,,,,,19:21:03.190608
,,,,,,,,,,,,19:21:03.390653
,,,,,,,,,,,,19:21:03.628167
,,,,,,,,,,,,19:21:03.837782
,,,,,,,,,,,,19:21:04.057459
,,,,,,,,,,,,19:21:04.258577
,,,,,,,,,,,,19:21:04.461248
,,,,,,,,,,,,19:21:04.668096
,,,,,,,,,,,,19:21:04.857773
,,,,,,,,,,,,19:21:05.067340
,,,,,,,,,,,,19:21:05.267576
,,,,,,,,,,,,19:21:05.468150
0.00,0.00,0.00,355.76,41.00,78.00,359.30,24.48,31.00,0.00,1780.00,0.00,19:21:05.692138
0.00,0.00,0.00,355.76,41.00,78.00,359.30,24.48,31.00,0.00,1780.00,0.00,19:21:05.878051
0.00,0.00,0.00,355.76,41.00,78.00,359.30,24.48,31.00,0.00,1780.00,0.00,19:21:06.078087
0.00,0.00,0.00,355.76,41.00,78.00,359.30,24.48,31.00,0.00,1780.00,0.00,19:21:06.278091
0.00,0.00,0.00,355.76,41.00,78.00,359.30,24.48,31.00,0.00,1780.00,0.00,19:21:06.468506
0.00,0.00,0.00,355.76,41.00,78.00,359.30,24.48,31.00,0.00,1780.00,0.00,19:21:06.657918
0.00,0.00,0.00,355.76,41.00,78.00,359.30,24.48,31.00,0.00,1780.00,0.00,19:21:06.857982
0.00,0.00,0.00,355.76,41.00,78.00,359.30,24.48,31.00,0.00,1780.00,0.00,19:21:07.058282
0.00,0.00,0.00,355.76,41.00,78.00,359.30,24.48,31.00,0.00,1780.00,0.00,19:21:07.258371
0.00,0.00,0.00,355.76,41.00,78.00,359.30,24.48,31.00,0.00,1780.00,0.00,19:21:07.459123
0.00,0.00,0.00,355.76,41.00,78.00,359.30,24.48,31.00,0.00,1780.00,0.00,19:21:07.668173
0.00,0.00,0.00,355.76,41.00,78.00,359.30,24.48,31.00,0.00,1780.00,0.00,19:21:07.867863
0.00,0.00,0.00,349.41,41.00,78.00,359.20,24.49,0.00,0.00,1780.00,0.00,19:21:08.068105
0.00,0.00,0.00,349.41,41.00,78.00,359.20,24.49,0.00,0.00,1780.00,0.00,19:21:08.278341
0.00,0.00,0.00,349.41,41.00,78.00,359.20,24.49,0.00,0.00,1780.00,0.00,19:21:08.491240
0.00,0.00,0.00,349.41,41.00,78.00,359.20,24.49,0.00,0.00,1780.00,0.00,19:21:08.690741
0.00,0.00,0.00,349.41,41.00,78.00,359.20,24.49,0.00,0.00,1780.00,0.00,19:21:08.890110
0.00,0.00,0.00,349.41,41.00,78.00,359.20,24.49,0.00,0.00,1780.00,0.00,19:21:09.128067
0.00,0.00,0.00,349.41,41.00,78.00,359.20,24.49,0.00,0.00,1780.00,0.00,19:21:09.337719
0.00,0.00,0.00,349.41,41.00,78.00,359.20,24.49,0.00,0.00,1780.00,0.00,19:21:09.548612
