PSTED_TORQUE,PSTED_MOTOR_SPEED,PSTED_CURRENT,PSTED_VOLTAGE,PSTED_MOTOR_TEMP,PSTED_INV_RADIATOR_TEMP,PSTED_OUT_BMS_VOLTAGE,SYSTEM_24V_VOLTAGE,STEERING_SERVO_CUR_POS_FRONT,STEERING_SERVO_CUR_POS_REAR,time
,,,,,,,,,,15:57:38.913025
,,,,,,,,,,15:57:38.918040
0.00,0.00,0.00,349.41,23.00,17.00,404.84,24.37,175.00,-43.00,15:57:39.792076
0.00,0.00,0.00,349.41,23.00,17.00,404.84,24.37,175.00,-43.00,15:57:40.308735
0.00,0.00,0.00,349.41,23.00,17.00,404.84,24.47,120.00,-42.00,15:57:40.919725
0.00,0.00,0.00,349.41,23.00,17.00,404.84,24.23,120.00,-43.00,15:57:41.558884
0.00,0.00,0.00,349.41,23.00,17.00,404.84,23.98,2.00,-51.00,15:57:42.401834
0.00,0.00,0.00,349.41,23.00,17.00,404.84,23.98,2.00,-51.00,15:57:42.957238
0.00,0.00,0.00,349.41,23.00,17.00,404.84,23.68,2.00,-36.00,15:57:43.656970
0.00,0.00,0.00,349.41,23.00,17.00,404.84,24.09,2.00,-36.00,15:57:44.260105
0.00,0.00,0.00,349.41,23.00,17.00,404.84,24.33,2.00,-36.00,15:57:45.005731
0.00,0.00,0.00,349.41,23.00,17.00,404.84,24.33,2.00,-36.00,15:57:45.615389
0.00,0.00,0.00,349.41,23.00,17.00,404.84,24.29,2.00,-36.00,15:57:46.268551
0.00,0.00,0.00,349.41,23.00,17.00,404.84,24.28,2.00,-36.00,15:57:46.920251
0.00,0.00,0.00,349.41,23.00,17.00,404.84,24.41,2.00,-36.00,15:57:47.704334
0.00,0.00,0.00,349.41,23.00,17.00,404.84,24.41,2.00,-36.00,15:57:48.343790
0.00,0.00,0.00,349.41,23.00,17.00,404.84,24.39,2.00,-36.00,15:57:48.965058
0.00,0.00,0.00,349.41,23.00,17.00,404.84,24.28,2.00,-36.00,15:57:49.664912
0.00,0.00,0.00,349.41,23.00,17.00,404.84,24.31,2.00,-36.00,15:57:50.451829
0.00,0.00,0.00,349.41,23.00,17.00,404.84,24.31,2.00,-36.00,15:57:51.020090
0.00,0.00,0.00,349.41,23.00,17.00,404.84,24.41,2.00,-36.00,15:57:51.719764
0.00,0.00,0.00,349.41,23.00,17.00,404.84,24.40,2.00,-36.00,15:57:52.452077
0.00,0.00,0.00,349.41,23.00,17.00,404.84,24.25,2.00,-36.00,15:57:53.252567
0.00,0.00,0.00,349.41,23.00,17.00,404.84,24.25,2.00,-36.00,15:57:53.819810
0.00,0.00,0.00,349.41,23.00,17.00,404.84,24.31,2.00,-36.00,15:57:54.426814
0.00,0.00,0.00,349.41,23.00,17.00,404.84,24.37,2.00,-36.00,15:57:55.112258
0.00,0.00,0.00,349.41,23.00,17.00,404.84,24.37,2.00,-36.00,15:57:55.942617
0.00,0.00,0.00,349.41,23.00,17.00,404.84,24.37,2.00,-36.00,15:57:56.611188
1.00,0.00,5.12,349.41,23.00,17.00,404.84,24.26,2.00,-36.00,15:57:57.262726
2.00,0.00,5.12,349.41,23.00,17.00,404.84,24.30,2.00,-36.00,15:57:57.964791
3.00,0.00,10.24,349.41,23.00,17.00,404.84,24.41,2.00,-36.00,15:57:58.795885
3.00,0.00,10.24,349.41,23.00,17.00,404.84,24.41,2.00,-36.00,15:57:59.370931
4.00,0.00,10.24,349.41,23.00,17.00,404.84,24.35,2.00,-36.00,15:58:00.059292
4.00,0.00,10.24,349.41,24.00,17.00,390.88,24.26,2.00,-36.00,15:58:00.759989
4.00,0.00,10.24,349.41,24.00,17.00,390.88,24.37,2.00,-36.00,15:58:01.665981
4.00,0.00,10.24,349.41,24.00,17.00,390.88,24.37,2.00,-36.00,15:58:02.318422
