STEERING_SERVO_CUR_POS_FRONT,STEERING_SERVO_CUR_POS_REAR,STEERING_SERVO_CURRENT_FRONT,STEERING_SERVO_CURRENT_REAR,SUSPENSION_PRESSURE_CUR_1,SUSPENSION_PRESSURE_CUR_2,SUSPENSION_PRESSURE_CUR_3,SUSPENSION_PRESSURE_CUR_4,time
2.00,17.00,440.00,590.00,0.77,2.85,3.25,0.02,14:04:10.765634
2.00,17.00,440.00,590.00,0.77,2.85,3.25,0.02,14:04:10.768633
2.00,17.00,440.00,590.00,0.77,2.85,3.25,0.02,14:04:11.144529
2.00,17.00,440.00,590.00,0.77,2.85,3.25,0.02,14:04:11.344096
2.00,17.00,440.00,590.00,0.77,2.85,3.25,0.02,14:04:11.554409
2.00,17.00,440.00,590.00,0.77,2.85,3.25,0.02,14:04:11.753669
2.00,17.00,440.00,590.00,0.77,2.85,3.25,0.02,14:04:11.973612
2.00,17.00,440.00,590.00,0.77,2.85,3.25,0.02,14:04:12.214362
2.00,17.00,440.00,590.00,0.77,2.85,3.25,0.02,14:04:12.444565
2.00,17.00,440.00,590.00,0.77,2.85,3.25,0.02,14:04:12.655012
2.00,17.00,440.00,600.00,0.78,2.87,3.26,0.02,14:04:12.864584
2.00,17.00,440.00,600.00,0.78,2.87,3.26,0.02,14:04:13.064324
2.00,17.00,440.00,600.00,0.78,2.87,3.26,0.02,14:04:13.263889
2.00,17.00,440.00,600.00,0.78,2.87,3.26,0.02,14:04:13.463533
2.00,17.00,440.00,600.00,0.78,2.87,3.26,0.02,14:04:13.664130
2.00,17.00,440.00,600.00,0.78,2.87,3.26,0.02,14:04:13.853886
2.00,17.00,440.00,600.00,0.78,2.87,3.26,0.02,14:04:14.053745
2.00,17.00,440.00,600.00,0.78,2.87,3.26,0.02,14:04:14.243731
2.00,16.00,440.00,590.00,0.78,2.86,3.26,0.02,14:04:14.453589
2.00,16.00,440.00,590.00,0.78,2.86,3.26,0.02,14:04:14.653715
2.00,16.00,440.00,590.00,0.78,2.86,3.26,0.02,14:04:14.854342
2.00,16.00,440.00,590.00,0.78,2.86,3.26,0.02,14:04:15.054546
2.00,16.00,440.00,590.00,0.78,2.86,3.26,0.02,14:04:15.254436
