PSTED_TORQUE,PSTED_MOTOR_SPEED,PSTED_CURRENT,PSTED_VOLTAGE,PSTED_MOTOR_TEMP,PSTED_INV_RADIATOR_TEMP,PSTED_OUT_BMS_VOLTAGE,SYSTEM_24V_VOLTAGE,time
,,,,,,,,13:39:49.759444
,,,,,,,,13:39:49.761443
0.00,0.00,,0.00,15.00,83.00,29.67,3.52,13:39:50.452450
0.00,0.00,,0.00,15.00,83.00,29.67,3.52,13:39:50.938590
0.00,0.00,0.00,349.41,15.00,17.00,340.28,24.49,13:39:51.502348
0.00,0.00,0.00,0.00,15.00,83.00,29.67,3.52,13:39:52.141751
0.00,0.00,0.00,349.41,43.00,17.00,340.28,24.50,13:39:52.742845
-1.27,0.00,0.00,6.35,15.00,83.00,29.67,3.52,13:39:53.459371
-1.27,0.00,0.00,6.35,15.00,83.00,29.67,3.52,13:39:53.891816
-33.02,0.00,0.00,63.53,15.00,83.00,29.67,3.52,13:39:54.493049
-54.61,-2494.46,61.42,343.06,43.00,17.00,29.67,3.52,13:39:55.093989
-82.55,-3448.59,30.71,349.41,43.00,17.00,29.67,3.52,13:39:55.649195
-110.49,-3398.05,35.83,349.41,38.00,17.00,319.34,24.49,13:39:56.529868
-110.49,-3398.05,35.83,349.41,38.00,17.00,319.34,24.49,13:39:57.030635
-110.49,-3397.32,35.83,349.41,38.00,17.00,319.34,24.50,13:39:57.601182
-110.49,-3397.32,-506.69,44.47,14.00,78.00,29.67,3.51,13:39:58.202455
-110.49,-3399.52,35.83,343.06,39.00,17.00,319.34,24.49,13:39:58.973120
-110.49,-3399.52,35.83,343.06,39.00,17.00,319.34,24.49,13:39:59.522027
-111.76,-3395.61,35.83,343.06,37.00,17.00,319.34,24.50,13:40:00.107219
-111.76,-3391.95,35.83,343.06,37.00,17.00,319.34,3.51,13:40:00.724391
-110.49,-3397.56,35.83,44.47,15.00,77.00,29.67,3.51,13:40:01.447948
-110.49,-3397.56,35.83,44.47,15.00,77.00,29.67,3.51,13:40:01.927386
-110.49,-3397.81,35.83,343.06,37.00,17.00,319.34,24.49,13:40:02.544470
-110.49,-3399.03,35.83,343.06,35.00,17.00,319.34,24.50,13:40:03.246224
-110.49,-3397.81,35.83,343.06,37.00,17.00,319.34,24.50,13:40:04.085087
-110.49,-3397.81,35.83,343.06,37.00,17.00,319.34,24.50,13:40:04.643616
-104.14,-3408.06,35.83,343.06,38.00,17.00,319.34,24.49,13:40:05.323745
-100.33,-3414.65,35.83,343.06,38.00,17.00,319.34,24.49,13:40:05.947798
-100.33,-3413.68,35.83,343.06,36.00,17.00,319.34,24.49,13:40:06.765865
-100.33,-3413.68,35.83,343.06,36.00,17.00,319.34,24.49,13:40:07.351305
-100.33,-3413.92,35.83,343.06,37.00,17.00,312.36,24.50,13:40:08.032017
-100.33,-3417.83,35.83,349.41,37.00,17.00,312.36,24.50,13:40:08.686829
-100.33,-3420.51,35.83,343.06,37.00,17.00,312.36,24.50,13:40:09.442176
-100.33,-3420.51,35.83,343.06,37.00,17.00,312.36,24.50,13:40:09.936604
-100.33,-3410.75,35.83,343.06,37.00,17.00,312.36,24.49,13:40:10.622731
-100.33,-3418.07,35.83,343.06,38.00,17.00,312.36,24.50,13:40:11.277988
-99.06,-3418.32,35.83,343.06,41.00,17.00,312.36,24.49,13:40:12.063758
-99.06,-3418.32,35.83,343.06,41.00,17.00,312.36,24.49,13:40:12.627905
-96.52,-3422.47,30.71,343.06,37.00,17.00,312.36,24.49,13:40:13.282019
-96.52,-3425.64,30.71,343.06,36.00,17.00,312.36,24.49,13:40:13.930257
-78.74,-3473.98,30.71,349.41,38.00,17.00,312.36,24.50,13:40:14.685111
-78.74,-3473.98,30.71,349.41,38.00,17.00,312.36,24.50,13:40:15.248307
-40.64,-3629.02,20.47,343.06,36.00,17.00,312.36,24.49,13:40:15.934728
-19.05,-3805.54,20.47,343.06,36.00,17.00,312.36,24.48,13:40:16.589256
-17.78,-4071.90,10.24,343.06,35.00,17.00,312.36,24.50,13:40:17.375619
-17.78,-4071.90,10.24,343.06,35.00,17.00,312.36,24.50,13:40:17.939023
-17.78,-4071.90,10.24,343.06,35.00,17.00,312.36,24.48,13:40:18.578412
-12.70,-4201.06,15.35,349.41,30.00,17.00,312.36,24.46,13:40:19.242961
-8.89,62.01,-153.54,6.35,15.00,72.00,29.67,3.51,13:40:20.044427
-8.89,62.01,-153.54,6.35,15.00,72.00,29.67,3.51,13:40:20.529788
0.00,-4251.35,0.00,349.41,36.00,17.00,312.36,24.47,13:40:21.183972
2.54,-3831.42,5.12,343.06,36.00,17.00,312.36,24.48,13:40:21.834348
2.54,-2392.41,5.12,349.41,42.00,17.00,335.04,24.47,13:40:22.633441
2.54,-2392.41,5.12,349.41,42.00,17.00,335.04,24.47,13:40:23.188197
1.27,-1627.74,5.12,349.41,42.00,17.00,333.30,24.49,13:40:23.836933
1.27,-996.37,5.12,343.06,43.00,17.00,333.30,24.48,13:40:24.452732
0.00,-188.24,0.00,349.41,44.00,17.00,333.30,24.47,13:40:25.291311
0.00,-188.24,0.00,349.41,44.00,17.00,333.30,24.47,13:40:25.826334
0.00,-188.24,0.00,343.06,45.00,17.00,333.30,24.47,13:40:26.393950
0.00,0.00,0.00,343.06,45.00,17.00,335.04,24.49,13:40:27.011163
0.00,0.00,0.00,349.41,45.00,17.00,335.04,24.49,13:40:27.760615
0.00,0.00,0.00,349.41,45.00,17.00,335.04,24.49,13:40:28.300509
0.00,0.00,0.00,349.41,45.00,17.00,335.04,24.49,13:40:28.901604
0.00,0.00,0.00,349.41,45.00,17.00,335.04,24.50,13:40:29.503417
0.00,0.00,0.00,349.41,45.00,17.00,336.79,24.50,13:40:30.104635
0.00,0.00,0.00,349.41,45.00,17.00,336.79,24.50,13:40:30.855321
0.00,0.00,0.00,349.41,45.00,17.00,336.79,24.50,13:40:31.339146
0.00,0.00,0.00,349.41,45.00,17.00,336.79,24.50,13:40:31.956934
0.00,0.00,0.00,349.41,45.00,17.00,336.79,24.50,13:40:32.612073
