PSTED_TORQUE,PSTED_MOTOR_SPEED,PSTED_CURRENT,PSTED_VOLTAGE,PSTED_MOTOR_TEMP,PSTED_INV_RADIATOR_TEMP,PSTED_OUT_BMS_VOLTAGE,SYSTEM_24V_VOLTAGE,STEERING_SERVO_CUR_POS_FRONT,STEERING_SERVO_CUR_POS_REAR,time
0.00,130.13,0.00,343.06,60.00,17.00,300.14,24.46,2.00,-21.00,17:52:08.314786
0.00,130.13,0.00,343.06,60.00,17.00,300.14,24.46,2.00,-21.00,17:52:08.317825
0.00,0.00,0.00,349.41,61.00,17.00,29.67,3.52,24465.00,2.00,17:52:09.103601
0.00,0.00,0.00,349.41,61.00,17.00,29.67,3.52,24465.00,2.00,17:52:09.707219
0.00,0.00,0.00,349.41,61.00,17.00,29.67,3.52,24463.00,2.00,17:52:10.291875
0.00,0.00,0.00,349.41,14.00,101.00,29.67,3.52,24453.00,2.00,17:52:10.972911
0.00,0.00,0.00,343.06,62.00,102.00,29.67,3.52,24468.00,2.00,17:52:11.814731
0.00,0.00,0.00,343.06,62.00,102.00,29.67,3.52,24468.00,2.00,17:52:12.289313
0.00,0.00,0.00,343.06,14.00,102.00,29.67,3.52,24463.00,2.00,17:52:12.875540
0.00,0.00,0.00,343.06,14.00,102.00,29.67,3.52,24462.00,2.00,17:52:13.570231
0.00,0.00,0.00,349.41,62.00,17.00,340.28,24.47,2.00,-20.00,17:52:14.348419
0.00,0.00,0.00,349.41,62.00,17.00,340.28,24.47,2.00,-20.00,17:52:14.934757
0.00,0.00,0.00,343.06,62.00,17.00,340.28,24.47,2.00,-20.00,17:52:15.667535
0.00,0.00,0.00,349.41,62.00,17.00,340.28,24.47,2.00,-20.00,17:52:16.317302
0.00,0.00,0.00,349.41,62.00,17.00,340.28,24.46,2.00,-20.00,17:52:17.204023
0.00,0.00,0.00,349.41,62.00,17.00,340.28,24.46,2.00,-20.00,17:52:17.856223
0.00,0.00,0.00,349.41,62.00,17.00,340.28,24.46,2.00,-20.00,17:52:18.487924
0.00,0.00,0.00,349.41,14.00,102.00,29.67,3.52,24465.00,2.00,17:52:19.153897
3.00,0.00,10.24,349.41,61.00,17.00,340.28,24.46,2.00,-21.00,17:52:20.004616
3.00,0.00,10.24,349.41,61.00,17.00,340.28,24.46,2.00,-21.00,17:52:20.518905
4.00,0.00,10.24,12.71,15.00,102.00,29.67,3.52,24471.00,2.00,17:52:21.201355
4.00,0.00,15.35,343.06,62.00,17.00,340.28,24.47,2.00,-21.00,17:52:21.851104
9.00,0.00,20.47,349.41,14.00,103.00,29.67,3.52,24462.00,2.00,17:52:22.624104
9.00,0.00,20.47,349.41,14.00,103.00,29.67,3.52,24462.00,2.00,17:52:23.176883
9.00,0.00,20.47,349.41,63.00,17.00,340.28,24.47,2.00,-21.00,17:52:23.889522
9.00,0.00,20.47,349.41,63.00,17.00,340.28,24.46,2.00,-21.00,17:52:24.494947
12.00,0.00,25.59,343.06,64.00,17.00,340.28,24.46,2.00,-21.00,17:52:25.324229
12.00,0.00,25.59,343.06,64.00,17.00,340.28,24.46,2.00,-21.00,17:52:25.883764
15.00,0.00,30.71,343.06,63.00,17.00,340.28,24.46,2.00,-21.00,17:52:26.491452
17.00,0.00,30.71,343.06,15.00,103.00,29.67,3.52,24468.00,2.00,17:52:27.184096
18.00,0.00,35.83,343.06,63.00,17.00,336.79,24.45,2.00,-21.00,17:52:28.004560
18.00,0.00,35.83,343.06,63.00,17.00,336.79,24.45,2.00,-21.00,17:52:28.611348
18.00,0.00,35.83,343.06,63.00,17.00,336.79,24.46,2.00,-21.00,17:52:29.277981
19.00,0.00,35.83,343.06,63.00,17.00,336.79,24.46,2.00,-21.00,17:52:29.958454
20.00,0.00,40.94,343.06,62.00,17.00,336.79,24.46,2.00,-21.00,17:52:30.804324
20.00,0.00,40.94,343.06,62.00,17.00,336.79,24.46,2.00,-21.00,17:52:31.356128
20.00,0.00,40.94,343.06,62.00,17.00,336.79,24.48,2.00,-21.00,17:52:32.058721
20.00,0.00,40.94,343.06,62.00,17.00,336.79,24.47,2.00,-21.00,17:52:32.705272
24.00,0.00,46.06,343.06,62.00,17.00,336.79,24.46,2.00,-21.00,17:52:33.516143
24.00,0.00,46.06,343.06,62.00,17.00,336.79,24.46,2.00,-21.00,17:52:34.093729
24.00,0.00,46.06,349.41,62.00,17.00,336.79,24.46,2.00,-21.00,17:52:34.692834
24.00,0.00,46.06,343.06,62.00,17.00,336.79,24.46,2.00,-21.00,17:52:35.370803
26.00,0.00,51.18,343.06,62.00,17.00,336.79,24.47,2.00,-21.00,17:52:36.149433
26.00,0.00,51.18,343.06,62.00,17.00,336.79,24.47,2.00,-21.00,17:52:36.720798
29.00,0.00,56.30,343.06,62.00,17.00,336.79,24.46,2.00,-21.00,17:52:37.382771
29.00,0.00,56.30,349.41,62.00,17.00,336.79,24.46,24462.00,2.00,17:52:38.051063
29.00,0.00,56.30,343.06,62.00,17.00,336.79,24.47,2.00,-21.00,17:52:38.904840
29.00,0.00,56.30,343.06,62.00,17.00,336.79,24.47,2.00,-21.00,17:52:39.462904
30.00,0.00,56.30,343.06,62.00,17.00,328.06,24.46,2.00,-21.00,17:52:40.114738
30.00,0.00,56.30,343.06,62.00,17.00,328.06,24.47,2.00,-21.00,17:52:40.793468
30.00,0.00,56.30,343.06,62.00,17.00,328.06,24.46,2.00,-21.00,17:52:41.606420
30.00,0.00,56.30,343.06,62.00,17.00,328.06,24.46,2.00,-21.00,17:52:42.109410
30.00,118.66,56.30,349.41,62.00,17.00,328.06,24.47,2.00,-21.00,17:52:42.760230
30.00,173.35,56.30,343.06,62.00,17.00,321.08,24.46,2.00,-21.00,17:52:43.457266
30.00,178.72,46.06,343.06,62.00,17.00,321.08,24.45,2.00,-21.00,17:52:44.244380
30.00,178.72,46.06,343.06,62.00,17.00,321.08,24.45,2.00,-21.00,17:52:44.793227
30.00,178.72,56.30,343.06,62.00,17.00,321.08,24.47,2.00,-21.00,17:52:45.459124
30.00,180.91,56.30,343.06,62.00,17.00,321.08,24.46,2.00,-21.00,17:52:46.108139
30.00,175.54,56.30,343.06,61.00,17.00,319.34,24.46,2.00,-21.00,17:52:46.815090
30.00,175.54,56.30,343.06,61.00,17.00,319.34,24.46,2.00,-21.00,17:52:47.313276
30.00,169.93,56.30,343.06,61.00,17.00,319.34,24.46,2.00,-21.00,17:52:47.993945
30.00,173.35,56.30,343.06,62.00,17.00,319.34,24.46,2.00,-21.00,17:52:48.660686
30.00,173.83,56.30,343.06,62.00,17.00,319.34,24.46,2.00,-21.00,17:52:49.455080
30.00,173.83,56.30,343.06,62.00,17.00,319.34,24.46,2.00,-21.00,17:52:50.043258
30.00,176.76,46.06,343.06,62.00,17.00,319.34,24.46,2.00,-21.00,17:52:50.711254
30.00,174.57,56.30,343.06,62.00,17.00,319.34,24.47,2.00,-21.00,17:52:51.394349
30.00,171.15,56.30,343.06,62.00,17.00,319.34,24.46,2.00,-21.00,17:52:52.157574
30.00,171.15,56.30,343.06,62.00,17.00,319.34,24.46,2.00,-21.00,17:52:52.739547
30.00,176.52,56.30,343.06,61.00,17.00,319.34,24.46,2.00,-21.00,17:52:53.420826
29.00,179.20,40.94,343.06,61.00,17.00,319.34,24.45,2.00,-21.00,17:52:54.084712
22.00,147.22,40.94,343.06,61.00,17.00,319.34,24.46,24465.00,2.00,17:52:54.835428
22.00,147.22,40.94,343.06,61.00,17.00,319.34,24.46,24465.00,2.00,17:52:55.316509
17.00,126.22,40.94,38.12,14.00,101.00,29.67,3.51,24462.00,2.00,17:52:55.922442
17.00,92.78,30.71,343.06,61.00,101.00,29.67,3.51,24468.00,2.00,17:52:56.617649
6.00,-3.66,15.35,343.06,61.00,101.00,29.67,3.51,24463.00,2.00,17:52:57.399567
6.00,-3.66,15.35,343.06,61.00,101.00,29.67,3.51,24463.00,2.00,17:52:57.889215
3.00,0.00,10.24,343.06,14.00,101.00,29.67,3.51,24462.00,2.00,17:52:58.601015
0.00,0.00,0.00,343.06,61.00,17.00,331.55,24.46,2.00,-20.00,17:52:59.221303
