PSTED_MOTOR_SPEED,PSTED_CURRENT,PSTED_VOLTAGE,STEERING_SERVO_CUR_POS_FRONT,STEERING_SERVO_CUR_POS_REAR,STEERING_SERVO_CURRENT_FRONT,STEERING_SERVO_CURRENT_REAR,SUSPENSION_HEIGHT_CUR_1,SUSPENSION_HEIGHT_CUR_2,SUSPENSION_HEIGHT_CUR_3,SUSPENSION_HEIGHT_CUR_4,time
0.00,0.00,19.06,-2.00,33.00,1210.00,220.00,-62.00,-54.00,-26.00,-10.00,18:24:16.497760
0.00,0.00,19.06,-2.00,33.00,1210.00,220.00,-62.00,-54.00,-26.00,-10.00,18:24:16.517765
0.00,0.00,19.06,-2.00,33.00,1210.00,220.00,-62.00,-54.00,-26.00,-10.00,18:24:16.537382
0.00,0.00,19.06,-2.00,33.00,1210.00,220.00,-62.00,-54.00,-26.00,-10.00,18:24:16.561412
0.00,0.00,19.06,-2.00,33.00,1210.00,220.00,-62.00,-54.00,-26.00,-10.00,18:24:16.597329
0.00,0.00,19.06,-2.00,33.00,1210.00,220.00,-62.00,-54.00,-26.00,-10.00,18:24:16.607705
0.00,0.00,19.06,-2.00,33.00,1210.00,220.00,-62.00,-54.00,-26.00,-10.00,18:24:16.617761
0.00,0.00,19.06,-2.00,33.00,1210.00,220.00,-62.00,-54.00,-26.00,-10.00,18:24:16.637532
0.00,0.00,19.06,-2.00,33.00,1210.00,220.00,-62.00,-54.00,-26.00,-10.00,18:24:16.658958
0.00,0.00,6.35,-2.00,33.00,1210.00,140.00,-62.00,-54.00,-28.00,-10.00,18:24:16.698347
0.00,0.00,6.35,-2.00,33.00,1210.00,140.00,-62.00,-54.00,-28.00,-10.00,18:24:16.717918
0.00,0.00,6.35,-2.00,33.00,1210.00,140.00,-62.00,-54.00,-28.00,-10.00,18:24:16.737912
0.00,0.00,6.35,-2.00,33.00,1210.00,140.00,-62.00,-54.00,-28.00,-10.00,18:24:16.759949
0.00,0.00,6.35,-2.00,33.00,1210.00,140.00,-62.00,-54.00,-28.00,-10.00,18:24:16.817975
0.00,0.00,6.35,-2.00,33.00,1210.00,140.00,-62.00,-54.00,-28.00,-10.00,18:24:16.837568
0.00,0.00,6.35,-2.00,33.00,1210.00,140.00,-62.00,-54.00,-28.00,-10.00,18:24:16.859526
0.00,0.00,6.35,-2.00,33.00,1210.00,140.00,-62.00,-54.00,-28.00,-10.00,18:24:16.897930
0.00,0.00,6.35,-2.00,33.00,1210.00,140.00,-62.00,-54.00,-28.00,-10.00,18:24:16.917713
0.00,0.00,6.35,-2.00,33.00,1210.00,140.00,-62.00,-54.00,-28.00,-10.00,18:24:16.937592
0.00,0.00,6.35,-2.00,33.00,1210.00,140.00,-62.00,-54.00,-28.00,-10.00,18:24:16.960523
0.00,0.00,6.35,-2.00,33.00,1210.00,160.00,-62.00,-54.00,-26.00,-10.00,18:24:16.997569
0.00,0.00,6.35,-2.00,33.00,1210.00,160.00,-62.00,-54.00,-26.00,-10.00,18:24:17.007817
0.00,0.00,6.35,-2.00,33.00,1210.00,160.00,-62.00,-54.00,-26.00,-10.00,18:24:17.030582
0.00,0.00,6.35,-2.00,33.00,1210.00,160.00,-62.00,-54.00,-26.00,-10.00,18:24:17.058516
0.00,0.00,6.35,-2.00,33.00,1210.00,160.00,-62.00,-54.00,-26.00,-10.00,18:24:17.097717
0.00,0.00,6.35,-2.00,33.00,1210.00,160.00,-62.00,-54.00,-26.00,-10.00,18:24:17.107738
0.00,0.00,6.35,-2.00,33.00,1210.00,160.00,-62.00,-54.00,-26.00,-10.00,18:24:17.127573
0.00,0.00,6.35,-2.00,33.00,1210.00,160.00,-62.00,-54.00,-26.00,-10.00,18:24:17.159514
0.00,0.00,6.35,-2.00,33.00,1210.00,160.00,-62.00,-54.00,-26.00,-10.00,18:24:17.199838
0.00,0.00,6.35,-2.00,33.00,1210.00,160.00,-62.00,-54.00,-26.00,-10.00,18:24:17.217833
0.00,0.00,6.35,-2.00,33.00,1210.00,160.00,-62.00,-54.00,-26.00,-10.00,18:24:17.237835
0.00,0.00,25.41,-2.00,33.00,1210.00,160.00,-62.00,-54.00,-28.00,-10.00,18:24:17.258382
0.00,0.00,25.41,-2.00,33.00,1210.00,160.00,-62.00,-54.00,-28.00,-10.00,18:24:17.297297
0.00,0.00,25.41,-2.00,33.00,1210.00,160.00,-62.00,-54.00,-28.00,-10.00,18:24:17.307778
0.00,0.00,25.41,-2.00,33.00,1210.00,160.00,-62.00,-54.00,-28.00,-10.00,18:24:17.327175
0.00,0.00,25.41,-2.00,33.00,1210.00,160.00,-62.00,-54.00,-28.00,-10.00,18:24:17.359411
0.00,0.00,25.41,-2.00,33.00,1210.00,160.00,-62.00,-54.00,-28.00,-10.00,18:24:17.397791
0.00,0.00,25.41,-2.00,33.00,1210.00,160.00,-62.00,-54.00,-28.00,-10.00,18:24:17.417423
0.00,0.00,25.41,-2.00,33.00,1210.00,160.00,-62.00,-54.00,-28.00,-10.00,18:24:17.437747
0.00,0.00,25.41,-2.00,33.00,1210.00,160.00,-62.00,-54.00,-28.00,-10.00,18:24:17.459424
0.00,0.00,25.41,-2.00,33.00,1210.00,160.00,-62.00,-54.00,-28.00,-10.00,18:24:17.497650
0.00,0.00,25.41,-2.00,33.00,1210.00,160.00,-62.00,-54.00,-28.00,-10.00,18:24:17.517610
