PSTED_TORQUE,PSTED_MOTOR_SPEED,PSTED_CURRENT,PSTED_VOLTAGE,PSTED_MOTOR_TEMP,PSTED_INV_RADIATOR_TEMP,PSTED_OUT_BMS_VOLTAGE,SYSTEM_24V_VOLTAGE,STEERING_SERVO_CUR_POS_FRONT,STEERING_SERVO_CUR_POS_REAR,time
0.00,0.00,0.00,349.41,62.00,17.00,324.57,24.47,2.00,-21.00,17:54:29.797590
0.00,0.00,0.00,349.41,62.00,17.00,324.57,24.47,2.00,-21.00,17:54:29.929343
0.00,0.00,0.00,349.41,62.00,17.00,331.55,24.47,2.00,-21.00,17:54:30.718761
0.00,0.00,0.00,349.41,62.00,17.00,331.55,24.47,2.00,-21.00,17:54:31.272985
0.00,0.00,0.00,343.06,62.00,17.00,335.04,24.46,2.00,-21.00,17:54:31.912203
0.00,0.00,0.00,343.06,63.00,17.00,335.04,24.46,2.00,-20.00,17:54:32.590817
0.00,0.00,0.00,343.06,63.00,17.00,335.04,24.46,2.00,-20.00,17:54:33.399547
0.00,0.00,0.00,343.06,63.00,17.00,335.04,24.46,2.00,-20.00,17:54:33.975033
1.00,0.00,5.12,343.06,63.00,17.00,335.04,24.46,2.00,-21.00,17:54:34.672036
2.00,0.00,5.12,349.41,63.00,17.00,335.04,24.46,2.00,-21.00,17:54:35.322963
9.00,0.00,20.47,349.41,64.00,17.00,335.04,24.47,2.00,-21.00,17:54:36.139824
9.00,0.00,20.47,349.41,64.00,17.00,335.04,24.47,2.00,-21.00,17:54:36.622024
13.00,0.00,25.59,343.06,65.00,17.00,335.04,24.46,2.00,-21.00,17:54:37.306040
17.00,0.00,30.71,343.06,65.00,17.00,335.04,24.46,2.00,-21.00,17:54:37.972948
22.00,0.00,40.94,343.06,64.00,17.00,335.04,24.46,2.00,-21.00,17:54:38.819657
22.00,0.00,40.94,343.06,64.00,17.00,335.04,24.46,2.00,-21.00,17:54:39.384707
24.00,0.00,46.06,343.06,64.00,17.00,335.04,24.47,2.00,-21.00,17:54:40.017702
27.00,0.00,51.18,349.41,64.00,17.00,335.04,24.46,2.00,-21.00,17:54:40.670736
33.00,0.00,61.42,343.06,64.00,17.00,335.04,24.46,2.00,-21.00,17:54:41.439975
33.00,0.00,61.42,343.06,64.00,17.00,335.04,24.46,2.00,-21.00,17:54:41.921612
34.00,0.00,61.42,82.59,14.00,104.00,29.67,3.51,24451.00,2.00,17:54:42.526089
36.00,0.00,61.42,82.59,14.00,104.00,29.67,3.51,24463.00,2.00,17:54:43.195323
39.00,0.00,76.77,343.06,64.00,17.00,319.34,24.47,2.00,-21.00,17:54:43.969265
39.00,0.00,76.77,343.06,64.00,17.00,319.34,24.47,2.00,-21.00,17:54:44.547220
40.00,0.00,76.77,343.06,64.00,17.00,319.34,24.45,2.00,-21.00,17:54:45.210671
40.00,210.94,61.42,343.06,64.00,17.00,319.34,24.47,2.00,-21.00,17:54:45.787484
40.00,219.49,56.30,343.06,64.00,17.00,312.36,3.51,24463.00,2.00,17:54:46.542124
40.00,219.49,56.30,343.06,64.00,17.00,312.36,3.51,24463.00,2.00,17:54:47.016444
40.00,219.24,56.30,76.24,14.00,104.00,29.67,3.51,24471.00,2.00,17:54:47.622097
40.00,214.12,56.30,76.24,14.00,104.00,29.67,3.51,24471.00,2.00,17:54:48.209236
40.00,214.61,61.42,343.06,64.00,17.00,312.36,24.46,2.00,-21.00,17:54:48.794976
40.00,214.36,61.42,343.06,64.00,17.00,29.67,3.51,24463.00,2.00,17:54:49.555219
40.00,214.36,61.42,343.06,64.00,17.00,29.67,3.51,24463.00,2.00,17:54:50.113033
40.00,213.14,61.42,343.06,64.00,17.00,310.61,24.45,2.00,-21.00,17:54:50.797652
40.00,206.79,61.42,343.06,14.00,104.00,29.67,3.51,24465.00,2.00,17:54:51.401536
