SUSPENSION_HEIGHT_CUR_1,SUSPENSION_HEIGHT_CUR_2,SUSPENSION_HEIGHT_CUR_3,SUSPENSION_HEIGHT_CUR_4,SUSPENSION_PRESSURE_CUR_1,SUSPENSION_PRESSURE_CUR_2,SUSPENSION_PRESSURE_CUR_3,SUSPENSION_PRESSURE_CUR_4,STEERING_SERVO_CUR_POS_FRONT,STEERING_SERVO_CUR_POS_REAR,STEERING_SERVO_CURRENT_FRONT,STEERING_SERVO_CURRENT_REAR,time
,,,,,,,,,,,,14:47:41.121472
,,,,,,,,,,,,14:47:41.125463
,,,,,,,,,,,,14:47:41.490463
,,,,,,,,,,,,14:47:41.700461
,,,,,,,,,,,,14:47:42.012462
,,,,,,,,,,,,14:47:42.353463
,,,,,,,,,,,,14:47:42.570463
,,,,,,,,,,,,14:47:42.780464
,,,,,,,,,,,,14:47:42.981459
,,,,,,,,,,,,14:47:43.190458
,,,,,,,,,,,,14:47:43.390461
,,,,,,,,,,,,14:47:43.620493
,,,,,,,,,,,,14:47:43.850459
1.00,3.00,,0.00,2.48,0.51,0.04,2.85,3.00,-24.00,1630.00,2000.00,14:47:44.072458
1.00,3.00,,0.00,2.48,0.51,0.04,2.85,3.00,-24.00,1630.00,2000.00,14:47:44.290458
1.00,3.00,,0.00,2.48,0.51,0.04,2.85,3.00,-24.00,1630.00,2000.00,14:47:44.490458
1.00,3.00,,0.00,2.48,0.51,0.04,2.85,3.00,-24.00,1630.00,2000.00,14:47:44.700458
1.00,3.00,,0.00,2.48,0.51,0.04,2.85,3.00,-24.00,1630.00,2000.00,14:47:45.010504
1.00,3.00,,0.00,2.48,0.51,0.04,2.85,3.00,-24.00,1630.00,2000.00,14:47:45.354457
1.00,3.00,,0.00,2.48,0.51,0.04,2.85,3.00,-24.00,1630.00,2000.00,14:47:45.550457
1.00,3.00,,0.00,2.48,0.51,0.04,2.85,3.00,-24.00,1630.00,2000.00,14:47:45.750458
1.00,3.00,,0.00,2.48,0.51,0.04,2.85,3.00,-24.00,1630.00,2000.00,14:47:45.960456
1.00,3.00,,0.00,2.48,0.51,0.04,2.85,3.00,-24.00,1630.00,2000.00,14:47:46.170485
1.00,3.00,,0.00,2.48,0.51,0.04,2.85,3.00,-24.00,1630.00,2000.00,14:47:46.380471
1.00,3.00,,0.00,2.48,0.51,0.04,2.85,3.00,-24.00,1630.00,2000.00,14:47:46.600455
1.00,3.00,,0.00,2.48,0.51,0.04,2.85,3.00,-24.00,1630.00,2000.00,14:47:46.800456
1.00,3.00,4.00,0.00,2.48,0.51,0.03,2.85,3.00,-24.00,1610.00,2000.00,14:47:47.050455
1.00,3.00,4.00,0.00,2.48,0.51,0.03,2.85,3.00,-24.00,1610.00,2000.00,14:47:47.250455
1.00,3.00,4.00,0.00,2.48,0.51,0.03,2.85,3.00,-24.00,1610.00,2000.00,14:47:47.470500
1.00,3.00,4.00,0.00,2.48,0.51,0.03,2.85,3.00,-24.00,1610.00,2000.00,14:47:47.670453
1.00,3.00,4.00,0.00,2.48,0.51,0.03,2.85,3.00,-24.00,1610.00,2000.00,14:47:47.882469
1.00,3.00,4.00,0.00,2.48,0.51,0.03,2.85,3.00,-24.00,1610.00,2000.00,14:47:48.083454
1.00,3.00,4.00,0.00,2.48,0.51,0.03,2.85,3.00,-24.00,1610.00,2000.00,14:47:48.290453
1.00,3.00,4.00,0.00,2.48,0.51,0.03,2.85,3.00,-24.00,1610.00,2000.00,14:47:48.500453
1.00,3.00,4.00,0.00,2.48,0.51,0.03,2.85,3.00,-24.00,1610.00,2000.00,14:47:48.700454
1.00,3.00,4.00,0.00,2.48,0.51,0.03,2.85,3.00,-24.00,1610.00,2000.00,14:47:48.961459
1.00,3.00,4.00,0.00,2.48,0.51,0.03,2.85,3.00,-24.00,1610.00,2000.00,14:47:49.190461
1.00,3.00,4.00,0.00,2.48,0.51,0.03,2.85,3.00,-24.00,1610.00,2000.00,14:47:49.400451
1.00,2.00,4.00,0.00,2.49,0.52,0.03,2.85,3.00,-24.00,1590.00,2000.00,14:47:49.650453
1.00,2.00,4.00,0.00,2.49,0.52,0.03,2.85,3.00,-24.00,1590.00,2000.00,14:47:49.850451
1.00,2.00,4.00,0.00,2.49,0.52,0.03,2.85,3.00,-24.00,1590.00,2000.00,14:47:50.050459
1.00,2.00,4.00,0.00,2.49,0.52,0.03,2.85,3.00,-24.00,1590.00,2000.00,14:47:50.255451
1.00,2.00,4.00,0.00,2.49,0.52,0.03,2.85,3.00,-24.00,1590.00,2000.00,14:47:50.470453
1.00,2.00,4.00,0.00,2.49,0.52,0.03,2.85,3.00,-24.00,1590.00,2000.00,14:47:50.670452
1.00,2.00,4.00,0.00,2.49,0.52,0.03,2.85,3.00,-24.00,1590.00,2000.00,14:47:50.870461
1.00,2.00,4.00,0.00,2.49,0.52,0.03,2.85,3.00,-24.00,1590.00,2000.00,14:47:51.070453
1.00,2.00,4.00,0.00,2.49,0.52,0.03,2.85,3.00,-24.00,1590.00,2000.00,14:47:51.280450
1.00,2.00,4.00,0.00,2.49,0.52,0.03,2.85,3.00,-24.00,1590.00,2000.00,14:47:51.480450
1.00,2.00,4.00,0.00,2.49,0.52,0.03,2.85,3.00,-24.00,1590.00,2000.00,14:47:51.700450
1.00,2.00,4.00,0.00,2.49,0.52,0.03,2.85,3.00,-24.00,1590.00,2000.00,14:47:51.907453
1.00,2.00,5.00,0.00,2.48,0.51,0.03,2.85,3.00,-24.00,1560.00,1990.00,14:47:52.150450
1.00,2.00,5.00,0.00,2.48,0.51,0.03,2.85,3.00,-24.00,1560.00,1990.00,14:47:52.350448
1.00,2.00,5.00,0.00,2.48,0.51,0.03,2.85,3.00,-24.00,1560.00,1990.00,14:47:52.550450
1.00,2.00,5.00,0.00,2.48,0.51,0.03,2.85,3.00,-24.00,1560.00,1990.00,14:47:52.770447
1.00,2.00,5.00,0.00,2.48,0.51,0.03,2.85,3.00,-24.00,1560.00,1990.00,14:47:52.970447
1.00,2.00,5.00,0.00,2.48,0.51,0.03,2.85,3.00,-24.00,1560.00,1990.00,14:47:53.181448
1.00,2.00,5.00,0.00,2.48,0.51,0.03,2.85,3.00,-24.00,1560.00,1990.00,14:47:53.380446
1.00,2.00,5.00,0.00,2.48,0.51,0.03,2.85,3.00,-24.00,1560.00,1990.00,14:47:53.580446
1.00,2.00,5.00,0.00,2.48,0.51,0.03,2.85,3.00,-24.00,1560.00,1990.00,14:47:53.780458
1.00,2.00,5.00,0.00,2.48,0.51,0.03,2.85,3.00,-24.00,1560.00,1990.00,14:47:53.990482
1.00,2.00,5.00,0.00,2.48,0.51,0.03,2.85,3.00,-24.00,1560.00,1990.00,14:47:54.250490
1.00,2.00,5.00,0.00,2.48,0.51,0.03,2.85,3.00,-24.00,1560.00,1990.00,14:47:54.450443
1.00,2.00,4.00,0.00,2.48,0.51,0.03,2.85,3.00,-24.00,1530.00,1990.00,14:47:54.670444
1.00,2.00,4.00,0.00,2.48,0.51,0.03,2.85,3.00,-24.00,1530.00,1990.00,14:47:54.880447
1.00,2.00,4.00,0.00,2.48,0.51,0.03,2.85,3.00,-24.00,1530.00,1990.00,14:47:55.090444
1.00,2.00,4.00,0.00,2.48,0.51,0.03,2.85,3.00,-24.00,1530.00,1990.00,14:47:55.290447
1.00,2.00,4.00,0.00,2.48,0.51,0.03,2.85,3.00,-24.00,1530.00,1990.00,14:47:55.480448
1.00,2.00,4.00,0.00,2.48,0.51,0.03,2.85,3.00,-24.00,1530.00,1990.00,14:47:55.690445
