STEERING_SERVO_CUR_POS_FRONT,STEERING_SERVO_CUR_POS_REAR,STEERING_SERVO_CURRENT_FRONT,STEERING_SERVO_CURRENT_REAR,SUSPENSION_PRESSURE_CUR_1,SUSPENSION_PRESSURE_CUR_2,SUSPENSION_PRESSURE_CUR_3,SUSPENSION_PRESSURE_CUR_4,time
,,,,,,,,14:01:29.888514
,,,,,,,,14:01:29.890562
,,,,,,,,14:01:30.212885
,,,,,,,,14:01:30.412474
,,,,,,,,14:01:30.612426
,,,,,,,,14:01:30.811952
,,,,,,,,14:01:31.022686
,,,,,,,,14:01:31.222364
,,,,,,,,14:01:31.422581
,,,,,,,,14:01:31.726421
-1.00,-22.00,740.00,850.00,0.75,2.51,3.25,,14:01:32.082517
-1.00,-22.00,740.00,850.00,0.75,2.51,3.25,,14:01:32.292337
-1.00,-22.00,740.00,850.00,0.75,2.51,3.25,,14:01:32.492241
-1.00,-22.00,740.00,850.00,0.75,2.51,3.25,,14:01:32.722768
-1.00,-22.00,740.00,850.00,0.75,2.51,3.25,,14:01:32.962100
-1.00,-22.00,740.00,850.00,0.75,2.51,3.25,,14:01:33.182326
-1.00,-22.00,740.00,850.00,0.75,2.51,3.25,,14:01:33.392838
-1.00,-22.00,740.00,850.00,0.75,2.51,3.25,,14:01:33.593072
-1.00,-22.00,740.00,850.00,0.75,2.51,3.26,0.03,14:01:33.802836
-1.00,-22.00,740.00,850.00,0.75,2.51,3.26,0.03,14:01:34.002920
-1.00,-22.00,740.00,850.00,0.75,2.51,3.26,0.03,14:01:34.202012
-1.00,-22.00,740.00,850.00,0.75,2.51,3.26,0.03,14:01:34.412134
-1.00,-22.00,740.00,850.00,0.75,2.51,3.26,0.03,14:01:34.612650
-1.00,-22.00,740.00,850.00,0.75,2.51,3.26,0.03,14:01:34.812393
-1.00,-22.00,740.00,850.00,0.75,2.51,3.26,0.03,14:01:35.012655
-1.00,-22.00,740.00,850.00,0.75,2.50,3.26,0.02,14:01:35.272337
-1.00,-22.00,740.00,850.00,0.75,2.50,3.26,0.02,14:01:35.483074
-1.00,-22.00,740.00,850.00,0.75,2.50,3.26,0.02,14:01:35.702329
-1.00,-22.00,740.00,850.00,0.75,2.50,3.26,0.02,14:01:35.902875
-1.00,-22.00,740.00,850.00,0.75,2.50,3.26,0.02,14:01:36.102668
-1.00,-22.00,740.00,850.00,0.75,2.50,3.26,0.02,14:01:36.302251
-1.00,-22.00,740.00,850.00,0.75,2.50,3.26,0.02,14:01:36.492734
-1.00,-22.00,740.00,850.00,0.75,2.50,3.26,0.02,14:01:36.702456
-1.00,-22.00,740.00,850.00,0.75,2.50,3.26,0.02,14:01:36.892120
-1.00,-22.00,730.00,840.00,0.75,2.51,3.26,0.03,14:01:37.092249
-1.00,-22.00,730.00,840.00,0.75,2.51,3.26,0.03,14:01:37.292626
-1.00,-22.00,730.00,840.00,0.75,2.51,3.26,0.03,14:01:37.502922
-1.00,-22.00,730.00,840.00,0.75,2.51,3.26,0.03,14:01:37.702892
-1.00,-22.00,730.00,840.00,0.75,2.51,3.26,0.03,14:01:37.912346
-1.00,-22.00,730.00,840.00,0.75,2.51,3.26,0.03,14:01:38.102159
-1.00,-22.00,730.00,840.00,0.75,2.51,3.26,0.03,14:01:38.292202
-1.00,-22.00,730.00,840.00,0.75,2.51,3.26,0.03,14:01:38.503054
-1.00,-22.00,740.00,860.00,0.75,2.51,3.26,0.02,14:01:38.702896
-1.00,-22.00,740.00,860.00,0.75,2.51,3.26,0.02,14:01:38.902368
-1.00,-22.00,740.00,860.00,0.75,2.51,3.26,0.02,14:01:39.112997
-1.00,-22.00,740.00,860.00,0.75,2.51,3.26,0.02,14:01:39.312657
-1.00,-22.00,740.00,860.00,0.75,2.51,3.26,0.02,14:01:39.512796
-1.00,-22.00,740.00,860.00,0.75,2.51,3.26,0.02,14:01:39.712463
-1.00,-22.00,740.00,860.00,0.75,2.51,3.26,0.02,14:01:39.913033
-1.00,-22.00,740.00,860.00,0.75,2.51,3.26,0.02,14:01:40.123068
-1.00,-22.00,730.00,840.00,0.75,2.51,3.26,0.02,14:01:40.323021
-1.00,-22.00,730.00,840.00,0.75,2.51,3.26,0.02,14:01:40.592298
-1.00,-22.00,730.00,840.00,0.75,2.51,3.26,0.02,14:01:40.802934
-1.00,-22.00,730.00,840.00,0.75,2.51,3.26,0.02,14:01:41.002592
-1.00,-22.00,730.00,840.00,0.75,2.51,3.26,0.02,14:01:41.212973
-1.00,-22.00,730.00,840.00,0.75,2.51,3.26,0.02,14:01:41.412645
-1.00,-22.00,730.00,840.00,0.75,2.51,3.26,0.02,14:01:41.612591
-1.00,-22.00,730.00,840.00,0.75,2.51,3.26,0.02,14:01:41.812825
49.00,-22.00,1050.00,840.00,0.76,2.51,3.26,0.02,14:01:42.002645
49.00,-22.00,1050.00,840.00,0.76,2.51,3.26,0.02,14:01:42.213730
49.00,-22.00,1050.00,840.00,0.76,2.51,3.26,0.02,14:01:42.413112
49.00,-22.00,1050.00,840.00,0.76,2.51,3.26,0.02,14:01:42.612686
49.00,-22.00,1050.00,840.00,0.76,2.51,3.26,0.02,14:01:42.813174
49.00,-22.00,1050.00,840.00,0.76,2.51,3.26,0.02,14:01:43.012586
49.00,-22.00,1050.00,840.00,0.76,2.51,3.26,0.02,14:01:43.273531
49.00,-22.00,1050.00,840.00,0.76,2.51,3.26,0.02,14:01:43.482731
900.00,-22.00,1990.00,840.00,0.77,2.52,3.27,0.02,14:01:43.703265
900.00,-22.00,1990.00,840.00,0.77,2.52,3.27,0.02,14:01:43.902403
900.00,-22.00,1990.00,840.00,0.77,2.52,3.27,0.02,14:01:44.102888
900.00,-22.00,1990.00,840.00,0.77,2.52,3.27,0.02,14:01:44.302698
900.00,-22.00,1990.00,840.00,0.77,2.52,3.27,0.02,14:01:44.492983
900.00,-22.00,1990.00,840.00,0.77,2.52,3.27,0.02,14:01:44.702634
900.00,-22.00,1990.00,840.00,0.77,2.52,3.27,0.02,14:01:44.902885
900.00,-22.00,1990.00,840.00,0.77,2.52,3.27,0.02,14:01:45.103115
896.00,-22.00,1180.00,840.00,0.79,2.54,3.27,0.02,14:01:45.313349
896.00,-22.00,1180.00,840.00,0.79,2.54,3.27,0.02,14:01:45.513363
896.00,-22.00,1180.00,840.00,0.79,2.54,3.27,0.02,14:01:45.723021
896.00,-22.00,1180.00,840.00,0.79,2.54,3.27,0.02,14:01:45.972932
896.00,-22.00,1180.00,840.00,0.79,2.54,3.27,0.02,14:01:46.183384
896.00,-22.00,1180.00,840.00,0.79,2.54,3.27,0.02,14:01:46.392975
896.00,-22.00,1180.00,840.00,0.79,2.54,3.27,0.02,14:01:46.593293
896.00,-22.00,1180.00,840.00,0.79,2.54,3.27,0.02,14:01:46.792845
898.00,-22.00,1230.00,850.00,0.79,2.54,3.27,0.02,14:01:47.003005
898.00,-22.00,1230.00,850.00,0.79,2.54,3.27,0.02,14:01:47.202437
898.00,-22.00,1230.00,850.00,0.79,2.54,3.27,0.02,14:01:47.402992
898.00,-22.00,1230.00,850.00,0.79,2.54,3.27,0.02,14:01:47.603290
898.00,-22.00,1230.00,850.00,0.79,2.54,3.27,0.02,14:01:47.813141
898.00,-22.00,1230.00,850.00,0.79,2.54,3.27,0.02,14:01:48.012796
898.00,-22.00,1230.00,850.00,0.79,2.54,3.27,0.02,14:01:48.212475
898.00,-22.00,1230.00,850.00,0.79,2.54,3.27,0.02,14:01:48.423194
