PSTED_TORQUE,PSTED_MOTOR_SPEED,PSTED_CURRENT,PSTED_VOLTAGE,PSTED_MOTOR_TEMP,PSTED_INV_RADIATOR_TEMP,PSTED_OUT_BMS_VOLTAGE,SYSTEM_24V_VOLTAGE,STEERING_SERVO_CUR_POS_FRONT,STEERING_SERVO_CUR_POS_REAR,time
5.00,0.00,10.24,343.06,69.00,17.00,310.61,24.47,2.00,-32.00,17:20:08.688104
5.00,0.00,10.24,343.06,69.00,17.00,310.61,24.47,2.00,-32.00,17:20:08.690134
0.00,0.00,0.00,349.41,69.00,17.00,342.02,24.46,2.00,-32.00,17:20:09.733181
0.00,0.00,0.00,349.41,69.00,17.00,342.02,24.46,2.00,-32.00,17:20:10.434776
0.00,0.00,0.00,0.00,15.00,109.00,29.67,3.52,24466.00,2.00,17:20:11.349804
0.00,0.00,0.00,349.41,69.00,17.00,342.02,24.46,2.00,-32.00,17:20:12.393702
0.00,0.00,0.00,349.41,69.00,17.00,342.02,24.46,2.00,-32.00,17:20:13.109885
0.00,0.00,0.00,343.06,69.00,17.00,342.02,24.48,2.00,-32.00,17:20:13.978736
0.00,0.00,0.00,343.06,69.00,17.00,343.77,24.47,2.00,-32.00,17:20:14.912477
0.00,0.00,0.00,343.06,69.00,17.00,343.77,24.47,2.00,-32.00,17:20:15.600680
0.00,0.00,0.00,349.41,68.00,17.00,343.77,24.46,2.00,-32.00,17:20:16.487281
0.00,0.00,0.00,343.06,68.00,17.00,343.77,24.46,2.00,-32.00,17:20:17.522555
0.00,0.00,0.00,343.06,68.00,17.00,343.77,24.46,2.00,-32.00,17:20:18.267284
0.00,0.00,0.00,349.41,68.00,17.00,343.77,24.48,2.00,-32.00,17:20:19.105916
0.00,0.00,0.00,343.06,68.00,17.00,343.77,24.47,2.00,-32.00,17:20:20.132960
0.00,0.00,0.00,343.06,68.00,17.00,343.77,24.47,2.00,-32.00,17:20:20.948406
