Напряжение ЗПТ,Потребляемый ток,Ток обмотки возбуждения,Ток статора,Ток фазы А,Ток фазы В,Ток фазы С,Ток Id,Ток Iq,Температура фазы А,Температура фазы В,Температура фазы С,Температура воздуха,Температура статора,Температура ОВ,Gamma,Скорость мотора,Момент,Мощность механическая,Мощность электрическая,time
,,,,,,,,,,,,,,,,,,,,18:47:44.215524
,,,,,,,,,,,,,,,,,,,,18:47:44.226521
,,,,,,,,,,,,,,,,,,,,18:47:44.668956
,,,,,,,,,,,,,,,,,,,,18:47:45.003726
,,,,,,,,,,,,,,,,,,,,18:47:45.221525
,,,,,,,,,,,,,,,,,,,,18:47:45.441638
,,,,,,,,,,,,,,,,,,,,18:47:45.658501
,,,,,,,,,,,,,,,,,,,,18:47:45.877582
,,,,,,,,,,,,,,,,,,,,18:47:46.095204
,,,,,,,,,,,,,,,,,,,,18:47:46.316044
,,,,,,,,,,,,,,,,,,,,18:47:46.533450
,,,,,,,,,,,,,,,,,,,,18:47:46.754379
,,,,,,,,,,,,,,,,,,,,18:47:47.073261
,,,,,,,,,,,,,,,,,,,,18:47:47.408651
,,,,,,,,,,,,,,,,,,,,18:47:47.623992
,,,,,,,,,,,,,,,,,,,,18:47:47.841783
,,,,,,,,,,,,,,,,,,,,18:47:48.059879
,,,,,,,,,,,,,,,,,,,,18:47:48.278746
,,,,,,,,,,,,,,,,,,,,18:47:48.495613
,,,,,,,,,,,,,,,,,,,,18:47:48.715520
,,,,,,,,,,,,,,,,,,,,18:47:48.935209
,,,,,,,,,,,,,,,,,,,,18:47:49.153689
349.69,-1.09,-0.97,1.61,-5.09,0.19,0.25,0.15,-1.96,0.0,0.0,0.0,58.43,38.88,38.61,16.92,0.0,-0.0,-0.0,-15.85,18:47:49.373276
349.69,-1.09,-0.97,1.61,-5.09,0.19,0.25,0.15,-1.96,0.0,0.0,0.0,58.43,38.88,38.61,16.92,0.0,-0.0,-0.0,-15.85,18:47:49.708983
349.69,-1.09,-0.97,1.61,-5.09,0.19,0.25,0.15,-1.96,0.0,0.0,0.0,58.43,38.88,38.61,16.92,0.0,-0.0,-0.0,-15.85,18:47:50.046176
349.69,-1.09,-0.97,1.61,-5.09,0.19,0.25,0.15,-1.96,0.0,0.0,0.0,58.43,38.88,38.61,16.92,0.0,-0.0,-0.0,-15.85,18:47:50.262377
349.69,-1.09,-0.97,1.61,-5.09,0.19,0.25,0.15,-1.96,0.0,0.0,0.0,58.43,38.88,38.61,16.92,0.0,-0.0,-0.0,-15.85,18:47:50.463559
349.69,-1.09,-0.97,1.61,-5.09,0.19,0.25,0.15,-1.96,0.0,0.0,0.0,58.43,38.88,38.61,16.92,0.0,-0.0,-0.0,-15.85,18:47:50.684156
349.69,-1.09,-0.97,1.61,-5.09,0.19,0.25,0.15,-1.96,0.0,0.0,0.0,58.43,38.88,38.61,16.92,0.0,-0.0,-0.0,-15.85,18:47:50.899358
349.69,-1.09,-0.97,1.61,-5.09,0.19,0.25,0.15,-1.96,0.0,0.0,0.0,58.43,38.88,38.61,16.92,0.0,-0.0,-0.0,-15.85,18:47:51.118232
349.69,-1.09,-0.97,1.61,-5.09,0.19,0.25,0.15,-1.96,0.0,0.0,0.0,58.43,38.88,38.61,16.92,0.0,-0.0,-0.0,-15.85,18:47:51.335945
349.69,-1.09,-0.97,1.61,-5.09,0.19,0.25,0.15,-1.96,0.0,0.0,0.0,58.43,38.88,38.61,16.92,0.0,-0.0,-0.0,-15.85,18:47:51.544276
349.69,-1.09,-0.97,1.61,-5.09,0.19,0.25,0.15,-1.96,0.0,0.0,0.0,58.43,38.88,38.61,16.92,0.0,-0.0,-0.0,-15.85,18:47:51.763252
349.69,-1.09,-0.97,1.61,-5.09,0.19,0.25,0.15,-1.96,0.0,0.0,0.0,58.43,38.88,38.61,16.92,0.0,-0.0,-0.0,-15.85,18:47:51.966302
349.69,-1.09,-0.97,1.61,-5.09,0.19,0.25,0.15,-1.96,0.0,0.0,0.0,58.43,38.88,38.61,16.92,0.0,-0.0,-0.0,-15.85,18:47:52.275947
349.69,-1.09,-0.97,1.61,-5.09,0.19,0.25,0.15,-1.96,0.0,0.0,0.0,58.43,38.88,38.61,16.92,0.0,-0.0,-0.0,-15.85,18:47:52.612166
349.69,-1.09,-0.97,1.61,-5.09,0.19,0.25,0.15,-1.96,0.0,0.0,0.0,58.43,38.88,38.61,16.92,0.0,-0.0,-0.0,-15.85,18:47:52.830499
349.69,-1.09,-0.97,1.61,-5.09,0.19,0.25,0.15,-1.96,0.0,0.0,0.0,58.43,38.88,38.61,16.92,0.0,-0.0,-0.0,-15.85,18:47:53.048589
349.69,-1.09,-0.97,1.61,-5.09,0.19,0.25,0.15,-1.96,0.0,0.0,0.0,58.43,38.88,38.61,16.92,0.0,-0.0,-0.0,-15.85,18:47:53.265944
349.69,-1.09,-0.97,1.61,-5.09,0.19,0.25,0.15,-1.96,0.0,0.0,0.0,58.43,38.88,38.61,16.92,0.0,-0.0,-0.0,-15.85,18:47:53.485140
349.69,-1.09,-0.97,1.61,-5.09,0.19,0.25,0.15,-1.96,0.0,0.0,0.0,58.43,38.88,38.61,16.92,0.0,-0.0,-0.0,-15.85,18:47:53.704119
349.69,-1.09,-0.97,1.61,-5.09,0.19,0.25,0.15,-1.96,0.0,0.0,0.0,58.43,38.88,38.61,16.92,0.0,-0.0,-0.0,-15.85,18:47:53.910961
