SUSPENSION_HEIGHT_CUR_1,SUSPENSION_HEIGHT_CUR_2,SUSPENSION_HEIGHT_CUR_3,SUSPENSION_HEIGHT_CUR_4,SUSPENSION_PRESSURE_CUR_1,SUSPENSION_PRESSURE_CUR_2,SUSPENSION_PRESSURE_CUR_3,SUSPENSION_PRESSURE_CUR_4,time
,,,,,,,,17:55:24.881853
,,,,,,,,17:55:24.883854
,,,,,,,,17:55:25.187772
,,,,,,,,17:55:25.381971
,,,,,,,,17:55:25.594372
,,,,,,,,17:55:25.786166
,,,,,,,,17:55:25.995950
,,,,,,,,17:55:26.197802
,,,,,,,,17:55:26.397613
,,,,,,,,17:55:26.596024
15328.00,0.00,0.00,-16253.00,21.50,0.00,13.41,0.00,17:55:26.786167
15328.00,0.00,0.00,-16253.00,21.50,0.00,13.41,0.00,17:55:26.987058
15328.00,0.00,0.00,-16253.00,21.50,0.00,13.41,0.00,17:55:27.197799
15328.00,0.00,0.00,-16253.00,21.50,0.00,13.41,0.00,17:55:27.387239
15328.00,0.00,0.00,-16253.00,21.50,0.00,13.41,0.00,17:55:27.584782
15328.00,0.00,0.00,-16253.00,21.50,0.00,13.41,0.00,17:55:27.930749
15328.00,0.00,0.00,-16253.00,21.50,0.00,13.41,0.00,17:55:28.321539
