SYSTEM_12V_VOLTAGE,SYSTEM_12V_VOLTAGE_LOWER_LIM,SYSTEM_12V_VOLTAGE_UPPER_LIM,SYSTEM_24V_VOLTAGE,SYSTEM_24V_VOLTAGE_LOWER_LIM,SYSTEM_24V_VOLTAGE_UPPER_LIM,SYSTEM_BKU_MSG_TIMEOUT,SYSTEM_BKU_ONLINE,SYSTEM_BMS_ONLINE,SYSTEM_BZU_ONLINE,SYSTEM_PSTED_ONLINE,time
0.00,11000.00,15000.00,22111.00,23000.00,28000.00,200.00,0.00,1.00,0.00,0.00,11:51:38.582468
0.00,11000.00,15000.00,22111.00,23000.00,28000.00,200.00,0.00,1.00,0.00,0.00,11:51:38.780834
0.00,11000.00,15000.00,22111.00,23000.00,28000.00,200.00,0.00,1.00,0.00,0.00,11:51:39.191549
0.00,11000.00,15000.00,22111.00,23000.00,28000.00,200.00,0.00,1.00,0.00,0.00,11:51:39.410299
0.00,11000.00,15000.00,22111.00,23000.00,28000.00,200.00,0.00,1.00,0.00,0.00,11:51:39.620653
0.00,11000.00,15000.00,22111.00,23000.00,28000.00,200.00,0.00,1.00,0.00,0.00,11:51:39.820946
0.00,11000.00,15000.00,22111.00,23000.00,28000.00,200.00,0.00,1.00,0.00,0.00,11:51:40.030188
0.00,11000.00,15000.00,22111.00,23000.00,28000.00,200.00,0.00,1.00,0.00,0.00,11:51:40.230760
0.00,11000.00,15000.00,22111.00,23000.00,28000.00,200.00,0.00,1.00,0.00,0.00,11:51:40.430420
0.00,11000.00,15000.00,22098.00,23000.00,28000.00,200.00,0.00,1.00,0.00,0.00,11:51:40.630326
0.00,11000.00,15000.00,22098.00,23000.00,28000.00,200.00,0.00,1.00,0.00,0.00,11:51:40.830770
0.00,11000.00,15000.00,22098.00,23000.00,28000.00,200.00,0.00,1.00,0.00,0.00,11:51:41.030328
0.00,11000.00,15000.00,22098.00,23000.00,28000.00,200.00,0.00,1.00,0.00,0.00,11:51:41.240750
0.00,11000.00,15000.00,22098.00,23000.00,28000.00,200.00,0.00,1.00,0.00,0.00,11:51:41.450247
0.00,11000.00,15000.00,22098.00,23000.00,28000.00,200.00,0.00,1.00,0.00,0.00,11:51:41.866724
0.00,11000.00,15000.00,22098.00,23000.00,28000.00,200.00,0.00,1.00,0.00,0.00,11:51:42.080796
0.00,11000.00,15000.00,22098.00,23000.00,28000.00,200.00,0.00,1.00,0.00,0.00,11:51:42.280781
0.00,11000.00,15000.00,22098.00,23000.00,28000.00,200.00,0.00,1.00,0.00,0.00,11:51:42.482235
0.00,11000.00,15000.00,22098.00,23000.00,28000.00,200.00,0.00,1.00,0.00,0.00,11:51:42.690542
0.00,11000.00,15000.00,22098.00,23000.00,28000.00,200.00,0.00,1.00,0.00,0.00,11:51:42.890862
0.00,11000.00,15000.00,22110.00,23000.00,28000.00,200.00,0.00,1.00,0.00,0.00,11:51:43.100709
0.00,11000.00,15000.00,22110.00,23000.00,28000.00,200.00,0.00,1.00,0.00,0.00,11:51:43.310723
0.00,11000.00,15000.00,22110.00,23000.00,28000.00,200.00,0.00,1.00,0.00,0.00,11:51:43.510016
0.00,11000.00,15000.00,22110.00,23000.00,28000.00,200.00,0.00,1.00,0.00,0.00,11:51:43.720149
0.00,11000.00,15000.00,22110.00,23000.00,28000.00,200.00,0.00,1.00,0.00,0.00,11:51:43.921122
0.00,11000.00,15000.00,22110.00,23000.00,28000.00,200.00,0.00,1.00,0.00,0.00,11:51:44.120377
0.00,11000.00,15000.00,22110.00,23000.00,28000.00,200.00,0.00,1.00,0.00,0.00,11:51:44.537799
0.00,11000.00,15000.00,22110.00,23000.00,28000.00,200.00,0.00,1.00,0.00,0.00,11:51:44.751058
0.00,11000.00,15000.00,22110.00,23000.00,28000.00,200.00,0.00,1.00,0.00,0.00,11:51:44.950365
0.00,11000.00,15000.00,22110.00,23000.00,28000.00,200.00,0.00,1.00,0.00,0.00,11:51:45.149842
