STEERING_SERVO_CUR_POS_FRONT,STEERING_SERVO_CUR_POS_REAR,STEERING_SERVO_CURRENT_FRONT,STEERING_SERVO_CURRENT_REAR,SUSPENSION_PRESSURE_CUR_1,SUSPENSION_PRESSURE_CUR_2,SUSPENSION_PRESSURE_CUR_3,SUSPENSION_PRESSURE_CUR_4,time
,,,,,,,,12:47:49.151555
,,,,,,,,12:47:49.153555
,,,,,,,,12:47:49.470521
,,,,,,,,12:47:49.670744
,,,,,,,,12:47:49.869793
,,,,,,,,12:47:50.081812
,,,,,,,,12:47:50.282520
,,,,,,,,12:47:50.500004
,,,,,,,,12:47:50.740483
,,,,,,,,12:47:50.960046
1.00,31.00,1070.00,90.00,1.07,1.44,2.31,1.02,12:47:51.149932
1.00,31.00,1070.00,90.00,1.07,1.44,2.31,1.02,12:47:51.360683
1.00,31.00,1070.00,90.00,1.07,1.44,2.31,1.02,12:47:51.569908
1.00,31.00,1070.00,90.00,1.07,1.44,2.31,1.02,12:47:51.782625
1.00,31.00,1070.00,90.00,1.07,1.44,2.31,1.02,12:47:51.999829
1.00,31.00,1070.00,90.00,1.07,1.44,2.31,1.02,12:47:52.253754
1.00,31.00,1070.00,90.00,1.07,1.44,2.31,1.02,12:47:52.460617
1.00,31.00,1070.00,90.00,1.07,1.44,2.31,1.02,12:47:52.672100
1.00,31.00,1060.00,200.00,1.08,1.44,2.31,1.01,12:47:52.871086
1.00,31.00,1060.00,200.00,1.08,1.44,2.31,1.01,12:47:53.071948
1.00,31.00,1060.00,200.00,1.08,1.44,2.31,1.01,12:47:53.270007
1.00,31.00,1060.00,200.00,1.08,1.44,2.31,1.01,12:47:53.470355
1.00,31.00,1060.00,200.00,1.08,1.44,2.31,1.01,12:47:53.679984
1.00,31.00,1060.00,200.00,1.08,1.44,2.31,1.01,12:47:53.880765
1.00,31.00,1060.00,200.00,1.08,1.44,2.31,1.01,12:47:54.080525
1.00,31.00,1060.00,200.00,1.08,1.44,2.31,1.01,12:47:54.300551
1.00,31.00,1060.00,170.00,1.06,1.44,2.32,1.01,12:47:54.560441
1.00,31.00,1060.00,170.00,1.06,1.44,2.32,1.01,12:47:54.770446
1.00,31.00,1060.00,170.00,1.06,1.44,2.32,1.01,12:47:54.970503
1.00,31.00,1060.00,170.00,1.06,1.44,2.32,1.01,12:47:55.179858
1.00,31.00,1060.00,170.00,1.06,1.44,2.32,1.01,12:47:55.380188
1.00,31.00,1060.00,170.00,1.06,1.44,2.32,1.01,12:47:55.580543
1.00,31.00,1060.00,170.00,1.06,1.44,2.32,1.01,12:47:55.794110
1.00,31.00,1060.00,170.00,1.06,1.44,2.32,1.01,12:47:55.997358
1.00,31.00,1060.00,180.00,1.07,1.44,2.32,1.01,12:47:56.249955
1.00,31.00,1060.00,180.00,1.07,1.44,2.32,1.01,12:47:56.460200
1.00,31.00,1060.00,180.00,1.07,1.44,2.32,1.01,12:47:56.652322
1.00,31.00,1060.00,180.00,1.07,1.44,2.32,1.01,12:47:56.861531
1.00,31.00,1060.00,180.00,1.07,1.44,2.32,1.01,12:47:57.072090
1.00,31.00,1060.00,180.00,1.07,1.44,2.32,1.01,12:47:57.282309
1.00,31.00,1060.00,180.00,1.07,1.44,2.32,1.01,12:47:57.480318
1.00,31.00,1060.00,180.00,1.07,1.44,2.32,1.01,12:47:57.680406
1.00,31.00,1060.00,150.00,1.08,1.44,2.32,1.01,12:47:57.880200
1.00,31.00,1060.00,150.00,1.08,1.44,2.32,1.01,12:47:58.096568
1.00,31.00,1060.00,150.00,1.08,1.44,2.32,1.01,12:47:58.350074
1.00,31.00,1060.00,150.00,1.08,1.44,2.32,1.01,12:47:58.560735
1.00,31.00,1060.00,150.00,1.08,1.44,2.32,1.01,12:47:58.761020
1.00,31.00,1060.00,150.00,1.08,1.44,2.32,1.01,12:47:58.960116
1.00,31.00,1060.00,150.00,1.08,1.44,2.32,1.01,12:47:59.160569
1.00,31.00,1060.00,150.00,1.08,1.44,2.32,1.01,12:47:59.370591
1.00,31.00,1070.00,180.00,1.06,1.44,2.31,1.02,12:47:59.581912
1.00,31.00,1070.00,180.00,1.06,1.44,2.31,1.02,12:47:59.792505
