PSTED_MOTOR_SPEED,PSTED_CURRENT,PSTED_VOLTAGE,STEERING_SERVO_CUR_POS_FRONT,STEERING_SERVO_CUR_POS_REAR,STEERING_SERVO_CURRENT_FRONT,STEERING_SERVO_CURRENT_REAR,SUSPENSION_HEIGHT_CUR_1,SUSPENSION_HEIGHT_CUR_2,SUSPENSION_HEIGHT_CUR_3,SUSPENSION_HEIGHT_CUR_4,time
0.00,0.00,6.35,-2.00,33.00,1160.00,140.00,-62.00,-54.00,-26.00,-10.00,18:17:45.911504
0.00,0.00,6.35,-2.00,33.00,1160.00,140.00,-62.00,-54.00,-26.00,-10.00,18:17:46.042526
0.00,0.00,6.35,-2.00,33.00,1160.00,140.00,-62.00,-54.00,-26.00,-10.00,18:17:46.309077
0.00,0.00,6.35,-2.00,33.00,1160.00,140.00,-62.00,-54.00,-26.00,-10.00,18:17:46.528976
0.00,0.00,6.35,-2.00,33.00,1160.00,140.00,-62.00,-54.00,-26.00,-10.00,18:17:46.827177
0.00,0.00,6.35,-2.00,33.00,1160.00,140.00,-62.00,-54.00,-26.00,-10.00,18:17:47.189139
0.00,0.00,6.35,-2.00,33.00,1160.00,140.00,-62.00,-54.00,-26.00,-10.00,18:17:47.398969
0.00,0.00,6.35,-2.00,33.00,1160.00,140.00,-62.00,-54.00,-26.00,-10.00,18:17:47.608928
0.00,0.00,6.35,-2.00,33.00,1160.00,140.00,-62.00,-54.00,-26.00,-10.00,18:17:47.841775
0.00,0.00,6.35,-2.00,33.00,1160.00,140.00,-62.00,-54.00,-26.00,-10.00,18:17:48.078863
0.00,0.00,6.35,-2.00,33.00,1160.00,140.00,-62.00,-54.00,-26.00,-10.00,18:17:48.299057
0.00,0.00,6.35,-2.00,33.00,1160.00,140.00,-62.00,-54.00,-26.00,-10.00,18:17:48.519051
0.00,0.00,6.35,-2.00,33.00,1160.00,180.00,-62.00,-54.00,-26.00,-10.00,18:17:48.744716
0.00,0.00,6.35,-2.00,33.00,1160.00,180.00,-62.00,-54.00,-26.00,-10.00,18:17:49.008850
0.00,0.00,6.35,-2.00,33.00,1160.00,180.00,-62.00,-54.00,-26.00,-10.00,18:17:49.229516
0.00,0.00,6.35,-2.00,33.00,1160.00,180.00,-62.00,-54.00,-26.00,-10.00,18:17:49.442887
0.00,0.00,6.35,-2.00,33.00,1160.00,180.00,-62.00,-54.00,-26.00,-10.00,18:17:49.678849
0.00,0.00,6.35,-2.00,33.00,1160.00,180.00,-62.00,-54.00,-26.00,-10.00,18:17:49.898797
0.00,0.00,6.35,-2.00,33.00,1160.00,180.00,-62.00,-54.00,-26.00,-10.00,18:17:50.108927
0.00,0.00,6.35,-2.00,33.00,1160.00,180.00,-62.00,-54.00,-26.00,-10.00,18:17:50.308583
