STEERING_SERVO_CUR_POS_FRONT,STEERING_SERVO_CUR_POS_REAR,STEERING_SERVO_CURRENT_FRONT,STEERING_SERVO_CURRENT_REAR,SUSPENSION_PRESSURE_CUR_1,SUSPENSION_PRESSURE_CUR_2,SUSPENSION_PRESSURE_CUR_3,SUSPENSION_PRESSURE_CUR_4,time
2.00,33.00,1060.00,240.00,1.31,2.57,3.08,0.08,13:59:25.575937
2.00,33.00,1060.00,240.00,1.31,2.57,3.08,0.08,13:59:25.577938
2.00,33.00,1060.00,240.00,1.31,2.57,3.08,0.08,13:59:25.908333
2.00,33.00,1060.00,240.00,1.31,2.57,3.08,0.08,13:59:26.109955
2.00,33.00,1060.00,240.00,1.31,2.57,3.08,0.08,13:59:26.308147
2.00,33.00,1060.00,240.00,1.31,2.57,3.08,0.08,13:59:26.521572
2.00,33.00,1060.00,240.00,1.31,2.57,3.08,0.08,13:59:26.720904
2.00,33.00,1060.00,240.00,1.31,2.57,3.08,0.08,13:59:26.927802
2.00,33.00,1060.00,240.00,1.31,2.57,3.08,0.08,13:59:27.138144
2.00,33.00,1060.00,240.00,1.31,2.57,3.08,0.08,13:59:27.368114
-48.00,152.00,0.00,0.00,1.02,2.95,3.37,0.05,13:59:27.590400
-48.00,152.00,0.00,0.00,1.02,2.95,3.37,0.05,13:59:27.788157
-48.00,152.00,0.00,0.00,1.02,2.95,3.37,0.05,13:59:27.989861
-48.00,152.00,0.00,0.00,1.02,2.95,3.37,0.05,13:59:28.199571
-48.00,152.00,0.00,0.00,1.02,2.95,3.37,0.05,13:59:28.408369
-48.00,152.00,0.00,0.00,1.02,2.95,3.37,0.05,13:59:28.622023
-48.00,152.00,0.00,0.00,1.02,2.95,3.37,0.05,13:59:28.821569
-48.00,152.00,0.00,0.00,1.02,2.95,3.37,0.05,13:59:29.021700
-132.00,94.00,910.00,1040.00,0.95,2.85,3.40,0.05,13:59:29.258901
-132.00,94.00,910.00,1040.00,0.95,2.85,3.40,0.05,13:59:29.478983
-132.00,94.00,910.00,1040.00,0.95,2.85,3.40,0.05,13:59:29.698338
