PSTED_MOTOR_SPEED,PSTED_CURRENT,PSTED_VOLTAGE,STEERING_SERVO_CUR_POS_FRONT,STEERING_SERVO_CUR_POS_REAR,STEERING_SERVO_CURRENT_FRONT,STEERING_SERVO_CURRENT_REAR,SUSPENSION_HEIGHT_CUR_1,SUSPENSION_HEIGHT_CUR_2,SUSPENSION_HEIGHT_CUR_3,SUSPENSION_HEIGHT_CUR_4,time
,,,,,,,,,,,18:16:45.845091
,,,,,,,,,,,18:16:45.986188
,,,,,,,,,,,18:16:46.235912
,,,,,,,,,,,18:16:46.476376
,,,,,,,,,,,18:16:46.686381
,,,,,,,,,,,18:16:46.906333
,,,,,,,,,,,18:16:47.126204
,,,,,,,,,,,18:16:47.335546
,,,,,,,,,,,18:16:47.576513
,,,,,,,,,,,18:16:47.796360
,,,,,,,,,,,18:16:48.016367
,,,,,,,,,,,18:16:48.236467
0.00,0.00,6.35,-2.00,33.00,1160.00,130.00,-62.00,-54.00,-26.00,-10.00,18:16:48.476359
0.00,0.00,6.35,-2.00,33.00,1160.00,130.00,-62.00,-54.00,-26.00,-10.00,18:16:48.696547
0.00,0.00,6.35,-2.00,33.00,1160.00,130.00,-62.00,-54.00,-26.00,-10.00,18:16:48.936167
0.00,0.00,6.35,-2.00,33.00,1160.00,130.00,-62.00,-54.00,-26.00,-10.00,18:16:49.176428
0.00,0.00,6.35,-2.00,33.00,1160.00,130.00,-62.00,-54.00,-26.00,-10.00,18:16:49.396402
0.00,0.00,6.35,-2.00,33.00,1160.00,130.00,-62.00,-54.00,-26.00,-10.00,18:16:49.626405
0.00,0.00,6.35,-2.00,33.00,1160.00,130.00,-62.00,-54.00,-26.00,-10.00,18:16:49.876325
0.00,0.00,6.35,-2.00,33.00,1160.00,130.00,-62.00,-54.00,-26.00,-10.00,18:16:50.096400
0.00,0.00,6.35,-2.00,33.00,1160.00,130.00,-62.00,-54.00,-26.00,-10.00,18:16:50.326628
0.00,0.00,6.35,-2.00,33.00,1160.00,130.00,-62.00,-54.00,-26.00,-10.00,18:16:50.536008
0.00,0.00,6.35,-2.00,33.00,1160.00,130.00,-62.00,-54.00,-26.00,-10.00,18:16:50.796235
0.00,0.00,6.35,-2.00,33.00,1160.00,100.00,-62.00,-54.00,-26.00,-10.00,18:16:51.006545
0.00,0.00,6.35,-2.00,33.00,1160.00,100.00,-62.00,-54.00,-26.00,-10.00,18:16:51.226599
0.00,0.00,6.35,-2.00,33.00,1160.00,100.00,-62.00,-54.00,-26.00,-10.00,18:16:51.485967
0.00,0.00,6.35,-2.00,33.00,1160.00,100.00,-62.00,-54.00,-26.00,-10.00,18:16:51.698011
