STEERING_SERVO_CUR_POS_FRONT,STEERING_SERVO_CUR_POS_REAR,STEERING_SERVO_CURRENT_FRONT,STEERING_SERVO_CURRENT_REAR,time
300.00,39.00,0.00,150.00,15:11:24.489613
300.00,39.00,0.00,150.00,15:11:24.493612
300.00,39.00,0.00,150.00,15:11:24.843611
300.00,39.00,0.00,150.00,15:11:25.050612
300.00,39.00,0.00,150.00,15:11:25.309611
300.00,39.00,0.00,150.00,15:11:25.529610
271.00,38.00,0.00,100.00,15:11:25.731612
271.00,38.00,0.00,100.00,15:11:25.942611
271.00,38.00,0.00,100.00,15:11:26.139613
271.00,38.00,0.00,100.00,15:11:26.349615
271.00,38.00,0.00,50.00,15:11:26.549609
271.00,38.00,0.00,50.00,15:11:26.769618
271.00,38.00,0.00,50.00,15:11:27.029613
271.00,39.00,0.00,80.00,15:11:27.289613
271.00,39.00,0.00,80.00,15:11:27.520613
271.00,39.00,0.00,80.00,15:11:27.749615
271.00,39.00,0.00,80.00,15:11:27.949614
271.00,39.00,0.00,80.00,15:11:28.163615
271.00,39.00,0.00,100.00,15:11:28.409613
271.00,39.00,0.00,100.00,15:11:28.629616
271.00,39.00,0.00,100.00,15:11:28.839615
271.00,39.00,0.00,100.00,15:11:29.049614
271.00,39.00,0.00,190.00,15:11:29.249614
271.00,39.00,0.00,190.00,15:11:29.459615
271.00,39.00,0.00,190.00,15:11:29.669615
271.00,39.00,0.00,3190.00,15:11:29.940616
271.00,39.00,0.00,3190.00,15:11:30.139613
271.00,39.00,0.00,3190.00,15:11:30.351614
271.00,39.00,0.00,3190.00,15:11:30.549611
271.00,39.00,0.00,3190.00,15:11:30.749613
271.00,214.00,0.00,3680.00,15:11:30.964648
271.00,214.00,0.00,3680.00,15:11:31.293617
271.00,214.00,0.00,3680.00,15:11:31.639616
271.00,214.00,0.00,3680.00,15:11:31.849615
271.00,214.00,0.00,0.00,15:11:32.049615
271.00,214.00,0.00,0.00,15:11:32.267616
271.00,214.00,0.00,0.00,15:11:32.539617
271.00,214.00,0.00,0.00,15:11:32.739617
271.00,177.00,0.00,1980.00,15:11:32.949656
271.00,177.00,0.00,1980.00,15:11:33.171660
271.00,177.00,0.00,1980.00,15:11:33.409657
271.00,177.00,0.00,1980.00,15:11:33.630617
271.00,-215.00,0.00,5310.00,15:11:33.849617
271.00,-215.00,0.00,5310.00,15:11:34.053619
271.00,-215.00,0.00,5310.00,15:11:34.271618
271.00,-215.00,0.00,5310.00,15:11:34.499617
271.00,-264.00,0.00,5410.00,15:11:34.730618
271.00,-264.00,0.00,5410.00,15:11:34.939618
271.00,-264.00,0.00,5410.00,15:11:35.160620
271.00,-264.00,0.00,5410.00,15:11:35.359658
271.00,-289.00,0.00,3740.00,15:11:35.569616
271.00,-289.00,0.00,3740.00,15:11:35.789616
271.00,-289.00,0.00,3740.00,15:11:36.040621
271.00,-289.00,0.00,3740.00,15:11:36.251621
271.00,197.00,0.00,0.00,15:11:36.449622
271.00,197.00,0.00,0.00,15:11:36.660620
271.00,197.00,0.00,0.00,15:11:36.870624
271.00,197.00,0.00,0.00,15:11:37.124620
271.00,198.00,0.00,1960.00,15:11:37.345657
271.00,198.00,0.00,1960.00,15:11:37.551620
271.00,198.00,0.00,1960.00,15:11:37.800620
271.00,198.00,0.00,1960.00,15:11:38.042620
271.00,-122.00,0.00,5230.00,15:11:38.250622
271.00,-122.00,0.00,5230.00,15:11:38.460624
271.00,-122.00,0.00,5230.00,15:11:38.660618
271.00,-122.00,0.00,5230.00,15:11:38.920622
271.00,-310.00,0.00,5510.00,15:11:39.130654
271.00,-310.00,0.00,5510.00,15:11:39.334623
271.00,-310.00,0.00,5510.00,15:11:39.540622
271.00,-310.00,0.00,5510.00,15:11:39.750621
271.00,-329.00,0.00,5510.00,15:11:39.960621
271.00,-329.00,0.00,5510.00,15:11:40.163624
271.00,-329.00,0.00,5510.00,15:11:40.430624
271.00,-329.00,0.00,5510.00,15:11:40.640659
271.00,-54.00,0.00,4840.00,15:11:40.840665
271.00,-54.00,0.00,4840.00,15:11:41.050621
271.00,-54.00,0.00,4840.00,15:11:41.265622
271.00,-54.00,0.00,4840.00,15:11:41.512625
271.00,-316.00,0.00,5650.00,15:11:41.730623
271.00,-316.00,0.00,5650.00,15:11:41.970625
271.00,-316.00,0.00,5650.00,15:11:42.162627
271.00,-316.00,0.00,5650.00,15:11:42.472628
271.00,-204.00,0.00,5650.00,15:11:42.830626
271.00,-204.00,0.00,5650.00,15:11:43.066629
271.00,-204.00,0.00,5650.00,15:11:43.290627
271.00,-204.00,0.00,5650.00,15:11:43.520627
271.00,-326.00,0.00,5690.00,15:11:43.730626
271.00,-326.00,0.00,5690.00,15:11:43.943624
271.00,-326.00,0.00,5690.00,15:11:44.140660
271.00,-326.00,0.00,5690.00,15:11:44.351626
271.00,-326.00,0.00,0.00,15:11:44.567627
271.00,-326.00,0.00,0.00,15:11:44.770625
271.00,-326.00,0.00,0.00,15:11:45.104628
271.00,-326.00,0.00,0.00,15:11:45.430627
271.00,-195.00,0.00,1120.00,15:11:45.640628
271.00,-195.00,0.00,1120.00,15:11:45.840628
271.00,-195.00,0.00,1120.00,15:11:46.040664
