STEERING_SERVO_CUR_POS_FRONT,STEERING_SERVO_CUR_POS_REAR,STEERING_SERVO_CURRENT_FRONT,STEERING_SERVO_CURRENT_REAR,time
271.00,-195.00,0.00,1120.00,15:11:46.240632
271.00,-170.00,0.00,440.00,15:11:46.440631
271.00,-170.00,0.00,440.00,15:11:46.640629
271.00,-170.00,0.00,440.00,15:11:46.840633
271.00,-170.00,0.00,440.00,15:11:47.040631
271.00,-170.00,0.00,400.00,15:11:47.240629
271.00,-170.00,0.00,400.00,15:11:47.450632
271.00,-170.00,0.00,400.00,15:11:47.667630
271.00,-170.00,0.00,400.00,15:11:47.913630
271.00,1.00,0.00,2720.00,15:11:48.150632
271.00,1.00,0.00,2720.00,15:11:48.366633
271.00,1.00,0.00,2720.00,15:11:48.612632
271.00,1.00,0.00,2720.00,15:11:48.840634
271.00,191.00,0.00,4740.00,15:11:49.084631
271.00,191.00,0.00,4740.00,15:11:49.300630
271.00,191.00,0.00,4740.00,15:11:49.620635
271.00,191.00,0.00,4740.00,15:11:49.950632
271.00,227.00,0.00,5060.00,15:11:50.161636
271.00,227.00,0.00,5060.00,15:11:50.363632
271.00,227.00,0.00,5060.00,15:11:50.611672
271.00,227.00,0.00,5060.00,15:11:50.820634
271.00,241.00,0.00,5430.00,15:11:51.063675
271.00,241.00,0.00,5430.00,15:11:51.318637
271.00,241.00,0.00,5430.00,15:11:51.540637
271.00,241.00,0.00,5430.00,15:11:51.752637
271.00,-7.00,0.00,4460.00,15:11:51.961633
271.00,-7.00,0.00,4460.00,15:11:52.172637
271.00,-7.00,0.00,4460.00,15:11:52.411638
271.00,-7.00,0.00,4460.00,15:11:52.630638
271.00,48.00,0.00,2070.00,15:11:52.842673
271.00,48.00,0.00,2070.00,15:11:53.050634
271.00,48.00,0.00,2070.00,15:11:53.264633
271.00,48.00,0.00,2070.00,15:11:53.465638
271.00,240.00,0.00,5010.00,15:11:53.740634
271.00,240.00,0.00,5010.00,15:11:53.940635
271.00,240.00,0.00,5010.00,15:11:54.154639
271.00,240.00,0.00,5010.00,15:11:54.350639
271.00,240.00,0.00,3060.00,15:11:54.561640
271.00,240.00,0.00,3060.00,15:11:54.770636
271.00,240.00,0.00,3060.00,15:11:55.000637
271.00,240.00,0.00,3060.00,15:11:55.231637
271.00,249.00,0.00,2130.00,15:11:55.442637
271.00,249.00,0.00,2130.00,15:11:55.767641
271.00,249.00,0.00,2130.00,15:11:56.225636
