PSTED_TORQUE,PSTED_MOTOR_SPEED,PSTED_CURRENT,PSTED_VOLTAGE,PSTED_MOTOR_TEMP,PSTED_INV_RADIATOR_TEMP,PSTED_OUT_BMS_VOLTAGE,SYSTEM_24V_VOLTAGE,STEERING_SERVO_CUR_POS_FRONT,STEERING_SERVO_CUR_POS_REAR,time
0.00,0.00,0.00,343.06,14.00,17.00,333.30,24.46,2.00,-26.00,16:46:04.195334
0.00,0.00,0.00,343.06,14.00,17.00,333.30,24.46,2.00,-26.00,16:46:04.197324
0.00,0.00,0.00,349.41,38.00,17.00,378.67,24.48,2.00,-26.00,16:46:05.081610
0.00,0.00,0.00,349.41,38.00,17.00,378.67,24.48,2.00,-26.00,16:46:05.641345
0.00,0.00,0.00,349.41,38.00,17.00,378.67,24.48,2.00,-26.00,16:46:06.328257
0.00,0.00,0.00,349.41,38.00,17.00,378.67,24.48,2.00,-26.00,16:46:06.967634
0.00,0.00,0.00,349.41,38.00,17.00,378.67,24.48,2.00,-26.00,16:46:07.782190
0.00,0.00,0.00,349.41,38.00,17.00,378.67,24.48,2.00,-26.00,16:46:08.315592
0.00,0.00,0.00,349.41,38.00,17.00,378.67,24.46,2.00,-26.00,16:46:09.018059
1.00,0.00,5.12,349.41,38.00,17.00,378.67,24.48,2.00,-26.00,16:46:09.717336
6.00,0.00,15.35,349.41,39.00,17.00,378.67,24.48,2.00,-26.00,16:46:10.562179
6.00,0.00,15.35,349.41,39.00,17.00,378.67,24.48,2.00,-26.00,16:46:11.147451
11.00,0.00,20.47,349.41,39.00,17.00,378.67,24.48,2.00,-26.00,16:46:11.860601
13.00,0.00,25.59,349.41,39.00,17.00,378.67,24.46,2.00,-26.00,16:46:12.523827
18.00,0.00,35.83,349.41,40.00,17.00,378.67,24.46,2.00,-26.00,16:46:13.342635
18.00,0.00,35.83,349.41,40.00,17.00,378.67,24.46,2.00,-26.00,16:46:13.920013
19.00,0.00,35.83,349.41,40.00,17.00,378.67,24.45,2.00,-26.00,16:46:14.614500
22.00,0.00,40.94,349.41,40.00,17.00,375.18,24.45,2.00,-26.00,16:46:15.308852
26.00,0.00,51.18,349.41,40.00,17.00,373.43,24.46,2.00,-26.00,16:46:16.081598
26.00,0.00,51.18,349.41,40.00,17.00,373.43,24.46,2.00,-26.00,16:46:16.628573
31.00,0.00,61.42,349.41,40.00,17.00,371.69,24.45,2.00,-26.00,16:46:17.254763
32.00,0.00,61.42,349.41,40.00,17.00,371.69,24.45,2.00,-26.00,16:46:17.924077
34.00,0.00,66.54,349.41,40.00,17.00,371.69,24.46,2.00,-26.00,16:46:18.706417
34.00,0.00,66.54,349.41,40.00,17.00,371.69,24.46,2.00,-26.00,16:46:19.273662
34.00,0.00,66.54,349.41,40.00,17.00,371.69,24.45,2.00,-26.00,16:46:19.905696
34.00,0.00,66.54,349.41,40.00,17.00,371.69,24.45,2.00,-26.00,16:46:20.577312
36.00,0.00,66.54,349.41,40.00,17.00,371.69,24.46,2.00,-26.00,16:46:21.404329
36.00,0.00,66.54,349.41,40.00,17.00,371.69,24.46,2.00,-26.00,16:46:21.972687
36.00,0.00,66.54,349.41,40.00,17.00,371.69,24.46,2.00,-26.00,16:46:22.576157
36.00,0.00,66.54,349.41,40.00,17.00,371.69,24.46,2.00,-26.00,16:46:23.255099
37.00,0.00,71.65,349.41,40.00,17.00,371.69,24.45,2.00,-26.00,16:46:24.053112
37.00,0.00,71.65,349.41,40.00,17.00,371.69,24.45,2.00,-26.00,16:46:24.570823
38.00,0.00,71.65,349.41,40.00,17.00,371.69,24.46,2.00,-26.00,16:46:25.248125
38.00,0.00,71.65,349.41,40.00,17.00,371.69,24.46,2.00,-26.00,16:46:25.925983
41.00,0.00,81.89,349.41,40.00,17.00,371.69,24.45,2.00,-26.00,16:46:26.755608
41.00,0.00,81.89,349.41,40.00,17.00,371.69,24.45,2.00,-26.00,16:46:27.208321
43.00,395.52,61.42,349.41,40.00,17.00,371.69,24.45,2.00,-26.00,16:46:27.907660
43.00,506.36,61.42,349.41,39.00,17.00,371.69,24.45,2.00,-26.00,16:46:28.570952
43.00,619.16,61.42,343.06,39.00,17.00,371.69,24.45,2.00,-26.00,16:46:29.372542
43.00,619.16,61.42,343.06,39.00,17.00,371.69,24.45,2.00,-26.00,16:46:29.922383
43.00,1337.69,61.42,343.06,39.00,17.00,371.69,24.46,2.00,-26.00,16:46:30.574973
43.00,2447.10,61.42,336.71,39.00,17.00,371.69,24.48,2.00,-26.00,16:46:31.245841
43.00,3844.11,20.47,343.06,29.00,17.00,371.69,24.45,2.00,-26.00,16:46:32.053812
43.00,3844.11,20.47,343.06,29.00,17.00,371.69,24.45,2.00,-26.00,16:46:32.572481
43.00,4009.89,20.47,343.06,29.00,17.00,371.69,24.47,2.00,-26.00,16:46:33.239529
43.00,4118.53,20.47,343.06,25.00,17.00,371.69,24.46,2.00,-26.00,16:46:33.923404
43.00,4322.89,20.47,343.06,24.00,17.00,287.93,24.45,2.00,-26.00,16:46:34.713399
43.00,4322.89,20.47,343.06,24.00,17.00,287.93,24.45,2.00,-26.00,16:46:35.224152
43.00,4470.11,25.59,343.06,24.00,17.00,280.94,24.45,2.00,-26.00,16:46:35.918047
43.00,4580.95,25.59,343.06,23.00,17.00,280.94,24.45,2.00,-26.00,16:46:36.562638
43.00,4857.81,30.71,343.06,25.00,17.00,273.97,24.45,2.00,-26.00,16:46:37.382407
43.00,4857.81,30.71,343.06,25.00,17.00,273.97,24.45,2.00,-26.00,16:46:38.005064
43.00,5059.48,35.83,336.71,26.00,17.00,273.97,24.45,2.00,-26.00,16:46:38.675124
43.00,5274.09,40.94,336.71,26.00,17.00,273.97,24.47,2.00,-26.00,16:46:39.372042
43.00,5812.19,51.18,336.71,33.00,17.00,273.97,24.46,2.00,-26.00,16:46:40.174264
43.00,5812.19,51.18,336.71,33.00,17.00,273.97,24.46,2.00,-26.00,16:46:40.727037
43.00,6106.88,51.18,336.71,33.00,17.00,273.97,24.48,2.00,-26.00,16:46:41.379166
43.00,6348.83,51.18,336.71,31.00,17.00,273.97,24.48,2.00,-26.00,16:46:42.061900
43.00,6568.32,51.18,343.06,31.00,17.00,273.97,24.46,2.00,-26.00,16:46:42.892898
43.00,6568.32,51.18,343.06,31.00,17.00,273.97,24.46,2.00,-26.00,16:46:43.438050
43.00,6651.33,51.18,336.71,34.00,17.00,273.97,24.46,2.00,-26.00,16:46:44.106953
43.00,6697.71,51.18,343.06,33.00,17.00,273.97,24.48,2.00,-26.00,16:46:44.785696
43.00,6746.06,51.18,336.71,32.00,17.00,273.97,24.48,2.00,-26.00,16:46:45.608684
43.00,6746.06,51.18,336.71,32.00,17.00,273.97,24.48,2.00,-26.00,16:46:46.169116
43.00,6778.04,51.18,343.06,37.00,17.00,273.97,24.48,2.00,-26.00,16:46:46.918910
43.00,6783.90,51.18,336.71,35.00,17.00,273.97,24.48,2.00,-26.00,16:46:47.582405
43.00,6840.05,51.18,336.71,33.00,17.00,273.97,24.46,2.00,-26.00,16:46:48.383813
43.00,6840.05,51.18,336.71,33.00,17.00,273.97,24.46,2.00,-26.00,16:46:48.962427
43.00,6824.67,51.18,336.71,33.00,17.00,273.97,24.45,2.00,-26.00,16:46:49.647184
43.00,6826.62,51.18,336.71,33.00,17.00,273.97,24.45,2.00,-26.00,16:46:50.330165
23.00,6558.06,30.71,343.06,35.00,17.00,207.66,24.45,2.00,-26.00,16:46:51.105528
23.00,6558.06,30.71,343.06,35.00,17.00,207.66,24.45,2.00,-26.00,16:46:51.697219
5.00,5464.03,15.35,349.41,35.00,17.00,207.66,24.46,2.00,-26.00,16:46:52.379998
2.00,5211.83,5.12,349.41,33.00,17.00,207.66,24.46,2.00,-26.00,16:46:53.047045
0.00,4120.49,0.00,343.06,36.00,17.00,207.66,24.45,2.00,-26.00,16:46:53.875371
0.00,4120.49,0.00,343.06,36.00,17.00,207.66,24.45,2.00,-26.00,16:46:54.428486
0.00,3501.33,0.00,343.06,39.00,17.00,207.66,24.46,2.00,-26.00,16:46:55.080363
0.00,2912.20,0.00,343.06,41.00,17.00,207.66,24.48,2.00,-26.00,16:46:55.757790
0.00,1844.54,0.00,343.06,42.00,17.00,207.66,24.48,2.00,-26.00,16:46:56.573671
0.00,1844.54,0.00,343.06,42.00,17.00,207.66,24.48,2.00,-26.00,16:46:57.116715
0.00,1301.31,0.00,343.06,42.00,17.00,207.66,24.48,2.00,-26.00,16:46:57.865540
