PSTED_MOTOR_SPEED,PSTED_CURRENT,PSTED_VOLTAGE,STEERING_SERVO_CUR_POS_FRONT,STEERING_SERVO_CUR_POS_REAR,STEERING_SERVO_CURRENT_FRONT,STEERING_SERVO_CURRENT_REAR,SUSPENSION_HEIGHT_CUR_1,SUSPENSION_HEIGHT_CUR_2,SUSPENSION_HEIGHT_CUR_3,SUSPENSION_HEIGHT_CUR_4,time
,,,,,,,,,,,18:10:57.358205
,,,,,,,,,,,18:10:57.498764
,,,,,,,,,,,18:10:57.911618
,,,,,,,,,,,18:10:58.128666
,,,,,,,,,,,18:10:58.360554
,,,,,,,,,,,18:10:58.579144
,,,,,,,,,,,18:10:58.808383
,,,,,,,,,,,18:10:59.008959
,,,,,,,,,,,18:10:59.258900
,,,,,,,,,,,18:10:59.468797
,,,,,,,,,,,18:10:59.698883
,,,,,,,,,,,18:10:59.918652
0.00,0.00,6.35,-2.00,33.00,1160.00,150.00,-61.00,-54.00,-26.00,-10.00,18:11:00.158665
0.00,0.00,6.35,-2.00,33.00,1160.00,150.00,-61.00,-54.00,-26.00,-10.00,18:11:00.578922
0.00,0.00,6.35,-2.00,33.00,1160.00,150.00,-61.00,-54.00,-26.00,-10.00,18:11:00.798890
0.00,0.00,6.35,-2.00,33.00,1160.00,150.00,-61.00,-54.00,-26.00,-10.00,18:11:01.009078
0.00,0.00,6.35,-2.00,33.00,1160.00,150.00,-61.00,-54.00,-26.00,-10.00,18:11:01.258452
0.00,0.00,6.35,-2.00,33.00,1160.00,150.00,-61.00,-54.00,-26.00,-10.00,18:11:01.469080
0.00,0.00,6.35,-2.00,33.00,1160.00,150.00,-61.00,-54.00,-26.00,-10.00,18:11:01.688810
0.00,0.00,6.35,-2.00,33.00,1160.00,150.00,-61.00,-54.00,-26.00,-10.00,18:11:01.908870
0.00,0.00,6.35,-2.00,33.00,1160.00,150.00,-61.00,-54.00,-26.00,-10.00,18:11:02.158886
0.00,0.00,6.35,-2.00,33.00,1160.00,150.00,-61.00,-54.00,-26.00,-10.00,18:11:02.378935
0.00,0.00,6.35,-2.00,33.00,1160.00,150.00,-61.00,-54.00,-26.00,-10.00,18:11:02.599505
0.00,0.00,6.35,-2.00,33.00,1170.00,120.00,-61.00,-56.00,-26.00,-10.00,18:11:02.818939
0.00,0.00,6.35,-2.00,33.00,1170.00,120.00,-61.00,-56.00,-26.00,-10.00,18:11:03.260357
0.00,0.00,6.35,-2.00,33.00,1170.00,120.00,-61.00,-56.00,-26.00,-10.00,18:11:03.468677
0.00,0.00,6.35,-2.00,33.00,1170.00,120.00,-61.00,-56.00,-26.00,-10.00,18:11:03.678875
0.00,0.00,6.35,-2.00,33.00,1170.00,120.00,-61.00,-56.00,-26.00,-10.00,18:11:03.901722
0.00,0.00,6.35,-2.00,33.00,1170.00,120.00,-61.00,-56.00,-26.00,-10.00,18:11:04.109010
0.00,0.00,6.35,-2.00,33.00,1170.00,120.00,-61.00,-56.00,-26.00,-10.00,18:11:04.358669
0.00,0.00,6.35,-2.00,33.00,1170.00,120.00,-61.00,-56.00,-26.00,-10.00,18:11:04.579012
0.00,0.00,6.35,-2.00,33.00,1170.00,120.00,-61.00,-56.00,-26.00,-10.00,18:11:04.808994
0.00,0.00,6.35,-2.00,33.00,1170.00,120.00,-61.00,-56.00,-26.00,-10.00,18:11:05.058642
0.00,0.00,6.35,-2.00,33.00,1170.00,120.00,-61.00,-56.00,-26.00,-10.00,18:11:05.279548
0.00,0.00,12.71,-2.00,33.00,1170.00,60.00,-61.00,-54.00,-26.00,-10.00,18:11:05.509670
0.00,0.00,12.71,-2.00,33.00,1170.00,60.00,-61.00,-54.00,-26.00,-10.00,18:11:05.954842
0.00,0.00,12.71,-2.00,33.00,1170.00,60.00,-61.00,-54.00,-26.00,-10.00,18:11:06.169467
0.00,0.00,12.71,-2.00,33.00,1170.00,60.00,-61.00,-54.00,-26.00,-10.00,18:11:06.409104
0.00,0.00,12.71,-2.00,33.00,1170.00,60.00,-61.00,-54.00,-26.00,-10.00,18:11:06.619310
0.00,0.00,12.71,-2.00,33.00,1170.00,60.00,-61.00,-54.00,-26.00,-10.00,18:11:06.859456
0.00,0.00,12.71,-2.00,33.00,1170.00,60.00,-61.00,-54.00,-26.00,-10.00,18:11:07.079320
0.00,0.00,12.71,-2.00,33.00,1170.00,60.00,-61.00,-54.00,-26.00,-10.00,18:11:07.309629
0.00,0.00,12.71,-2.00,33.00,1170.00,60.00,-61.00,-54.00,-26.00,-10.00,18:11:07.559589
0.00,0.00,12.71,-2.00,33.00,1170.00,60.00,-61.00,-54.00,-26.00,-10.00,18:11:07.779621
0.00,0.00,12.71,-2.00,33.00,1170.00,60.00,-61.00,-54.00,-26.00,-10.00,18:11:08.009133
0.00,0.00,12.71,-2.00,33.00,1170.00,240.00,-61.00,-54.00,-26.00,-10.00,18:11:08.219410
0.00,0.00,12.71,-2.00,33.00,1170.00,240.00,-61.00,-54.00,-26.00,-10.00,18:11:08.657981
0.00,0.00,12.71,-2.00,33.00,1170.00,240.00,-61.00,-54.00,-26.00,-10.00,18:11:08.869333
