SUSPENSION_HEIGHT_CUR_1,SUSPENSION_HEIGHT_CUR_2,SUSPENSION_HEIGHT_CUR_3,SUSPENSION_HEIGHT_CUR_4,SUSPENSION_PRESSURE_CUR_1,SUSPENSION_PRESSURE_CUR_2,SUSPENSION_PRESSURE_CUR_3,SUSPENSION_PRESSURE_CUR_4,STEERING_SERVO_CUR_POS_FRONT,STEERING_SERVO_CUR_POS_REAR,STEERING_SERVO_CURRENT_FRONT,STEERING_SERVO_CURRENT_REAR,time
,,,,,,,,,,,,14:39:57.109695
,,,,,,,,,,,,14:39:57.113695
,,,,,,,,,,,,14:39:57.481041
,,,,,,,,,,,,14:39:57.680717
,,,,,,,,,,,,14:39:57.896268
,,,,,,,,,,,,14:39:58.149132
,,,,,,,,,,,,14:39:58.353034
,,,,,,,,,,,,14:39:58.560815
,,,,,,,,,,,,14:39:58.764813
,,,,,,,,,,,,14:39:58.980813
,,,,,,,,,,,,14:39:59.290813
,,,,,,,,,,,,14:39:59.633847
,,,,,,,,,,,,14:39:59.870813
,,,,,,,,,,,,14:40:00.082811
-7.00,-4.00,-2.00,-6.00,1.95,0.99,0.15,2.63,,-14.00,1360.00,1270.00,14:40:00.283813
-7.00,-4.00,-2.00,-6.00,1.95,0.99,0.15,2.63,,-14.00,1360.00,1270.00,14:40:00.490338
-7.00,-4.00,-2.00,-6.00,1.95,0.99,0.15,2.63,,-14.00,1360.00,1270.00,14:40:00.730337
-7.00,-4.00,-2.00,-6.00,1.95,0.99,0.15,2.63,,-14.00,1360.00,1270.00,14:40:00.950336
-7.00,-4.00,-2.00,-6.00,1.95,0.99,0.15,2.63,,-14.00,1360.00,1270.00,14:40:01.160641
-7.00,-4.00,-2.00,-6.00,1.95,0.99,0.15,2.63,,-14.00,1360.00,1270.00,14:40:01.360641
-7.00,-4.00,-2.00,-6.00,1.95,0.99,0.15,2.63,,-14.00,1360.00,1270.00,14:40:01.560642
-7.00,-4.00,-2.00,-6.00,1.95,0.99,0.15,2.63,,-14.00,1360.00,1270.00,14:40:01.760692
-7.00,-4.00,-2.00,-6.00,1.95,0.99,0.15,2.63,,-14.00,1360.00,1270.00,14:40:01.961641
-7.00,-4.00,-2.00,-6.00,1.95,0.99,0.15,2.63,,-14.00,1360.00,1270.00,14:40:02.170641
-7.00,-4.00,-2.00,-6.00,1.95,0.99,0.15,2.63,,-14.00,1360.00,1270.00,14:40:02.391349
-7.00,-4.00,-2.00,-6.00,1.95,0.99,0.15,2.63,,-14.00,1360.00,1270.00,14:40:02.610444
-7.00,-4.00,-1.00,-6.00,1.93,0.98,0.15,2.63,0.00,-14.00,1360.00,1270.00,14:40:02.830444
-7.00,-4.00,-1.00,-6.00,1.93,0.98,0.15,2.63,0.00,-14.00,1360.00,1270.00,14:40:03.030445
-7.00,-4.00,-1.00,-6.00,1.93,0.98,0.15,2.63,0.00,-14.00,1360.00,1270.00,14:40:03.232443
-7.00,-4.00,-1.00,-6.00,1.93,0.98,0.15,2.63,0.00,-14.00,1360.00,1270.00,14:40:03.444443
-7.00,-4.00,-1.00,-6.00,1.93,0.98,0.15,2.63,0.00,-14.00,1360.00,1270.00,14:40:03.650475
-7.00,-4.00,-1.00,-6.00,1.93,0.98,0.15,2.63,0.00,-14.00,1360.00,1270.00,14:40:03.860441
-7.00,-4.00,-1.00,-6.00,1.93,0.98,0.15,2.63,0.00,-14.00,1360.00,1270.00,14:40:04.060440
-7.00,-4.00,-1.00,-6.00,1.93,0.98,0.15,2.63,0.00,-14.00,1360.00,1270.00,14:40:04.270443
-7.00,-4.00,-1.00,-6.00,1.93,0.98,0.15,2.63,0.00,-14.00,1360.00,1270.00,14:40:04.473440
-7.00,-4.00,-1.00,-6.00,1.93,0.98,0.15,2.63,0.00,-14.00,1360.00,1270.00,14:40:04.680440
-7.00,-4.00,-1.00,-6.00,1.93,0.98,0.15,2.63,0.00,-14.00,1360.00,1270.00,14:40:04.988045
-7.00,-4.00,-1.00,-6.00,1.93,0.98,0.15,2.63,0.00,-14.00,1360.00,1270.00,14:40:05.332393
-7.00,-4.00,-1.00,-6.00,1.94,1.00,0.14,2.64,0.00,-14.00,1370.00,1270.00,14:40:05.551393
-7.00,-4.00,-1.00,-6.00,1.94,1.00,0.14,2.64,0.00,-14.00,1370.00,1270.00,14:40:05.771392
-7.00,-4.00,-1.00,-6.00,1.94,1.00,0.14,2.64,0.00,-14.00,1370.00,1270.00,14:40:05.971393
-7.00,-4.00,-1.00,-6.00,1.94,1.00,0.14,2.64,0.00,-14.00,1370.00,1270.00,14:40:06.170523
-7.00,-4.00,-1.00,-6.00,1.94,1.00,0.14,2.64,0.00,-14.00,1370.00,1270.00,14:40:06.370522
-7.00,-4.00,-1.00,-6.00,1.94,1.00,0.14,2.64,0.00,-14.00,1370.00,1270.00,14:40:06.571522
-7.00,-4.00,-1.00,-6.00,1.94,1.00,0.14,2.64,0.00,-14.00,1370.00,1270.00,14:40:06.780522
-7.00,-4.00,-1.00,-6.00,1.94,1.00,0.14,2.64,0.00,-14.00,1370.00,1270.00,14:40:06.990521
-7.00,-4.00,-1.00,-6.00,1.94,1.00,0.14,2.64,0.00,-14.00,1370.00,1270.00,14:40:07.230521
-7.00,-4.00,-1.00,-6.00,1.94,1.00,0.14,2.64,0.00,-14.00,1370.00,1270.00,14:40:07.471521
-7.00,-4.00,-1.00,-6.00,1.94,1.00,0.14,2.64,0.00,-14.00,1370.00,1270.00,14:40:07.673523
-7.00,-4.00,-1.00,-6.00,1.94,1.00,0.14,2.64,0.00,-14.00,1370.00,1270.00,14:40:07.881173
-7.00,-6.00,-1.00,-6.00,1.94,0.99,0.14,2.64,0.00,-14.00,1360.00,1270.00,14:40:08.081147
-7.00,-6.00,-1.00,-6.00,1.94,0.99,0.14,2.64,0.00,-14.00,1360.00,1270.00,14:40:08.290806
-7.00,-6.00,-1.00,-6.00,1.94,0.99,0.14,2.64,0.00,-14.00,1360.00,1270.00,14:40:08.493458
-7.00,-6.00,-1.00,-6.00,1.94,0.99,0.14,2.64,0.00,-14.00,1360.00,1270.00,14:40:08.721692
-7.00,-6.00,-1.00,-6.00,1.94,0.99,0.14,2.64,0.00,-14.00,1360.00,1270.00,14:40:08.941414
-7.00,-6.00,-1.00,-6.00,1.94,0.99,0.14,2.64,0.00,-14.00,1360.00,1270.00,14:40:09.140937
-7.00,-6.00,-1.00,-6.00,1.94,0.99,0.14,2.64,0.00,-14.00,1360.00,1270.00,14:40:09.360738
-7.00,-6.00,-1.00,-6.00,1.94,0.99,0.14,2.64,0.00,-14.00,1360.00,1270.00,14:40:09.572706
-7.00,-6.00,-1.00,-6.00,1.94,0.99,0.14,2.64,0.00,-14.00,1360.00,1270.00,14:40:09.771257
-7.00,-6.00,-1.00,-6.00,1.94,0.99,0.14,2.64,0.00,-14.00,1360.00,1270.00,14:40:09.991459
-7.00,-6.00,-1.00,-6.00,1.94,0.99,0.14,2.64,0.00,-14.00,1360.00,1270.00,14:40:10.231460
-7.00,-6.00,-1.00,-6.00,1.94,0.99,0.14,2.64,0.00,-14.00,1360.00,1270.00,14:40:10.441425
-7.00,-6.00,-1.00,-6.00,1.94,0.99,0.14,2.64,0.00,-14.00,1090.00,1300.00,14:40:10.661459
-7.00,-6.00,-1.00,-6.00,1.94,0.99,0.14,2.64,0.00,-14.00,1090.00,1300.00,14:40:10.871448
-7.00,-6.00,-1.00,-6.00,1.94,0.99,0.14,2.64,0.00,-14.00,1090.00,1300.00,14:40:11.073461
-7.00,-6.00,-1.00,-6.00,1.94,0.99,0.14,2.64,0.00,-14.00,1090.00,1300.00,14:40:11.303459
-7.00,-6.00,-1.00,-6.00,1.94,0.99,0.14,2.64,0.00,-14.00,1090.00,1300.00,14:40:11.532424
-7.00,-6.00,-1.00,-6.00,1.94,0.99,0.14,2.64,0.00,-14.00,1090.00,1300.00,14:40:11.763432
-7.00,-6.00,-1.00,-6.00,1.94,0.99,0.14,2.64,0.00,-14.00,1090.00,1300.00,14:40:11.971423
-7.00,-6.00,-1.00,-6.00,1.94,0.99,0.14,2.64,0.00,-14.00,1090.00,1300.00,14:40:12.171155
-7.00,-6.00,-1.00,-6.00,1.94,0.99,0.14,2.64,0.00,-14.00,1090.00,1300.00,14:40:12.381141
-7.00,-6.00,-1.00,-6.00,1.94,0.99,0.14,2.64,0.00,-14.00,1090.00,1300.00,14:40:12.611140
-7.00,-6.00,-1.00,-6.00,1.94,0.99,0.14,2.64,0.00,-14.00,1090.00,1300.00,14:40:12.831525
-7.00,-6.00,-1.00,-6.00,1.94,0.99,0.14,2.64,0.00,-14.00,1090.00,1300.00,14:40:13.031289
-7.00,-18.00,2.00,5.00,2.15,1.03,0.12,2.74,942.00,958.00,2700.00,2410.00,14:40:13.231548
-7.00,-18.00,2.00,5.00,2.15,1.03,0.12,2.74,942.00,958.00,2700.00,2410.00,14:40:13.431278
-7.00,-18.00,2.00,5.00,2.15,1.03,0.12,2.74,942.00,958.00,2700.00,2410.00,14:40:13.632068
-7.00,-18.00,2.00,5.00,2.15,1.03,0.12,2.74,942.00,958.00,2700.00,2410.00,14:40:13.831395
-7.00,-18.00,2.00,5.00,2.15,1.03,0.12,2.74,942.00,958.00,2700.00,2410.00,14:40:14.041406
-7.00,-18.00,2.00,5.00,2.15,1.03,0.12,2.74,942.00,958.00,2700.00,2410.00,14:40:14.261397
-7.00,-18.00,2.00,5.00,2.15,1.03,0.12,2.74,942.00,958.00,2700.00,2410.00,14:40:14.461397
-7.00,-18.00,2.00,5.00,2.15,1.03,0.12,2.74,942.00,958.00,2700.00,2410.00,14:40:14.665190
-7.00,-18.00,2.00,5.00,2.15,1.03,0.12,2.74,942.00,958.00,2700.00,2410.00,14:40:14.871368
-7.00,-18.00,2.00,5.00,2.15,1.03,0.12,2.74,942.00,958.00,2700.00,2410.00,14:40:15.081719
-7.00,-18.00,2.00,5.00,2.15,1.03,0.12,2.74,942.00,958.00,2700.00,2410.00,14:40:15.343325
-7.00,-18.00,2.00,5.00,2.15,1.03,0.12,2.74,942.00,958.00,2700.00,2410.00,14:40:15.561324
-2.00,3.00,-1.00,-6.00,2.11,1.02,0.12,2.73,997.00,958.00,2810.00,2320.00,14:40:15.771020
-2.00,3.00,-1.00,-6.00,2.11,1.02,0.12,2.73,997.00,958.00,2810.00,2320.00,14:40:15.973577
-2.00,3.00,-1.00,-6.00,2.11,1.02,0.12,2.73,997.00,958.00,2810.00,2320.00,14:40:16.181317
-2.00,3.00,-1.00,-6.00,2.11,1.02,0.12,2.73,997.00,958.00,2810.00,2320.00,14:40:16.381314
-2.00,3.00,-1.00,-6.00,2.11,1.02,0.12,2.73,997.00,958.00,2810.00,2320.00,14:40:16.581206
-2.00,3.00,-1.00,-6.00,2.11,1.02,0.12,2.73,997.00,958.00,2810.00,2320.00,14:40:16.781240
-2.00,3.00,-1.00,-6.00,2.11,1.02,0.12,2.73,997.00,958.00,2810.00,2320.00,14:40:16.991843
-2.00,3.00,-1.00,-6.00,2.11,1.02,0.12,2.73,997.00,958.00,2810.00,2320.00,14:40:17.231283
-2.00,3.00,-1.00,-6.00,2.11,1.02,0.12,2.73,997.00,958.00,2810.00,2320.00,14:40:17.432602
-2.00,3.00,-1.00,-6.00,2.11,1.02,0.12,2.73,997.00,958.00,2810.00,2320.00,14:40:17.633044
-2.00,3.00,-1.00,-6.00,2.11,1.02,0.12,2.73,997.00,958.00,2810.00,2320.00,14:40:17.871472
-2.00,3.00,-1.00,-6.00,2.11,1.02,0.12,2.73,997.00,958.00,2810.00,2320.00,14:40:18.083152
-2.00,3.00,-1.00,-5.00,2.11,1.03,0.12,2.73,1001.00,958.00,2760.00,2320.00,14:40:18.281285
-2.00,3.00,-1.00,-5.00,2.11,1.03,0.12,2.73,1001.00,958.00,2760.00,2320.00,14:40:18.492285
-2.00,3.00,-1.00,-5.00,2.11,1.03,0.12,2.73,1001.00,958.00,2760.00,2320.00,14:40:18.701240
-2.00,3.00,-1.00,-5.00,2.11,1.03,0.12,2.73,1001.00,958.00,2760.00,2320.00,14:40:18.943067
-2.00,3.00,-1.00,-5.00,2.11,1.03,0.12,2.73,1001.00,958.00,2760.00,2320.00,14:40:19.163067
-2.00,3.00,-1.00,-5.00,2.11,1.03,0.12,2.73,1001.00,958.00,2760.00,2320.00,14:40:19.361069
-2.00,3.00,-1.00,-5.00,2.11,1.03,0.12,2.73,1001.00,958.00,2760.00,2320.00,14:40:19.564068
-2.00,3.00,-1.00,-5.00,2.11,1.03,0.12,2.73,1001.00,958.00,2760.00,2320.00,14:40:19.781066
-2.00,3.00,-1.00,-5.00,2.11,1.03,0.12,2.73,1001.00,958.00,2760.00,2320.00,14:40:19.981066
-2.00,3.00,-1.00,-5.00,2.11,1.03,0.12,2.73,1001.00,958.00,2760.00,2320.00,14:40:20.181164
-2.00,3.00,-1.00,-5.00,2.11,1.03,0.12,2.73,1001.00,958.00,2760.00,2320.00,14:40:20.441998
-2.00,3.00,-1.00,-5.00,2.11,1.03,0.12,2.73,1001.00,958.00,2760.00,2320.00,14:40:20.651076
-2.00,3.00,-1.00,-6.00,2.11,1.03,0.12,2.73,1000.00,958.00,2480.00,2320.00,14:40:20.861069
-2.00,3.00,-1.00,-6.00,2.11,1.03,0.12,2.73,1000.00,958.00,2480.00,2320.00,14:40:21.061122
-2.00,3.00,-1.00,-6.00,2.11,1.03,0.12,2.73,1000.00,958.00,2480.00,2320.00,14:40:21.261458
-2.00,3.00,-1.00,-6.00,2.11,1.03,0.12,2.73,1000.00,958.00,2480.00,2320.00,14:40:21.461934
-2.00,3.00,-1.00,-6.00,2.11,1.03,0.12,2.73,1000.00,958.00,2480.00,2320.00,14:40:21.664759
-2.00,3.00,-1.00,-6.00,2.11,1.03,0.12,2.73,1000.00,958.00,2480.00,2320.00,14:40:21.861401
-2.00,3.00,-1.00,-6.00,2.11,1.03,0.12,2.73,1000.00,958.00,2480.00,2320.00,14:40:22.061978
-2.00,3.00,-1.00,-6.00,2.11,1.03,0.12,2.73,1000.00,958.00,2480.00,2320.00,14:40:22.261170
-2.00,3.00,-1.00,-6.00,2.11,1.03,0.12,2.73,1000.00,958.00,2480.00,2320.00,14:40:22.461314
-2.00,3.00,-1.00,-6.00,2.11,1.03,0.12,2.73,1000.00,958.00,2480.00,2320.00,14:40:22.664998
-2.00,3.00,-1.00,-6.00,2.11,1.03,0.12,2.73,1000.00,958.00,2480.00,2320.00,14:40:22.871542
-2.00,3.00,-1.00,-5.00,2.10,1.02,0.12,2.72,1000.00,958.00,2540.00,2320.00,14:40:23.093593
-2.00,3.00,-1.00,-5.00,2.10,1.02,0.12,2.72,1000.00,958.00,2540.00,2320.00,14:40:23.331908
-2.00,3.00,-1.00,-5.00,2.10,1.02,0.12,2.72,1000.00,958.00,2540.00,2320.00,14:40:23.531909
-2.00,3.00,-1.00,-5.00,2.10,1.02,0.12,2.72,1000.00,958.00,2540.00,2320.00,14:40:23.741454
-2.00,3.00,-1.00,-5.00,2.10,1.02,0.12,2.72,1000.00,958.00,2540.00,2320.00,14:40:23.951124
-2.00,3.00,-1.00,-5.00,2.10,1.02,0.12,2.72,1000.00,958.00,2540.00,2320.00,14:40:24.151964
-2.00,3.00,-1.00,-5.00,2.10,1.02,0.12,2.72,1000.00,958.00,2540.00,2320.00,14:40:24.361958
-2.00,3.00,-1.00,-5.00,2.10,1.02,0.12,2.72,1000.00,958.00,2540.00,2320.00,14:40:24.561163
-2.00,3.00,-1.00,-5.00,2.10,1.02,0.12,2.72,1000.00,958.00,2540.00,2320.00,14:40:24.761984
-2.00,3.00,-1.00,-5.00,2.10,1.02,0.12,2.72,1000.00,958.00,2540.00,2320.00,14:40:24.971880
-2.00,3.00,-1.00,-5.00,2.10,1.02,0.12,2.72,1000.00,958.00,2540.00,2320.00,14:40:25.171261
-2.00,3.00,-1.00,-5.00,2.10,1.02,0.12,2.72,1000.00,958.00,2540.00,2320.00,14:40:25.371672
-2.00,3.00,-1.00,-5.00,2.10,1.02,0.12,2.72,1000.00,958.00,2540.00,2320.00,14:40:25.584320
-2.00,3.00,-1.00,-6.00,2.09,1.01,0.13,2.72,1000.00,958.00,2540.00,2130.00,14:40:25.798602
-2.00,3.00,-1.00,-6.00,2.09,1.01,0.13,2.72,1000.00,958.00,2540.00,2130.00,14:40:26.031407
-2.00,3.00,-1.00,-6.00,2.09,1.01,0.13,2.72,1000.00,958.00,2540.00,2130.00,14:40:26.244565
-2.00,3.00,-1.00,-6.00,2.09,1.01,0.13,2.72,1000.00,958.00,2540.00,2130.00,14:40:26.454775
-2.00,3.00,-1.00,-6.00,2.09,1.01,0.13,2.72,1000.00,958.00,2540.00,2130.00,14:40:26.653771
