PSTED_TORQUE,PSTED_MOTOR_SPEED,PSTED_CURRENT,PSTED_VOLTAGE,PSTED_MOTOR_TEMP,PSTED_INV_RADIATOR_TEMP,PSTED_OUT_BMS_VOLTAGE,SYSTEM_24V_VOLTAGE,STEERING_SERVO_CUR_POS_FRONT,STEERING_SERVO_CUR_POS_REAR,time
0.00,0.00,0.00,343.06,65.00,17.00,287.93,24.48,2.00,-40.00,18:19:40.701140
0.00,0.00,0.00,343.06,65.00,17.00,287.93,24.48,2.00,-40.00,18:19:40.703134
0.00,0.00,0.00,343.06,59.00,17.00,315.85,24.48,2.00,-40.00,18:19:41.558246
0.00,0.00,0.00,343.06,59.00,17.00,315.85,24.48,2.00,-40.00,18:19:42.062784
0.00,0.00,0.00,343.06,59.00,17.00,315.85,3.51,24475.00,2.00,18:19:42.761403
0.00,0.00,0.00,343.06,59.00,17.00,315.85,24.48,2.00,-40.00,18:19:43.439926
0.00,0.00,0.00,343.06,59.00,17.00,315.85,24.47,2.00,-40.00,18:19:44.214275
0.00,0.00,0.00,343.06,59.00,17.00,315.85,24.47,2.00,-40.00,18:19:44.848897
0.00,0.00,5.12,343.06,59.00,17.00,315.85,24.47,2.00,-40.00,18:19:45.558875
3.00,0.00,10.24,343.06,59.00,17.00,315.85,24.48,2.00,-40.00,18:19:46.223777
8.00,0.00,15.35,343.06,60.00,17.00,314.10,24.48,24469.00,2.00,18:19:46.994509
8.00,0.00,15.35,343.06,60.00,17.00,314.10,24.48,24469.00,2.00,18:19:47.538951
10.00,0.00,20.47,343.06,60.00,100.00,29.67,3.51,24477.00,2.00,18:19:48.160898
11.00,0.00,20.47,343.06,60.00,17.00,314.10,3.51,24468.00,2.00,18:19:48.843042
16.00,0.00,30.71,343.06,14.00,100.00,29.67,3.51,24475.00,2.00,18:19:49.584230
16.00,0.00,30.71,343.06,14.00,100.00,29.67,3.51,24475.00,2.00,18:19:50.068614
16.00,0.00,30.71,343.06,60.00,100.00,29.67,3.51,24477.00,2.00,18:19:50.640557
16.00,0.00,30.71,343.06,14.00,100.00,29.67,3.51,24478.00,2.00,18:19:51.244191
16.00,0.00,30.71,343.06,14.00,100.00,29.67,3.51,24466.00,2.00,18:19:51.846045
19.00,0.00,35.83,343.06,14.00,99.00,29.67,3.51,24466.00,2.00,18:19:52.584742
19.00,0.00,35.83,343.06,14.00,99.00,29.67,3.51,24466.00,2.00,18:19:53.071655
20.00,0.00,40.94,343.06,59.00,17.00,29.67,3.51,24480.00,2.00,18:19:53.678875
22.00,0.00,40.94,50.82,14.00,99.00,29.67,3.51,24468.00,2.00,18:19:54.435115
25.00,0.00,46.06,343.06,58.00,17.00,314.10,24.48,2.00,-40.00,18:19:55.265082
25.00,0.00,46.06,343.06,58.00,17.00,314.10,24.48,2.00,-40.00,18:19:55.839789
29.00,0.00,56.30,343.06,58.00,17.00,314.10,24.48,24469.00,2.00,18:19:56.444774
29.00,0.00,56.30,343.06,58.00,98.00,29.67,3.51,24466.00,2.00,18:19:57.047040
30.00,0.00,56.30,69.88,14.00,98.00,29.67,3.51,24466.00,2.00,18:19:57.869913
30.00,0.00,56.30,69.88,14.00,98.00,29.67,3.51,24466.00,2.00,18:19:58.352297
31.00,0.00,61.42,69.88,14.00,98.00,29.67,3.51,24480.00,2.00,18:19:58.954430
31.00,0.00,61.42,343.06,58.00,17.00,29.67,3.51,24468.00,2.00,18:19:59.544402
33.00,0.00,61.42,343.06,14.00,98.00,29.67,3.51,24480.00,2.00,18:20:00.151738
34.00,0.00,66.54,343.06,14.00,98.00,29.67,3.51,24481.00,2.00,18:20:00.875294
34.00,0.00,66.54,343.06,14.00,98.00,29.67,3.51,24481.00,2.00,18:20:01.374498
36.00,0.00,66.54,343.06,58.00,98.00,29.67,3.51,24478.00,2.00,18:20:02.041472
36.00,0.00,66.54,343.06,58.00,17.00,314.10,24.46,2.00,-40.00,18:20:02.676282
36.00,0.00,66.54,343.06,58.00,17.00,314.10,24.48,2.00,-40.00,18:20:03.484556
36.00,0.00,66.54,343.06,58.00,17.00,314.10,24.48,2.00,-40.00,18:20:04.050371
37.00,0.00,71.65,343.06,57.00,17.00,314.10,24.47,2.00,-41.00,18:20:04.742880
37.00,1077.43,56.30,343.06,58.00,17.00,314.10,24.46,2.00,-36.00,18:20:05.393239
37.00,3448.59,35.83,343.06,57.00,17.00,314.10,24.47,2.00,-36.00,18:20:06.265558
37.00,3448.59,35.83,343.06,57.00,17.00,314.10,24.47,2.00,-36.00,18:20:06.738809
37.00,3875.85,20.47,343.06,51.00,17.00,219.87,24.46,2.00,-36.00,18:20:07.376815
37.00,3995.48,15.35,343.06,51.00,17.00,219.87,24.48,2.00,-36.00,18:20:08.040712
37.00,4109.01,15.35,343.06,46.00,17.00,219.87,24.47,2.00,-36.00,18:20:08.865151
37.00,4109.01,15.35,343.06,46.00,17.00,219.87,24.47,2.00,-36.00,18:20:09.442420
37.00,4133.92,15.35,343.06,46.00,17.00,219.87,24.46,2.00,-36.00,18:20:10.075162
37.00,4166.14,15.35,343.06,42.00,17.00,219.87,24.46,2.00,-36.00,18:20:10.724008
39.00,4192.27,20.47,336.71,41.00,17.00,219.87,24.47,2.00,-36.00,18:20:11.508041
39.00,4192.27,20.47,336.71,41.00,17.00,219.87,24.47,2.00,-36.00,18:20:12.052484
41.00,4292.61,20.47,336.71,39.00,17.00,219.87,24.47,2.00,-36.00,18:20:12.747822
41.00,4399.79,20.47,336.71,39.00,17.00,223.36,24.46,2.00,-36.00,18:20:13.418644
