Напряжение ЗПТ,Потребляемый ток,Ток обмотки возбуждения,Ток статора,Ток фазы А,Ток фазы В,Ток фазы С,Ток Id,Ток Iq,Температура фазы А,Температура фазы В,Температура фазы С,Температура воздуха,Температура статора,Температура ОВ,Gamma,Скорость мотора,Момент,Мощность механическая,Мощность электрическая,time
,,,,,,,,,,,,,,,,,,,,19:00:10.728057
,,,,,,,,,,,,,,,,,,,,19:00:10.843609
,,,,,,,,,,,,,,,,,,,,19:00:10.911460
,,,,,,,,,,,,,,,,,,,,19:00:10.929600
,,,,,,,,,,,,,,,,,,,,19:00:10.940814
,,,,,,,,,,,,,,,,,,,,19:00:10.951202
,,,,,,,,,,,,,,,,,,,,19:00:10.961229
,,,,,,,,,,,,,,,,,,,,19:00:10.971016
,,,,,,,,,,,,,,,,,,,,19:00:10.977287
,,,,,,,,,,,,,,,,,,,,19:00:10.983544
,,,,,,,,,,,,,,,,,,,,19:00:10.989301
,,,,,,,,,,,,,,,,,,,,19:00:10.994850
,,,,,,,,,,,,,,,,,,,,19:00:10.999905
,,,,,,,,,,,,,,,,,,,,19:00:11.005126
,,,,,,,,,,,,,,,,,,,,19:00:11.009980
,,,,,,,,,,,,,,,,,,,,19:00:11.019357
,,,,,,,,,,,,,,,,,,,,19:00:11.026884
,,,,,,,,,,,,,,,,,,,,19:00:11.033514
,,,,,,,,,,,,,,,,,,,,19:00:11.038717
,,,,,,,,,,,,,,,,,,,,19:00:11.044389
,,,,,,,,,,,,,,,,,,,,19:00:11.050237
24.42,-0.0270166,0.000125408,0,-4.62532e-05,0.711487,0.368503,0,0,0,0,0,23.7547,36.4495,33.5173,0,0,0,0,0,19:00:11.056559
24.42,-0.0270166,0.000125408,0,-4.62532e-05,0.711487,0.368503,0,0,0,0,0,23.7547,36.4495,33.5173,0,0,0,0,0,19:00:11.063584
24.42,-0.0270166,0.000125408,0,-4.62532e-05,0.711487,0.368503,0,0,0,0,0,23.7547,36.4495,33.5173,0,0,0,0,0,19:00:11.068584
24.42,-0.0270166,0.000125408,0,-4.62532e-05,0.711487,0.368503,0,0,0,0,0,23.7547,36.4495,33.5173,0,0,0,0,0,19:00:11.074845
24.42,-0.0270166,0.000125408,0,-4.62532e-05,0.711487,0.368503,0,0,0,0,0,23.7547,36.4495,33.5173,0,0,0,0,0,19:00:11.080707
24.42,-0.0270166,0.000125408,0,-4.62532e-05,0.711487,0.368503,0,0,0,0,0,23.7547,36.4495,33.5173,0,0,0,0,0,19:00:11.085864
24.42,-0.0270166,0.000125408,0,-4.62532e-05,0.711487,0.368503,0,0,0,0,0,23.7547,36.4495,33.5173,0,0,0,0,0,19:00:11.089977
24.42,-0.0270166,0.000125408,0,-4.62532e-05,0.711487,0.368503,0,0,0,0,0,23.7547,36.4495,33.5173,0,0,0,0,0,19:00:11.096123
24.42,-0.0270166,0.000125408,0,-4.62532e-05,0.711487,0.368503,0,0,0,0,0,23.7547,36.4495,33.5173,0,0,0,0,0,19:00:11.101159
24.42,-0.0270166,0.000125408,0,-4.62532e-05,0.711487,0.368503,0,0,0,0,0,23.7547,36.4495,33.5173,0,0,0,0,0,19:00:11.106158
24.42,-0.0270166,0.000125408,0,-4.62532e-05,0.711487,0.368503,0,0,0,0,0,23.7547,36.4495,33.5173,0,0,0,0,0,19:00:11.111231
24.42,-0.0270166,0.000125408,0,-4.62532e-05,0.711487,0.368503,0,0,0,0,0,23.7547,36.4495,33.5173,0,0,0,0,0,19:00:11.119389
24.42,-0.0270166,0.000125408,0,-4.62532e-05,0.711487,0.368503,0,0,0,0,0,23.7547,36.4495,33.5173,0,0,0,0,0,19:00:11.125780
24.42,-0.0270166,0.000125408,0,-4.62532e-05,0.711487,0.368503,0,0,0,0,0,23.7547,36.4495,33.5173,0,0,0,0,0,19:00:11.133489
24.42,-0.0270166,0.000125408,0,-4.62532e-05,0.711487,0.368503,0,0,0,0,0,23.7547,36.4495,33.5173,0,0,0,0,0,19:00:11.138490
24.42,-0.0270166,0.000125408,0,-4.62532e-05,0.711487,0.368503,0,0,0,0,0,23.7547,36.4495,33.5173,0,0,0,0,0,19:00:11.144305
24.42,-0.0270166,0.000125408,0,-4.62532e-05,0.711487,0.368503,0,0,0,0,0,23.7547,36.4495,33.5173,0,0,0,0,0,19:00:11.150520
24.42,-0.0270166,0.000125408,0,-4.62532e-05,0.711487,0.368503,0,0,0,0,0,23.7547,36.4495,33.5173,0,0,0,0,0,19:00:11.156483
24.42,-0.0270166,0.000125408,0,-4.62532e-05,0.711487,0.368503,0,0,0,0,0,23.7547,36.4495,33.5173,0,0,0,0,0,19:00:11.163058
24.42,-0.0270166,0.000125408,0,-4.62532e-05,0.711487,0.368503,0,0,0,0,0,23.7547,36.4495,33.5173,0,0,0,0,0,19:00:11.168771
8.3028,-0.0270166,0.000125408,0,-4.62532e-05,0.235291,-0.107694,0,0,0,0,0,23.7547,36.4483,33.5203,0,0,0,0,0,19:00:11.173669
8.3028,-0.0270166,0.000125408,0,-4.62532e-05,0.235291,-0.107694,0,0,0,0,0,23.7547,36.4483,33.5203,0,0,0,0,0,19:00:11.179930
8.3028,-0.0270166,0.000125408,0,-4.62532e-05,0.235291,-0.107694,0,0,0,0,0,23.7547,36.4483,33.5203,0,0,0,0,0,19:00:11.184921
8.3028,-0.0270166,0.000125408,0,-4.62532e-05,0.235291,-0.107694,0,0,0,0,0,23.7547,36.4483,33.5203,0,0,0,0,0,19:00:11.190140
8.3028,-0.0270166,0.000125408,0,-4.62532e-05,0.235291,-0.107694,0,0,0,0,0,23.7547,36.4483,33.5203,0,0,0,0,0,19:00:11.195582
8.3028,-0.0270166,0.000125408,0,-4.62532e-05,0.235291,-0.107694,0,0,0,0,0,23.7547,36.4483,33.5203,0,0,0,0,0,19:00:11.201339
8.3028,-0.0270166,0.000125408,0,-4.62532e-05,0.235291,-0.107694,0,0,0,0,0,23.7547,36.4483,33.5203,0,0,0,0,0,19:00:11.206774
8.3028,-0.0270166,0.000125408,0,-4.62532e-05,0.235291,-0.107694,0,0,0,0,0,23.7547,36.4483,33.5203,0,0,0,0,0,19:00:11.213182
8.3028,-0.0270166,0.000125408,0,-4.62532e-05,0.235291,-0.107694,0,0,0,0,0,23.7547,36.4483,33.5203,0,0,0,0,0,19:00:11.219897
8.3028,-0.0270166,0.000125408,0,-4.62532e-05,0.235291,-0.107694,0,0,0,0,0,23.7547,36.4483,33.5203,0,0,0,0,0,19:00:11.225972
8.3028,-0.0270166,0.000125408,0,-4.62532e-05,0.235291,-0.107694,0,0,0,0,0,23.7547,36.4483,33.5203,0,0,0,0,0,19:00:11.233127
8.3028,-0.0270166,0.000125408,0,-4.62532e-05,0.235291,-0.107694,0,0,0,0,0,23.7547,36.4483,33.5203,0,0,0,0,0,19:00:11.237632
8.3028,-0.0270166,0.000125408,0,-4.62532e-05,0.235291,-0.107694,0,0,0,0,0,23.7547,36.4483,33.5203,0,0,0,0,0,19:00:11.243440
8.3028,-0.0270166,0.000125408,0,-4.62532e-05,0.235291,-0.107694,0,0,0,0,0,23.7547,36.4483,33.5203,0,0,0,0,0,19:00:11.248452
8.3028,-0.0270166,0.000125408,0,-4.62532e-05,0.235291,-0.107694,0,0,0,0,0,23.7547,36.4483,33.5203,0,0,0,0,0,19:00:11.253529
8.3028,-0.0270166,0.000125408,0,-4.62532e-05,0.235291,-0.107694,0,0,0,0,0,23.7547,36.4483,33.5203,0,0,0,0,0,19:00:11.259409
8.3028,-0.0270166,0.000125408,0,-4.62532e-05,0.235291,-0.107694,0,0,0,0,0,23.7547,36.4483,33.5203,0,0,0,0,0,19:00:11.264690
8.3028,-0.0270166,0.000125408,0,-4.62532e-05,0.235291,-0.107694,0,0,0,0,0,23.7547,36.4483,33.5203,0,0,0,0,0,19:00:11.270418
8.3028,-0.0270166,0.000125408,0,-4.62532e-05,0.235291,-0.107694,0,0,0,0,0,23.7547,36.4483,33.5203,0,0,0,0,0,19:00:11.275935
8.3028,-0.0270166,0.000125408,0,-4.62532e-05,0.235291,-0.107694,0,0,0,0,0,23.7547,36.4483,33.5203,0,0,0,0,0,19:00:11.281087
