SUSPENSION_HEIGHT_CUR_1,SUSPENSION_HEIGHT_CUR_2,SUSPENSION_HEIGHT_CUR_3,SUSPENSION_HEIGHT_CUR_4,SUSPENSION_PRESSURE_CUR_1,SUSPENSION_PRESSURE_CUR_2,SUSPENSION_PRESSURE_CUR_3,SUSPENSION_PRESSURE_CUR_4,time
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:42.606281
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:42.806272
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:43.005205
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:43.205920
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:43.419261
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:43.646151
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:43.876174
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:44.078393
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:44.295875
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:44.495806
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:44.716086
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:44.916751
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:45.126094
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:45.326318
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:45.526199
-39.00,-40.00,-75.00,-68.00,1.20,1.33,0.69,0.76,18:05:45.739390
-39.00,-40.00,-75.00,-68.00,1.20,1.33,0.69,0.76,18:05:45.976317
-39.00,-40.00,-75.00,-68.00,1.20,1.33,0.69,0.76,18:05:46.175698
-39.00,-40.00,-75.00,-68.00,1.20,1.33,0.69,0.76,18:05:46.375868
-39.00,-40.00,-75.00,-68.00,1.20,1.33,0.69,0.76,18:05:46.579132
-39.00,-40.00,-75.00,-68.00,1.20,1.33,0.69,0.76,18:05:46.786134
-39.00,-40.00,-75.00,-68.00,1.20,1.33,0.69,0.76,18:05:46.985681
-39.00,-40.00,-75.00,-68.00,1.20,1.33,0.69,0.76,18:05:47.185678
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:47.397866
-39.00,-40.00,-75.00,-68.00,1.20,1.32,0.69,0.75,18:05:47.605618
