PSTED_MOTOR_SPEED,PSTED_CURRENT,PSTED_VOLTAGE,STEERING_SERVO_CUR_POS_FRONT,STEERING_SERVO_CUR_POS_REAR,STEERING_SERVO_CURRENT_FRONT,STEERING_SERVO_CURRENT_REAR,SUSPENSION_HEIGHT_CUR_1,SUSPENSION_HEIGHT_CUR_2,SUSPENSION_HEIGHT_CUR_3,SUSPENSION_HEIGHT_CUR_4,time
0.00,0.00,19.06,-2.00,33.00,1160.00,90.00,-62.00,-54.00,-26.00,-10.00,18:22:10.263421
0.00,0.00,19.06,-2.00,33.00,1160.00,90.00,-62.00,-54.00,-26.00,-10.00,18:22:10.391840
0.00,0.00,19.06,-2.00,33.00,1160.00,90.00,-62.00,-54.00,-26.00,-10.00,18:22:10.612176
0.00,0.00,19.06,-2.00,33.00,1160.00,90.00,-62.00,-54.00,-26.00,-10.00,18:22:10.842746
0.00,0.00,19.06,-2.00,33.00,1160.00,90.00,-62.00,-54.00,-26.00,-10.00,18:22:11.081503
0.00,0.00,19.06,-2.00,33.00,1160.00,90.00,-62.00,-54.00,-26.00,-10.00,18:22:11.291842
0.00,0.00,19.06,-2.00,33.00,1160.00,90.00,-62.00,-54.00,-26.00,-10.00,18:22:11.513165
0.00,0.00,19.06,-2.00,33.00,1160.00,90.00,-62.00,-54.00,-26.00,-10.00,18:22:11.731908
0.00,0.00,19.06,-2.00,33.00,1160.00,90.00,-62.00,-54.00,-26.00,-10.00,18:22:11.952977
0.00,0.00,19.06,-2.00,33.00,1160.00,90.00,-62.00,-54.00,-26.00,-10.00,18:22:12.181515
0.00,0.00,19.06,-2.00,33.00,1160.00,90.00,-62.00,-54.00,-26.00,-10.00,18:22:12.401993
0.00,0.00,19.06,-2.00,33.00,1160.00,90.00,-62.00,-54.00,-26.00,-10.00,18:22:12.631501
0.00,0.00,25.41,-2.00,33.00,1210.00,190.00,-62.00,-54.00,-26.00,-8.00,18:22:12.854427
0.00,0.00,25.41,-2.00,33.00,1210.00,190.00,-62.00,-54.00,-26.00,-8.00,18:22:13.081938
0.00,0.00,25.41,-2.00,33.00,1210.00,190.00,-62.00,-54.00,-26.00,-8.00,18:22:13.302156
0.00,0.00,25.41,-2.00,33.00,1210.00,190.00,-62.00,-54.00,-26.00,-8.00,18:22:13.531759
0.00,0.00,25.41,-2.00,33.00,1210.00,190.00,-62.00,-54.00,-26.00,-8.00,18:22:13.744478
0.00,0.00,25.41,-2.00,33.00,1210.00,190.00,-62.00,-54.00,-26.00,-8.00,18:22:13.981714
0.00,0.00,25.41,-2.00,33.00,1210.00,190.00,-62.00,-54.00,-26.00,-8.00,18:22:14.191981
0.00,0.00,25.41,-2.00,33.00,1210.00,190.00,-62.00,-54.00,-26.00,-8.00,18:22:14.412343
0.00,0.00,25.41,-2.00,33.00,1210.00,190.00,-62.00,-54.00,-26.00,-8.00,18:22:14.632042
0.00,0.00,25.41,-2.00,33.00,1210.00,190.00,-62.00,-54.00,-26.00,-8.00,18:22:14.841852
0.00,0.00,25.41,-2.00,33.00,1210.00,190.00,-62.00,-54.00,-26.00,-8.00,18:22:15.092211
0.00,0.00,19.06,-2.00,33.00,1210.00,150.00,-62.00,-54.00,-26.00,-10.00,18:22:15.312253
0.00,0.00,19.06,-2.00,33.00,1210.00,150.00,-62.00,-54.00,-26.00,-10.00,18:22:15.531925
0.00,0.00,19.06,-2.00,33.00,1210.00,150.00,-62.00,-54.00,-26.00,-10.00,18:22:15.756890
0.00,0.00,19.06,-2.00,33.00,1210.00,150.00,-62.00,-54.00,-26.00,-10.00,18:22:15.982199
0.00,0.00,19.06,-2.00,33.00,1210.00,150.00,-62.00,-54.00,-26.00,-10.00,18:22:16.201967
0.00,0.00,19.06,-2.00,33.00,1210.00,150.00,-62.00,-54.00,-26.00,-10.00,18:22:16.432051
0.00,0.00,19.06,-2.00,33.00,1210.00,150.00,-62.00,-54.00,-26.00,-10.00,18:22:16.655703
0.00,0.00,19.06,-2.00,33.00,1210.00,150.00,-62.00,-54.00,-26.00,-10.00,18:22:16.882019
0.00,0.00,19.06,-2.00,33.00,1210.00,150.00,-62.00,-54.00,-26.00,-10.00,18:22:17.091899
0.00,0.00,19.06,-2.00,33.00,1210.00,150.00,-62.00,-54.00,-26.00,-10.00,18:22:17.311997
0.00,0.00,19.06,-2.00,33.00,1210.00,150.00,-62.00,-54.00,-26.00,-10.00,18:22:17.542159
0.00,0.00,6.35,-2.00,33.00,1210.00,90.00,-62.00,-54.00,-26.00,-10.00,18:22:17.801673
0.00,0.00,6.35,-2.00,33.00,1210.00,90.00,-62.00,-54.00,-26.00,-10.00,18:22:18.012280
0.00,0.00,6.35,-2.00,33.00,1210.00,90.00,-62.00,-54.00,-26.00,-10.00,18:22:18.243799
0.00,0.00,6.35,-2.00,33.00,1210.00,90.00,-62.00,-54.00,-26.00,-10.00,18:22:18.454692
0.00,0.00,6.35,-2.00,33.00,1210.00,90.00,-62.00,-54.00,-26.00,-10.00,18:22:18.692105
0.00,0.00,6.35,-2.00,33.00,1210.00,90.00,-62.00,-54.00,-26.00,-10.00,18:22:18.902176
0.00,0.00,6.35,-2.00,33.00,1210.00,90.00,-62.00,-54.00,-26.00,-10.00,18:22:19.122169
0.00,0.00,6.35,-2.00,33.00,1210.00,90.00,-62.00,-54.00,-26.00,-10.00,18:22:19.342262
0.00,0.00,6.35,-2.00,33.00,1210.00,90.00,-62.00,-54.00,-26.00,-10.00,18:22:19.585181
0.00,0.00,6.35,-2.00,33.00,1210.00,90.00,-62.00,-54.00,-26.00,-10.00,18:22:19.802288
0.00,0.00,6.35,-2.00,33.00,1210.00,90.00,-62.00,-54.00,-26.00,-10.00,18:22:20.012444
0.00,0.00,12.71,-2.00,33.00,1180.00,300.00,-62.00,-54.00,-26.00,-10.00,18:22:20.242290
0.00,0.00,12.71,-2.00,33.00,1180.00,300.00,-62.00,-54.00,-26.00,-10.00,18:22:20.455701
0.00,0.00,12.71,-2.00,33.00,1180.00,300.00,-62.00,-54.00,-26.00,-10.00,18:22:20.681935
0.00,0.00,12.71,-2.00,33.00,1180.00,300.00,-62.00,-54.00,-26.00,-10.00,18:22:20.902512
0.00,0.00,12.71,-2.00,33.00,1180.00,300.00,-62.00,-54.00,-26.00,-10.00,18:22:21.122511
0.00,0.00,12.71,-2.00,33.00,1180.00,300.00,-62.00,-54.00,-26.00,-10.00,18:22:21.342458
0.00,0.00,12.71,-2.00,33.00,1180.00,300.00,-62.00,-54.00,-26.00,-10.00,18:22:21.553649
0.00,0.00,12.71,-2.00,33.00,1180.00,300.00,-62.00,-54.00,-26.00,-10.00,18:22:21.801969
0.00,0.00,12.71,-2.00,33.00,1180.00,300.00,-62.00,-54.00,-26.00,-10.00,18:22:22.022439
0.00,0.00,12.71,-2.00,33.00,1180.00,300.00,-62.00,-54.00,-26.00,-10.00,18:22:22.242478
0.00,0.00,12.71,-2.00,33.00,1180.00,300.00,-62.00,-54.00,-26.00,-10.00,18:22:22.454700
0.00,0.00,6.35,-2.00,33.00,1210.00,250.00,-62.00,-54.00,-26.00,-10.00,18:22:22.682605
0.00,0.00,6.35,-2.00,33.00,1210.00,250.00,-62.00,-54.00,-26.00,-10.00,18:22:22.903378
0.00,0.00,6.35,-2.00,33.00,1210.00,250.00,-62.00,-54.00,-26.00,-10.00,18:22:23.132446
0.00,0.00,6.35,-2.00,33.00,1210.00,250.00,-62.00,-54.00,-26.00,-10.00,18:22:23.342481
0.00,0.00,6.35,-2.00,33.00,1210.00,250.00,-62.00,-54.00,-26.00,-10.00,18:22:23.582285
0.00,0.00,6.35,-2.00,33.00,1210.00,250.00,-62.00,-54.00,-26.00,-10.00,18:22:23.802231
0.00,0.00,6.35,-2.00,33.00,1210.00,250.00,-62.00,-54.00,-26.00,-10.00,18:22:24.012225
