PSTED_TORQUE,PSTED_MOTOR_SPEED,PSTED_CURRENT,PSTED_VOLTAGE,PSTED_MOTOR_TEMP,PSTED_INV_RADIATOR_TEMP,PSTED_OUT_BMS_VOLTAGE,SYSTEM_24V_VOLTAGE,STEERING_SERVO_CUR_POS_FRONT,STEERING_SERVO_CUR_POS_REAR,time
0.00,0.00,0.00,349.41,37.00,17.00,343.77,24.25,1.00,-32.00,16:11:07.400994
0.00,0.00,0.00,349.41,37.00,17.00,343.77,24.25,1.00,-32.00,16:11:07.953923
0.00,0.00,0.00,349.41,32.00,17.00,382.16,24.46,1.00,-32.00,16:11:08.817379
0.00,0.00,0.00,349.41,32.00,17.00,382.16,24.46,1.00,-32.00,16:11:09.289436
0.00,0.00,0.00,349.41,32.00,17.00,382.16,24.46,1.00,-32.00,16:11:10.003983
0.00,0.00,0.00,349.41,32.00,17.00,382.16,24.46,1.00,-32.00,16:11:10.673770
0.00,0.00,0.00,349.41,32.00,17.00,382.16,24.46,1.00,-32.00,16:11:11.506516
0.00,0.00,0.00,349.41,32.00,17.00,382.16,24.46,1.00,-32.00,16:11:12.044431
0.00,0.00,0.00,349.41,32.00,17.00,382.16,24.47,1.00,-32.00,16:11:12.739389
0.00,0.00,0.00,349.41,32.00,17.00,382.16,24.48,1.00,-32.00,16:11:13.442803
1.00,0.00,5.12,349.41,32.00,17.00,382.16,24.46,1.00,-32.00,16:11:14.227634
1.00,0.00,5.12,349.41,32.00,17.00,382.16,24.46,1.00,-32.00,16:11:14.796315
3.00,0.00,10.24,349.41,33.00,17.00,382.16,24.46,1.00,-32.00,16:11:15.452368
6.00,0.00,15.35,349.41,33.00,17.00,380.41,24.46,1.00,-32.00,16:11:16.108370
12.00,0.00,0.00,31.76,15.00,74.00,29.67,3.55,24462.00,1.00,16:11:16.877220
12.00,0.00,0.00,31.76,15.00,74.00,29.67,3.55,24462.00,1.00,16:11:17.445340
16.00,0.00,30.71,349.41,34.00,17.00,380.41,24.46,1.00,-32.00,16:11:18.081444
18.00,0.00,35.83,349.41,34.00,17.00,380.41,24.45,1.00,-32.00,16:11:18.799258
27.00,0.00,51.18,349.41,33.00,17.00,375.18,24.46,1.00,-32.00,16:11:19.577010
