ABS_FAILURE_COUNT_THRESHOLD,ABS_FILTER_FACTOR,ABS_MOTOR_MIN_SPEED_THRESHOLD,ABS_SENSOR_MAPPING_FL,ABS_SENSOR_MAPPING_FR,ABS_SENSOR_MAPPING_RL,ABS_SENSOR_MAPPING_RR,ABS_WARNING_COUNT_THRESHOLD,ABS_WHEEL_DIAMETER,ABS_WHEEL_MIN_SPEED_THRESHOLD,ABS_WHEEL_TICK_COUNT,time
,,,,,,,,,,,14:41:14.465885
,,,,,,,,,,,14:41:14.467892
,,,,,,,,,,,14:41:14.995051
,,,,,,,,,,,14:41:15.182559
,,,,,,,,,,,14:41:15.385391
,,,,,,,,,,,14:41:15.588826
,,,,,,,,,,,14:41:15.793149
,,,,,,,,,,,14:41:15.996353
,,,,,,,,,,,14:41:16.199489
,,,,,,,,,,,14:41:16.402624
,,,,,,,,,,,14:41:16.621120
,,,,,,,,,,,14:41:16.809299
,,,,,,,,,,,14:41:17.012410
4.00,0.00,41.00,0.00,1.00,2.00,3.00,2.00,600.00,10.00,48.00,14:41:17.434018
4.00,0.00,41.00,0.00,1.00,2.00,3.00,2.00,600.00,10.00,48.00,14:41:17.637133
4.00,0.00,41.00,0.00,1.00,2.00,3.00,2.00,600.00,10.00,48.00,14:41:17.841602
4.00,0.00,41.00,0.00,1.00,2.00,3.00,2.00,600.00,10.00,48.00,14:41:18.044723
4.00,0.00,41.00,0.00,1.00,2.00,3.00,2.00,600.00,10.00,48.00,14:41:18.247937
4.00,0.00,41.00,0.00,1.00,2.00,3.00,2.00,600.00,10.00,48.00,14:41:18.450970
4.00,0.00,41.00,0.00,1.00,2.00,3.00,2.00,600.00,10.00,48.00,14:41:18.654107
4.00,0.00,41.00,0.00,1.00,2.00,3.00,2.00,600.00,10.00,48.00,14:41:18.857032
4.00,0.00,41.00,0.00,1.00,2.00,3.00,2.00,600.00,10.00,48.00,14:41:19.060176
4.00,0.00,41.00,0.00,1.00,2.00,3.00,2.00,600.00,10.00,48.00,14:41:19.263317
4.00,0.00,41.00,0.00,1.00,2.00,3.00,2.00,600.00,10.00,48.00,14:41:19.466454
4.00,0.00,41.00,0.00,1.00,2.00,3.00,2.00,600.00,10.00,48.00,14:41:19.669515
4.00,0.00,41.00,0.00,1.00,2.00,3.00,2.00,600.00,10.00,48.00,14:41:20.060950
4.00,0.00,41.00,0.00,1.00,2.00,3.00,2.00,600.00,10.00,48.00,14:41:20.248520
4.00,0.00,41.00,0.00,1.00,2.00,3.00,2.00,600.00,10.00,48.00,14:41:20.451554
4.00,0.00,41.00,0.00,1.00,2.00,3.00,2.00,600.00,10.00,48.00,14:41:20.654781
4.00,0.00,41.00,0.00,1.00,2.00,3.00,2.00,600.00,10.00,48.00,14:41:20.856800
4.00,0.00,41.00,0.00,1.00,2.00,3.00,2.00,600.00,10.00,48.00,14:41:21.060153
4.00,0.00,41.00,0.00,1.00,2.00,3.00,2.00,600.00,10.00,48.00,14:41:21.263280
4.00,0.00,41.00,0.00,1.00,2.00,3.00,2.00,600.00,10.00,48.00,14:41:21.466425
4.00,0.00,41.00,0.00,1.00,2.00,3.00,2.00,600.00,10.00,48.00,14:41:21.669500
4.00,0.00,41.00,0.00,1.00,2.00,3.00,2.00,600.00,10.00,48.00,14:41:21.889193
4.00,0.00,41.00,0.00,1.00,2.00,3.00,2.00,600.00,10.00,48.00,14:41:22.092025
4.00,0.00,41.00,0.00,1.00,2.00,3.00,2.00,600.00,10.00,48.00,14:41:22.295150
4.00,0.00,41.00,0.00,1.00,2.00,3.00,2.00,600.00,10.00,48.00,14:41:22.703061
4.00,0.00,41.00,0.00,1.00,2.00,3.00,2.00,600.00,10.00,48.00,14:41:22.919753
4.00,0.00,41.00,0.00,1.00,2.00,3.00,2.00,600.00,10.00,48.00,14:41:23.102275
4.00,0.00,41.00,0.00,1.00,2.00,3.00,2.00,600.00,10.00,48.00,14:41:23.305403
4.00,0.00,41.00,0.00,1.00,2.00,3.00,2.00,600.00,10.00,48.00,14:41:23.508521
4.00,0.00,41.00,0.00,1.00,2.00,3.00,2.00,600.00,10.00,48.00,14:41:23.711652
4.00,0.00,41.00,0.00,1.00,2.00,3.00,2.00,600.00,10.00,48.00,14:41:23.920525
4.00,0.00,41.00,0.00,1.00,2.00,3.00,2.00,600.00,10.00,48.00,14:41:24.139333
4.00,0.00,41.00,0.00,1.00,2.00,3.00,2.00,600.00,10.00,48.00,14:41:24.342370
4.00,0.00,41.00,0.00,1.00,2.00,3.00,2.00,600.00,10.00,48.00,14:41:24.545279
