PSTED_TORQUE,PSTED_MOTOR_SPEED,PSTED_CURRENT,PSTED_VOLTAGE,PSTED_MOTOR_TEMP,PSTED_INV_RADIATOR_TEMP,PSTED_OUT_BMS_VOLTAGE,SYSTEM_24V_VOLTAGE,STEERING_SERVO_CUR_POS_FRONT,STEERING_SERVO_CUR_POS_REAR,time
0.00,180.43,0.00,343.06,64.00,17.00,251.28,24.48,2.00,-35.00,18:21:31.597900
0.00,180.43,0.00,343.06,64.00,17.00,251.28,24.48,2.00,-35.00,18:21:31.600898
0.00,0.00,0.00,12.71,64.00,17.00,289.67,23.26,2.00,-35.00,18:21:32.408641
0.00,0.00,0.00,12.71,64.00,17.00,289.67,23.26,2.00,-35.00,18:21:33.158861
0.00,0.00,0.00,19.06,64.00,17.00,289.67,23.24,2.00,-35.00,18:21:34.048718
0.00,0.00,0.00,12.71,29.00,17.00,289.67,23.24,2.00,-35.00,18:21:34.946601
0.00,0.00,0.00,6.35,48.00,17.00,289.67,23.15,2.00,-35.00,18:21:35.978597
0.00,0.00,0.00,6.35,48.00,17.00,289.67,23.15,2.00,-35.00,18:21:36.766418
0.00,0.00,0.00,6.35,57.00,17.00,289.67,23.13,2.00,-35.00,18:21:37.650562
0.00,0.00,0.00,19.06,63.00,17.00,289.67,23.09,2.00,-35.00,18:21:38.679680
0.00,0.00,0.00,19.06,63.00,17.00,289.67,23.09,2.00,-35.00,18:21:39.445839
0.00,0.00,0.00,6.35,63.00,17.00,289.67,23.09,2.00,-35.00,18:21:40.346042
0.00,0.00,0.00,19.06,63.00,17.00,289.67,23.08,2.00,-35.00,18:21:41.348914
0.00,0.00,0.00,19.06,63.00,17.00,289.67,23.08,2.00,-35.00,18:21:42.111225
0.00,0.00,0.00,6.35,64.00,17.00,289.67,23.07,2.00,-35.00,18:21:43.014131
0.00,0.00,0.00,6.35,64.00,17.00,289.67,23.05,2.00,-35.00,18:21:44.049704
0.00,0.00,0.00,6.35,64.00,17.00,289.67,23.05,2.00,-35.00,18:21:44.805938
0.00,0.00,0.00,6.35,64.00,17.00,289.67,23.05,2.00,-35.00,18:21:45.659767
0.00,0.00,0.00,6.35,64.00,17.00,289.67,23.01,2.00,-35.00,18:21:46.679778
0.00,0.00,0.00,6.35,64.00,17.00,289.67,23.01,2.00,-35.00,18:21:47.438065
0.00,0.00,0.00,311.29,64.00,17.00,289.67,23.00,2.00,-35.00,18:21:48.342912
0.00,0.00,0.00,343.06,64.00,17.00,286.18,24.41,2.00,-35.00,18:21:49.329758
0.00,0.00,0.00,343.06,64.00,17.00,286.18,24.41,2.00,-35.00,18:21:50.049377
0.00,0.00,0.00,343.06,64.00,17.00,286.18,24.46,2.00,-35.00,18:21:50.935362
0.00,0.00,0.00,343.06,64.00,17.00,286.18,24.46,2.00,-35.00,18:21:51.892786
0.00,0.00,0.00,343.06,64.00,17.00,286.18,24.46,2.00,-35.00,18:21:52.642312
0.00,0.00,0.00,343.06,64.00,17.00,286.18,24.45,2.00,-35.00,18:21:53.465213
0.00,0.00,0.00,343.06,64.00,17.00,287.93,24.47,2.00,-35.00,18:21:54.471825
0.00,0.00,0.00,343.06,64.00,17.00,287.93,24.47,2.00,-35.00,18:21:55.159176
0.00,0.00,0.00,343.06,64.00,17.00,287.93,24.47,2.00,-35.00,18:21:56.043363
