SUSPENSION_HEIGHT_CUR_1,SUSPENSION_HEIGHT_CUR_2,SUSPENSION_HEIGHT_CUR_3,SUSPENSION_HEIGHT_CUR_4,SUSPENSION_PRESSURE_CUR_1,SUSPENSION_PRESSURE_CUR_2,SUSPENSION_PRESSURE_CUR_3,SUSPENSION_PRESSURE_CUR_4,time
,,,,,,,,11:21:53.081301
,,,,,,,,11:21:53.082315
,,,,,,,,11:21:53.584823
,,,,,,,,11:21:53.779230
,,,,,,,,11:21:53.975759
,,,,,,,,11:21:54.182468
,,,,,,,,11:21:54.378836
,,,,,,,,11:21:54.595726
,,,,,,,,11:21:54.792180
,,,,,,,,11:21:54.988584
60.00,72.00,-7.00,3.00,0.03,6.24,1.64,1.25,11:21:55.195747
60.00,72.00,-7.00,3.00,0.03,6.24,1.64,1.25,11:21:55.402320
60.00,72.00,-7.00,3.00,0.03,6.24,1.64,1.25,11:21:55.608992
60.00,72.00,-7.00,3.00,0.03,6.24,1.64,1.25,11:21:56.008765
60.00,72.00,-7.00,3.00,0.03,6.24,1.64,1.25,11:21:56.218380
60.00,72.00,-7.00,3.00,0.03,6.24,1.64,1.25,11:21:56.415716
60.00,72.00,-7.00,3.00,0.03,6.24,1.64,1.25,11:21:56.622568
60.00,72.00,-7.00,3.00,0.03,6.24,1.64,1.25,11:21:56.818838
60.00,71.00,-9.00,3.00,0.03,6.24,1.64,1.25,11:21:57.015740
60.00,71.00,-9.00,3.00,0.03,6.24,1.64,1.25,11:21:57.211578
60.00,71.00,-9.00,3.00,0.03,6.24,1.64,1.25,11:21:57.419054
60.00,71.00,-9.00,3.00,0.03,6.24,1.64,1.25,11:21:57.616045
60.00,71.00,-9.00,3.00,0.03,6.24,1.64,1.25,11:21:57.812916
60.00,71.00,-9.00,3.00,0.03,6.24,1.64,1.25,11:21:58.019177
60.00,71.00,-9.00,3.00,0.03,6.24,1.64,1.25,11:21:58.216260
57.00,71.00,-7.00,3.00,0.03,6.23,1.64,1.23,11:21:58.638219
57.00,71.00,-7.00,3.00,0.03,6.23,1.64,1.23,11:21:58.845716
57.00,71.00,-7.00,3.00,0.03,6.23,1.64,1.23,11:21:59.052551
57.00,71.00,-7.00,3.00,0.03,6.23,1.64,1.23,11:21:59.248803
57.00,71.00,-7.00,3.00,0.03,6.23,1.64,1.23,11:21:59.445507
57.00,71.00,-7.00,3.00,0.03,6.23,1.64,1.23,11:21:59.642682
57.00,71.00,-7.00,3.00,0.03,6.23,1.64,1.23,11:21:59.839400
57.00,71.00,-7.00,3.00,0.03,6.23,1.64,1.23,11:22:00.035814
57.00,71.00,-7.00,3.00,0.03,6.23,1.64,1.23,11:22:00.243217
57.00,71.00,-7.00,4.00,0.03,6.23,1.64,1.23,11:22:00.439599
57.00,71.00,-7.00,4.00,0.03,6.23,1.64,1.23,11:22:00.636375
57.00,71.00,-7.00,4.00,0.03,6.23,1.64,1.23,11:22:00.843171
57.00,71.00,-7.00,4.00,0.03,6.23,1.64,1.23,11:22:01.241471
57.00,71.00,-7.00,4.00,0.03,6.23,1.64,1.23,11:22:01.453071
57.00,71.00,-7.00,4.00,0.03,6.23,1.64,1.23,11:22:01.651024
57.00,71.00,-7.00,4.00,0.03,6.23,1.64,1.23,11:22:01.845919
57.00,71.00,-7.00,4.00,0.03,6.23,1.64,1.23,11:22:02.042999
57.00,71.00,-7.00,4.00,0.03,6.23,1.63,1.23,11:22:02.240328
57.00,71.00,-7.00,4.00,0.03,6.23,1.63,1.23,11:22:02.436231
57.00,71.00,-7.00,4.00,0.03,6.23,1.63,1.23,11:22:02.632833
57.00,71.00,-7.00,4.00,0.03,6.23,1.63,1.23,11:22:02.829696
57.00,71.00,-7.00,4.00,0.03,6.23,1.63,1.23,11:22:03.027070
57.00,71.00,-7.00,4.00,0.03,6.23,1.63,1.23,11:22:03.233793
57.00,71.00,-7.00,4.00,0.03,6.23,1.63,1.23,11:22:03.430181
60.00,71.00,-7.00,3.00,0.03,6.23,1.64,1.23,11:22:03.817518
60.00,71.00,-7.00,3.00,0.03,6.23,1.64,1.23,11:22:04.030148
60.00,71.00,-7.00,3.00,0.03,6.23,1.64,1.23,11:22:04.227206
60.00,71.00,-7.00,3.00,0.03,6.23,1.64,1.23,11:22:04.433999
60.00,71.00,-7.00,3.00,0.03,6.23,1.64,1.23,11:22:04.640748
60.00,71.00,-7.00,3.00,0.03,6.23,1.64,1.23,11:22:04.836507
60.00,71.00,-7.00,3.00,0.03,6.23,1.64,1.23,11:22:05.044101
60.00,71.00,-7.00,3.00,0.03,6.23,1.64,1.23,11:22:05.240190
60.00,71.00,-7.00,3.00,0.03,6.23,1.64,1.23,11:22:05.437288
60.00,71.00,-7.00,3.00,0.03,6.23,1.63,1.24,11:22:05.644097
60.00,71.00,-7.00,3.00,0.03,6.23,1.63,1.24,11:22:05.850763
60.00,71.00,-7.00,3.00,0.03,6.23,1.63,1.24,11:22:06.047339
60.00,71.00,-7.00,3.00,0.03,6.23,1.63,1.24,11:22:06.428872
60.00,71.00,-7.00,3.00,0.03,6.23,1.63,1.24,11:22:06.617719
60.00,71.00,-7.00,3.00,0.03,6.23,1.63,1.24,11:22:06.814116
60.00,71.00,-7.00,3.00,0.03,6.23,1.63,1.24,11:22:07.011615
60.00,71.00,-7.00,3.00,0.03,6.23,1.63,1.24,11:22:07.208070
57.00,71.00,-7.00,3.00,0.03,6.23,1.63,1.23,11:22:07.404310
57.00,71.00,-7.00,3.00,0.03,6.23,1.63,1.23,11:22:07.601716
57.00,71.00,-7.00,3.00,0.03,6.23,1.63,1.23,11:22:07.798443
57.00,71.00,-7.00,3.00,0.03,6.23,1.63,1.23,11:22:07.995679
57.00,71.00,-7.00,3.00,0.03,6.23,1.63,1.23,11:22:08.201547
57.00,71.00,-7.00,3.00,0.03,6.23,1.63,1.23,11:22:08.408233
57.00,71.00,-7.00,3.00,0.03,6.23,1.63,1.23,11:22:08.605225
57.00,71.00,-7.00,3.00,0.03,6.23,1.63,1.24,11:22:08.992662
57.00,71.00,-7.00,3.00,0.03,6.23,1.63,1.24,11:22:09.185431
57.00,71.00,-7.00,3.00,0.03,6.23,1.63,1.24,11:22:09.382101
57.00,71.00,-7.00,3.00,0.03,6.23,1.63,1.24,11:22:09.588960
57.00,71.00,-7.00,3.00,0.03,6.23,1.63,1.24,11:22:09.786084
57.00,71.00,-7.00,3.00,0.03,6.23,1.63,1.24,11:22:09.982492
57.00,71.00,-7.00,3.00,0.03,6.23,1.63,1.24,11:22:10.189693
57.00,71.00,-7.00,3.00,0.03,6.23,1.63,1.24,11:22:10.385572
57.00,71.00,-7.00,3.00,0.03,6.23,1.63,1.24,11:22:10.583283
60.00,71.00,-7.00,3.00,0.03,6.23,1.63,1.24,11:22:10.779384
60.00,71.00,-7.00,3.00,0.03,6.23,1.63,1.24,11:22:10.976397
60.00,71.00,-7.00,3.00,0.03,6.23,1.63,1.24,11:22:11.182875
60.00,71.00,-7.00,3.00,0.03,6.23,1.63,1.24,11:22:11.568054
60.00,71.00,-7.00,3.00,0.03,6.23,1.63,1.24,11:22:11.762911
60.00,71.00,-7.00,3.00,0.03,6.23,1.63,1.24,11:22:11.960069
60.00,71.00,-7.00,3.00,0.03,6.23,1.63,1.24,11:22:12.157187
60.00,71.00,-7.00,3.00,0.03,6.23,1.63,1.24,11:22:12.353835
60.00,71.00,-7.00,6.00,0.03,6.22,1.63,1.24,11:22:12.550574
60.00,71.00,-7.00,6.00,0.03,6.22,1.63,1.24,11:22:12.756636
60.00,71.00,-7.00,6.00,0.03,6.22,1.63,1.24,11:22:12.953925
60.00,71.00,-7.00,6.00,0.03,6.22,1.63,1.24,11:22:13.150385
60.00,71.00,-7.00,6.00,0.03,6.22,1.63,1.24,11:22:13.346527
60.00,71.00,-7.00,6.00,0.03,6.22,1.63,1.24,11:22:13.544082
60.00,71.00,-7.00,6.00,0.03,6.22,1.63,1.24,11:22:13.750852
57.00,71.00,-7.00,3.00,0.03,6.23,1.64,1.24,11:22:14.134664
57.00,71.00,-7.00,3.00,0.03,6.23,1.64,1.24,11:22:14.341133
57.00,71.00,-7.00,3.00,0.03,6.23,1.64,1.24,11:22:14.547590
57.00,71.00,-7.00,3.00,0.03,6.23,1.64,1.24,11:22:14.743974
57.00,71.00,-7.00,3.00,0.03,6.23,1.64,1.24,11:22:14.940536
57.00,71.00,-7.00,3.00,0.03,6.23,1.64,1.24,11:22:15.147439
57.00,71.00,-7.00,3.00,0.03,6.23,1.64,1.24,11:22:15.344064
57.00,71.00,-7.00,3.00,0.03,6.23,1.64,1.24,11:22:15.541245
57.00,71.00,-7.00,3.00,0.03,6.23,1.64,1.24,11:22:15.737253
60.00,71.00,-7.00,4.00,0.03,5.83,1.64,1.24,11:22:15.944431
60.00,71.00,-7.00,4.00,0.03,5.83,1.64,1.24,11:22:16.131123
60.00,71.00,-7.00,4.00,0.03,5.83,1.64,1.24,11:22:16.328444
60.00,71.00,-7.00,4.00,0.03,5.83,1.64,1.24,11:22:16.712453
60.00,71.00,-7.00,4.00,0.03,5.83,1.64,1.24,11:22:16.908698
