PSTED_TORQUE,PSTED_MOTOR_SPEED,PSTED_CURRENT,PSTED_VOLTAGE,PSTED_MOTOR_TEMP,PSTED_INV_RADIATOR_TEMP,PSTED_OUT_BMS_VOLTAGE,SYSTEM_24V_VOLTAGE,time
,,,,,,,,13:38:37.180676
,,,,,,,,13:38:37.182693
0.00,0.00,0.00,349.41,41.00,17.00,,3.53,13:38:37.924259
0.00,0.00,0.00,349.41,41.00,17.00,,3.53,13:38:38.411314
0.00,0.00,0.00,349.41,41.00,17.00,357.73,24.49,13:38:39.020439
0.00,0.00,0.00,349.41,41.00,17.00,357.73,23.93,13:38:39.644242
0.00,0.00,0.00,349.41,41.00,17.00,357.73,23.82,13:38:40.345674
0.00,0.00,0.00,349.41,42.00,17.00,357.73,23.83,13:38:41.163165
0.00,0.00,0.00,349.41,42.00,17.00,357.73,23.83,13:38:41.611323
0.00,0.00,0.00,349.41,42.00,17.00,29.67,3.53,13:38:42.197160
-1.27,0.00,0.00,6.35,14.00,82.00,29.67,3.53,13:38:42.829756
-26.67,0.00,35.83,349.41,42.00,17.00,349.00,24.15,13:38:43.469670
-87.63,-3410.26,35.83,349.41,42.00,17.00,349.00,3.53,13:38:44.255905
-87.63,-3410.26,35.83,349.41,42.00,17.00,349.00,3.53,13:38:44.735171
-110.49,-3422.71,35.83,343.06,39.00,17.00,349.00,24.33,13:38:45.374560
-110.49,-3399.76,35.83,349.41,34.00,17.00,328.06,24.31,13:38:46.006742
-110.49,-3395.86,35.83,349.41,37.00,17.00,321.08,24.38,13:38:46.823955
-110.49,-3395.86,35.83,349.41,37.00,17.00,321.08,24.38,13:38:47.325461
-110.49,-3399.76,35.83,343.06,37.00,17.00,321.08,24.41,13:38:47.942350
-110.49,-3401.23,35.83,343.06,37.00,17.00,321.08,24.43,13:38:48.612661
-111.76,-3393.17,35.83,44.47,14.00,74.00,29.67,3.51,13:38:49.366866
-111.76,-3393.17,35.83,44.47,14.00,74.00,29.67,3.51,13:38:49.867848
-110.49,-3397.56,35.83,343.06,34.00,17.00,317.59,24.37,13:38:50.500705
-111.76,-3390.97,35.83,343.06,34.00,17.00,317.59,24.32,13:38:51.087666
-111.76,-3392.93,35.83,343.06,34.00,17.00,317.59,3.51,13:38:51.705066
-110.49,-3399.03,35.83,343.06,35.00,17.00,314.10,24.36,13:38:52.459724
-110.49,-3399.03,35.83,343.06,35.00,17.00,314.10,24.36,13:38:52.992551
-106.68,-3398.54,35.83,343.06,35.00,17.00,314.10,24.41,13:38:53.594405
-83.82,-3458.60,30.71,343.06,36.00,17.00,314.10,24.44,13:38:54.227249
-81.28,-3459.33,30.71,343.06,34.00,17.00,314.10,24.38,13:38:54.966393
-81.28,-3459.33,30.71,343.06,34.00,17.00,314.10,24.38,13:38:55.514832
-81.28,-3467.15,30.71,343.06,34.00,17.00,314.10,24.32,13:38:56.132104
-81.28,-3462.26,30.71,349.41,34.00,17.00,314.10,24.31,13:38:56.702413
-81.28,-3465.68,30.71,349.41,37.00,17.00,314.10,24.33,13:38:57.304583
-81.28,-3460.80,30.71,349.41,36.00,17.00,314.10,24.40,13:38:58.037585
-81.28,-3460.80,30.71,349.41,36.00,17.00,314.10,24.40,13:38:58.491751
-80.01,-3470.81,30.71,343.06,33.00,17.00,314.10,24.43,13:38:59.094000
-73.66,-3492.54,30.71,343.06,33.00,17.00,314.10,24.41,13:38:59.712150
-55.88,-3547.72,25.59,343.06,33.00,17.00,314.10,24.37,13:39:00.314644
-55.88,-3570.18,25.59,343.06,35.00,17.00,314.10,24.29,13:39:01.046925
-55.88,-3570.18,25.59,343.06,35.00,17.00,314.10,24.29,13:39:01.501936
-48.26,-3601.92,25.59,343.06,35.00,17.00,314.10,24.34,13:39:02.103896
-29.21,-3731.07,20.47,343.06,35.00,17.00,314.10,24.39,13:39:02.705766
-29.21,-3842.40,15.35,343.06,33.00,17.00,314.10,24.42,13:39:03.307782
-20.32,-3919.80,15.35,343.06,35.00,17.00,314.10,24.40,13:39:04.041595
-20.32,-3919.80,15.35,343.06,35.00,17.00,314.10,24.40,13:39:04.529674
-1.27,-3997.68,5.12,343.06,34.00,17.00,314.10,24.34,13:39:05.120608
0.00,-3763.54,0.00,343.06,34.00,17.00,29.67,3.51,13:39:05.753177
1.27,-3350.93,5.12,343.06,36.00,17.00,314.10,24.32,13:39:06.377685
0.00,-2161.69,0.00,343.06,40.00,17.00,314.10,24.32,13:39:07.126675
0.00,-2161.69,0.00,343.06,40.00,17.00,314.10,24.32,13:39:07.612915
0.00,-1793.76,0.00,349.41,42.00,17.00,314.10,24.43,13:39:08.230929
0.00,-1447.07,0.00,343.06,42.00,17.00,314.10,24.45,13:39:08.831570
0.00,-1057.89,0.00,349.41,42.00,17.00,314.10,24.43,13:39:09.432739
0.00,-434.34,0.00,349.41,42.00,17.00,333.30,24.32,13:39:10.170933
0.00,-434.34,0.00,349.41,42.00,17.00,333.30,24.32,13:39:10.665689
0.00,-200.20,0.00,343.06,42.00,17.00,333.30,24.30,13:39:11.304493
0.00,-165.04,0.00,343.06,43.00,17.00,335.04,24.31,13:39:11.890357
0.00,-165.04,0.00,343.06,43.00,17.00,335.04,24.36,13:39:12.490918
0.00,0.00,0.00,349.41,43.00,17.00,335.04,24.44,13:39:13.276170
0.00,0.00,0.00,349.41,43.00,17.00,335.04,24.44,13:39:13.755398
0.00,0.00,0.00,349.41,43.00,17.00,335.04,24.42,13:39:14.355882
0.00,0.00,0.00,349.41,43.00,17.00,335.04,24.39,13:39:14.994752
0.00,0.00,0.00,349.41,43.00,17.00,336.79,24.32,13:39:15.743755
0.00,0.00,0.00,349.41,43.00,17.00,336.79,24.32,13:39:16.246041
0.00,0.00,0.00,0.00,14.00,17.00,336.79,24.32,13:39:16.847090
0.00,0.00,0.00,349.41,43.00,17.00,336.79,24.35,13:39:17.417193
0.00,0.00,0.00,349.41,43.00,83.00,29.67,3.52,13:39:18.003250
0.00,0.00,0.00,343.06,43.00,17.00,336.79,24.43,13:39:18.737304
0.00,0.00,0.00,343.06,43.00,17.00,336.79,24.43,13:39:19.223182
0.00,0.00,0.00,343.06,43.00,17.00,336.79,24.39,13:39:19.809851
0.00,0.00,0.00,349.41,43.00,17.00,336.79,24.35,13:39:20.411849
0.00,0.00,0.00,343.06,43.00,17.00,336.79,24.31,13:39:21.014282
0.00,0.00,0.00,349.41,43.00,17.00,338.53,24.36,13:39:21.749317
0.00,0.00,0.00,349.41,43.00,17.00,338.53,24.36,13:39:22.216968
