STEERING_SERVO_CUR_POS_FRONT,STEERING_SERVO_CUR_POS_REAR,STEERING_SERVO_CURRENT_FRONT,STEERING_SERVO_CURRENT_REAR,time
-700.00,-130.00,1170.00,5210.00,15:16:54.952597
-700.00,-130.00,1170.00,5210.00,15:16:54.954624
-700.00,-130.00,1170.00,5210.00,15:16:55.277593
-700.00,-130.00,1170.00,5210.00,15:16:55.532719
-700.00,-130.00,1170.00,5210.00,15:16:55.762683
-700.00,-130.00,1170.00,5210.00,15:16:55.962682
-594.00,-126.00,0.00,0.00,15:16:56.162681
-594.00,-126.00,0.00,0.00,15:16:56.362682
-594.00,-126.00,0.00,0.00,15:16:56.575728
-594.00,-126.00,0.00,0.00,15:16:56.782683
-551.00,-119.00,0.00,0.00,15:16:57.032682
-551.00,-119.00,0.00,0.00,15:16:57.243687
-551.00,-119.00,0.00,0.00,15:16:57.442683
-551.00,-119.00,0.00,0.00,15:16:57.642683
-551.00,-119.00,1920.00,3110.00,15:16:57.864683
-551.00,-119.00,1920.00,3110.00,15:16:58.077686
-551.00,-119.00,1920.00,3110.00,15:16:58.284686
-551.00,-119.00,1920.00,3110.00,15:16:58.522718
-700.00,-313.00,3270.00,4380.00,15:16:58.736687
-700.00,-313.00,3270.00,4380.00,15:16:58.942686
-700.00,-313.00,3270.00,4380.00,15:16:59.142684
-700.00,-313.00,3270.00,4380.00,15:16:59.342684
-700.00,-82.00,3320.00,4230.00,15:16:59.542685
-700.00,-82.00,3320.00,4230.00,15:16:59.752686
-700.00,-82.00,3320.00,4230.00,15:16:59.952730
-700.00,-82.00,3320.00,4230.00,15:17:00.162685
-700.00,-188.00,3320.00,4720.00,15:17:00.432685
-700.00,-188.00,3320.00,4720.00,15:17:00.642686
-700.00,-188.00,3320.00,4720.00,15:17:00.885718
-700.00,-188.00,3320.00,4720.00,15:17:01.112686
-701.00,-321.00,3320.00,3480.00,15:17:01.322687
-701.00,-321.00,3320.00,3480.00,15:17:01.526686
-701.00,-321.00,3320.00,3480.00,15:17:01.738687
-701.00,-321.00,3320.00,3480.00,15:17:01.952689
-693.00,-318.00,2850.00,5560.00,15:17:02.152686
-693.00,-318.00,2850.00,5560.00,15:17:02.342690
-693.00,-318.00,2850.00,5560.00,15:17:02.542688
-693.00,-318.00,2850.00,5560.00,15:17:02.742687
-699.00,-326.00,3060.00,5460.00,15:17:02.953004
-699.00,-326.00,3060.00,5460.00,15:17:03.163006
-699.00,-326.00,3060.00,5460.00,15:17:03.378062
-699.00,-326.00,3060.00,5460.00,15:17:03.614091
-699.00,-332.00,3060.00,4720.00,15:17:03.822999
-699.00,-332.00,3060.00,4720.00,15:17:04.022994
-699.00,-332.00,3060.00,4720.00,15:17:04.242994
-699.00,-332.00,3060.00,4720.00,15:17:04.445028
-699.00,-329.00,3060.00,5680.00,15:17:04.652999
-699.00,-329.00,3060.00,5680.00,15:17:04.878997
-699.00,-329.00,3060.00,5680.00,15:17:05.114170
-699.00,-329.00,3060.00,5680.00,15:17:05.334993
-699.00,-234.00,3090.00,4340.00,15:17:05.553150
-699.00,-234.00,3090.00,4340.00,15:17:05.752607
-699.00,-234.00,3090.00,4340.00,15:17:05.962611
-699.00,-234.00,3090.00,4340.00,15:17:06.162574
-699.00,-326.00,3110.00,2590.00,15:17:06.364906
-699.00,-326.00,3110.00,2590.00,15:17:06.552551
-699.00,-326.00,3110.00,2590.00,15:17:06.753282
