Напряжение ЗПТ,Потребляемый ток,Ток обмотки возбуждения,Ток статора,Ток фазы А,Ток фазы В,Ток фазы С,Ток Id,Ток Iq,Температура фазы А,Температура фазы В,Температура фазы С,Температура воздуха,Температура статора,Температура ОВ,Gamma,Скорость мотора,Момент,Мощность механическая,Мощность электрическая,time
,,,,,,,,,,,,,,,,,,,,18:51:14.348562
,,,,,,,,,,,,,,,,,,,,18:51:14.476012
,,,,,,,,,,,,,,,,,,,,18:51:14.786507
,,,,,,,,,,,,,,,,,,,,18:51:15.117413
,,,,,,,,,,,,,,,,,,,,18:51:15.336150
,,,,,,,,,,,,,,,,,,,,18:51:15.549494
,,,,,,,,,,,,,,,,,,,,18:51:15.751190
,,,,,,,,,,,,,,,,,,,,18:51:15.958373
,,,,,,,,,,,,,,,,,,,,18:51:16.171143
,,,,,,,,,,,,,,,,,,,,18:51:16.375533
,,,,,,,,,,,,,,,,,,,,18:51:16.581761
,,,,,,,,,,,,,,,,,,,,18:51:16.800924
,,,,,,,,,,,,,,,,,,,,18:51:17.019347
,,,,,,,,,,,,,,,,,,,,18:51:17.370674
,,,,,,,,,,,,,,,,,,,,18:51:17.704279
,,,,,,,,,,,,,,,,,,,,18:51:17.928044
,,,,,,,,,,,,,,,,,,,,18:51:18.140816
,,,,,,,,,,,,,,,,,,,,18:51:18.358701
,,,,,,,,,,,,,,,,,,,,18:51:18.577858
,,,,,,,,,,,,,,,,,,,,18:51:18.796052
,,,,,,,,,,,,,,,,,,,,18:51:19.016082
353.11,-0.52,0.26,0.00,0.15,0.19,0.25,0.00,0.00,0.00,0.00,0.00,59.31,39.00,39.05,0.00,-0.00,-0.00,0.00,0.00,18:51:19.234546
353.11,-0.52,0.26,0.00,0.15,0.19,0.25,0.00,0.00,0.00,0.00,0.00,59.31,39.00,39.05,0.00,-0.00,-0.00,0.00,0.00,18:51:19.453151
353.11,-0.52,0.26,0.00,0.15,0.19,0.25,0.00,0.00,0.00,0.00,0.00,59.31,39.00,39.05,0.00,-0.00,-0.00,0.00,0.00,18:51:19.673050
353.11,-0.52,0.26,0.00,0.15,0.19,0.25,0.00,0.00,0.00,0.00,0.00,59.31,39.00,39.05,0.00,-0.00,-0.00,0.00,0.00,18:51:19.992051
353.11,-0.52,0.26,0.00,0.15,0.19,0.25,0.00,0.00,0.00,0.00,0.00,59.31,39.00,39.05,0.00,-0.00,-0.00,0.00,0.00,18:51:20.328982
353.11,-0.52,0.26,0.00,0.15,0.19,0.25,0.00,0.00,0.00,0.00,0.00,59.31,39.00,39.05,0.00,-0.00,-0.00,0.00,0.00,18:51:20.545384
353.11,-0.52,0.26,0.00,0.15,0.19,0.25,0.00,0.00,0.00,0.00,0.00,59.31,39.00,39.05,0.00,-0.00,-0.00,0.00,0.00,18:51:20.765426
353.11,-0.52,0.26,0.00,0.15,0.19,0.25,0.00,0.00,0.00,0.00,0.00,59.31,39.00,39.05,0.00,-0.00,-0.00,0.00,0.00,18:51:20.982509
