Код производителя,Код продукта,Номер ревизии,Серийный номер,GIT_VersionShortHash,GIT_CommitTimestamp,GIT_UncommitedFiles,Часы реального времени,Номер груп для пульта управления,Код производителя,time
,,,,,,,,,,18:13:47.158819
,,,,,,,,,,18:13:47.290556
,,,,,,,,,,18:13:47.301566
,,,,,,,,,,18:13:47.312519
,,,,,,,,,,18:13:47.321552
,,,,,,,,,,18:13:47.330546
,,,,,,,,,,18:13:47.339684
,,,,,,,,,,18:13:47.349085
,,,,,,,,,,18:13:47.357176
,,,,,,,,,,18:13:47.365124
,,,,,,,,,,18:13:47.374444
2.25837e+09,65622,7.5438e+08,9.14772e+08,4.02915e+08,3.67709e+09,3.98802e+09,1.97636e+09,22,2.9568e+09,18:13:47.383724
2.25837e+09,65622,7.5438e+08,9.14772e+08,4.02915e+08,3.67709e+09,3.98802e+09,1.97636e+09,22,2.9568e+09,18:13:47.394663
2.25837e+09,65622,7.5438e+08,9.14772e+08,4.02915e+08,3.67709e+09,3.98802e+09,1.97636e+09,22,2.9568e+09,18:13:47.403437
2.25837e+09,65622,7.5438e+08,9.14772e+08,4.02915e+08,3.67709e+09,3.98802e+09,1.97636e+09,22,2.9568e+09,18:13:47.410854
2.25837e+09,65622,7.5438e+08,9.14772e+08,4.02915e+08,3.67709e+09,3.98802e+09,1.97636e+09,22,2.9568e+09,18:13:47.416842
2.25837e+09,65622,7.5438e+08,9.14772e+08,4.02915e+08,3.67709e+09,3.98802e+09,1.97636e+09,22,2.9568e+09,18:13:47.423688
2.25837e+09,65622,7.5438e+08,9.14772e+08,4.02915e+08,3.67709e+09,3.98802e+09,1.97636e+09,22,2.9568e+09,18:13:47.430960
2.25837e+09,65622,7.5438e+08,9.14772e+08,4.02915e+08,3.67709e+09,3.98802e+09,1.97636e+09,22,2.9568e+09,18:13:47.439914
2.25837e+09,65622,7.5438e+08,9.14772e+08,4.02915e+08,3.67709e+09,3.98802e+09,1.97636e+09,22,2.9568e+09,18:13:47.447988
2.25837e+09,65622,7.5438e+08,9.14772e+08,4.02915e+08,3.67709e+09,3.98802e+09,1.97636e+09,22,2.9568e+09,18:13:47.455792
2.25837e+09,65622,7.5438e+08,9.14772e+08,4.02915e+08,3.67709e+09,3.98802e+09,1.97636e+09,22,2.9568e+09,18:13:47.464427
2.25837e+09,65622,7.5438e+08,9.14772e+08,4.02915e+08,3.67709e+09,3.98802e+09,1.97636e+09,22,2.9568e+09,18:13:47.471452
2.25837e+09,65622,7.5438e+08,9.14772e+08,4.02915e+08,3.67709e+09,3.98802e+09,1.97636e+09,22,2.9568e+09,18:13:47.480338
