Разрешить местное управление,Зад. электрический момент,Команда на переднюю рулевую серво,Команда на заднюю рулевую серво,Команда на плавое торможение,Команда на дискретный тормоз,Стояночный тормоз отпустить,time
0,0,0,0,0,0,0,18:14:07.651158
0,0,0,0,0,0,0,18:14:07.658707
0,0,0,0,0,0,0,18:14:07.667061
0,0,0,0,0,0,0,18:14:07.675562
0,0,0,0,0,0,0,18:14:07.683144
0,0,0,0,0,0,0,18:14:07.692662
0,0,0,0,0,0,0,18:14:07.700625
0,0,0,0,0,0,0,18:14:07.709255
0,0,0,0,0,0,0,18:14:07.717788
0,0,0,0,0,0,0,18:14:07.726688
0,0,0,0,0,0,0,18:14:07.734548
0,0,0,0,0,0,0,18:14:07.742544
0,0,0,0,0,0,0,18:14:07.750537
0,0,0,0,0,0,0,18:14:07.758320
0,0,0,0,0,0,0,18:14:07.767179
