PSTED_TORQUE,PSTED_MOTOR_SPEED,PSTED_CURRENT,PSTED_VOLTAGE,PSTED_MOTOR_TEMP,PSTED_INV_RADIATOR_TEMP,PSTED_OUT_BMS_VOLTAGE,SYSTEM_24V_VOLTAGE,time
,,,,,,,,16:13:00.891799
,,,,,,,,16:13:00.893803
,,,,,,,,16:13:01.241633
,,,,,,,,16:13:01.474025
,,,,,,,,16:13:01.684224
,,,,,,,,16:13:01.881233
,,,,,,,,16:13:02.091705
,,,,,,,,16:13:02.303960
,,,,,,,,16:13:02.502150
,,,,,,,,16:13:02.714767
0.00,0.00,0.00,355.76,41.00,72.00,358.30,24.49,16:13:02.913815
0.00,0.00,0.00,355.76,41.00,72.00,358.30,24.49,16:13:03.198220
0.00,0.00,0.00,355.76,41.00,72.00,358.30,24.49,16:13:03.536229
0.00,0.00,0.00,355.76,41.00,72.00,358.30,24.49,16:13:03.781411
0.00,0.00,0.00,355.76,41.00,72.00,358.30,24.49,16:13:03.992323
0.00,0.00,0.00,355.76,41.00,72.00,358.30,24.49,16:13:04.202061
0.00,0.00,0.00,355.76,41.00,72.00,358.30,24.49,16:13:04.402104
0.00,0.00,0.00,355.76,41.00,72.00,358.30,24.49,16:13:04.601838
0.00,0.00,0.00,355.76,41.00,72.00,358.20,24.49,16:13:04.812182
0.00,0.00,0.00,355.76,41.00,72.00,358.20,24.49,16:13:05.011565
0.00,0.00,0.00,355.76,41.00,72.00,358.20,24.49,16:13:05.222997
0.00,0.00,0.00,355.76,41.00,72.00,358.20,24.49,16:13:05.433610
0.00,0.00,0.00,355.76,41.00,72.00,358.20,24.49,16:13:05.765206
0.00,0.00,0.00,355.76,41.00,72.00,358.20,24.49,16:13:06.091950
0.00,0.00,0.00,355.76,41.00,72.00,358.20,24.49,16:13:06.302122
0.00,0.00,0.00,355.76,41.00,72.00,358.20,24.49,16:13:06.514537
0.00,0.00,0.00,349.41,41.00,72.00,358.20,24.49,16:13:06.713803
0.00,0.00,0.00,349.41,41.00,72.00,358.20,24.49,16:13:06.922378
0.00,0.00,0.00,349.41,41.00,72.00,358.20,24.49,16:13:07.133799
0.00,0.00,0.00,349.41,41.00,72.00,358.20,24.49,16:13:07.382608
0.00,0.00,0.00,349.41,41.00,72.00,358.20,24.49,16:13:07.592013
0.00,0.00,0.00,349.41,41.00,72.00,358.20,24.49,16:13:07.791916
0.00,0.00,0.00,349.41,41.00,72.00,358.20,24.49,16:13:07.992310
0.00,0.00,0.00,349.41,41.00,72.00,358.20,24.49,16:13:08.191894
0.00,0.00,0.00,355.76,41.00,72.00,358.20,24.49,16:13:08.391710
0.00,0.00,0.00,355.76,41.00,72.00,358.20,24.49,16:13:08.602466
0.00,0.00,0.00,355.76,41.00,72.00,358.20,24.49,16:13:08.811712
0.00,0.00,0.00,355.76,41.00,72.00,358.20,24.49,16:13:09.002204
0.00,0.00,0.00,355.76,41.00,72.00,358.20,24.49,16:13:09.202351
0.00,0.00,0.00,355.76,41.00,72.00,358.20,24.49,16:13:09.401789
0.00,0.00,0.00,355.76,41.00,72.00,358.20,24.49,16:13:09.602196
0.00,0.00,0.00,355.76,41.00,72.00,358.20,24.49,16:13:09.802465
0.00,0.00,0.00,355.76,41.00,72.00,358.20,24.49,16:13:10.014464
0.00,0.00,0.00,355.76,41.00,72.00,358.20,24.49,16:13:10.214682
0.00,0.00,0.00,355.76,41.00,72.00,358.20,24.49,16:13:10.413719
0.00,0.00,0.00,355.76,41.00,72.00,358.20,24.49,16:13:10.601704
0.00,0.00,0.00,355.76,41.00,72.00,358.20,24.49,16:13:10.791721
0.00,0.00,0.00,355.76,41.00,72.00,358.20,24.49,16:13:11.084335
0.00,0.00,0.00,355.76,41.00,72.00,358.20,24.49,16:13:11.402106
0.00,0.00,0.00,349.41,41.00,72.00,358.20,24.48,16:13:11.706763
0.00,0.00,0.00,349.41,41.00,72.00,358.20,24.48,16:13:12.042069
0.00,0.00,0.00,349.41,41.00,72.00,358.20,24.48,16:13:12.282040
0.00,0.00,0.00,349.41,41.00,72.00,358.20,24.48,16:13:12.484501
0.00,0.00,0.00,349.41,41.00,72.00,358.20,24.48,16:13:12.681682
