PSTED_TORQUE,PSTED_MOTOR_SPEED,PSTED_CURRENT,PSTED_VOLTAGE,PSTED_MOTOR_TEMP,PSTED_INV_RADIATOR_TEMP,PSTED_OUT_BMS_VOLTAGE,SYSTEM_24V_VOLTAGE,time
,,,,,,,,18:12:49.021829
,,,,,,,,18:12:49.022831
,,,,,,,,18:12:49.340159
,,,,,,,,18:12:49.533591
,,,,,,,,18:12:49.733275
,,,,,,,,18:12:49.930327
,,,,,,,,18:12:50.119753
,,,,,,,,18:12:50.320032
,,,,,,,,18:12:50.524401
,,,,,,,,18:12:50.725272
32.00,0.00,0.00,0.00,-40.00,-40.00,0.00,46.51,18:12:50.924680
32.00,0.00,0.00,0.00,-40.00,-40.00,0.00,46.51,18:12:51.113425
32.00,0.00,0.00,0.00,-40.00,-40.00,0.00,46.51,18:12:51.314002
32.00,0.00,0.00,0.00,-40.00,-40.00,0.00,46.51,18:12:51.503730
32.00,0.00,0.00,0.00,-40.00,-40.00,0.00,46.51,18:12:51.708309
32.00,0.00,0.00,0.00,-40.00,-40.00,0.00,46.51,18:12:51.919935
32.00,0.00,0.00,0.00,-40.00,-40.00,0.00,46.51,18:12:52.112316
32.00,0.00,0.00,0.00,-40.00,-40.00,0.00,46.51,18:12:52.314309
0.00,1.46,0.00,1524.71,-40.00,8.00,0.00,0.01,18:12:52.522312
0.00,1.46,0.00,1524.71,-40.00,8.00,0.00,0.01,18:12:52.720063
0.00,1.46,0.00,1524.71,-40.00,8.00,0.00,0.01,18:12:52.922611
0.00,1.46,0.00,1524.71,-40.00,8.00,0.00,0.01,18:12:53.123885
0.00,1.46,0.00,1524.71,-40.00,8.00,0.00,0.01,18:12:53.322495
0.00,1.46,0.00,1524.71,-40.00,8.00,0.00,0.01,18:12:53.513863
0.00,1.46,0.00,1524.71,-40.00,8.00,0.00,0.01,18:12:53.712684
0.00,1.46,0.00,1524.71,-40.00,8.00,0.00,0.01,18:12:53.904094
30.00,0.00,0.00,1365.88,-40.00,-34.00,0.00,43.30,18:12:54.104409
30.00,0.00,0.00,1365.88,-40.00,-34.00,0.00,43.30,18:12:54.309606
30.00,0.00,0.00,1365.88,-40.00,-34.00,0.00,43.30,18:12:54.514992
30.00,0.00,0.00,1365.88,-40.00,-34.00,0.00,43.30,18:12:54.712453
30.00,0.00,0.00,1365.88,-40.00,-34.00,0.00,43.30,18:12:54.913207
30.00,0.00,0.00,1365.88,-40.00,-34.00,0.00,43.30,18:12:55.122580
30.00,0.00,0.00,1365.88,-40.00,-34.00,0.00,43.30,18:12:55.324582
30.00,0.00,0.00,1365.88,-40.00,-34.00,0.00,43.30,18:12:55.524132
0.00,0.00,0.00,38.12,-40.00,-40.00,0.00,4.57,18:12:55.722737
